QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,HOUSTON_ACTION,NEW ORLEANS_SCORE,HOUSTON_SCORE
1,11:44.0,A. Davis misses 2-pt jump shot from 12 ft,,0,0
1,11:41.0,Offensive rebound by N. Mirotić,,0,0
1,11:37.0,N. Mirotić makes 3-pt jump shot from 23 ft (assist by J. Holiday),,3,0
1,11:17.0,,J. Harden misses 2-pt layup from 1 ft,3,0
1,11:17.0,Defensive rebound by A. Davis,,3,0
1,11:09.0,E. Payton makes 2-pt layup from 1 ft,,5,0
1,10:46.0,,C. Capela misses 2-pt hook shot from 4 ft (block by A. Davis),5,0
1,10:43.0,Defensive rebound by A. Davis,,5,0
1,10:32.0,E. Moore misses 3-pt jump shot from 22 ft,,5,0
1,10:28.0,,Defensive rebound by J. Harden,5,0
1,10:22.0,,P. Tucker misses 3-pt jump shot from 22 ft,5,0
1,10:19.0,,Offensive rebound by J. Ennis,5,0
1,10:08.0,,C. Paul makes 3-pt jump shot from 26 ft,5,3
1,9:58.0,N. Mirotić makes 2-pt jump shot from 13 ft (assist by E. Payton),,7,3
1,9:44.0,,C. Capela misses 2-pt dunk from 2 ft (block by A. Davis),7,3
1,9:41.0,,Offensive rebound by C. Capela,7,3
1,9:33.0,,J. Harden misses 3-pt jump shot from 27 ft,7,3
1,9:28.0,Defensive rebound by E. Payton,,7,3
1,9:25.0,Turnover by E. Payton (bad pass; steal by J. Harden),,7,3
1,9:19.0,,Turnover by C. Paul (lost ball; steal by E. Payton),7,3
1,9:14.0,A. Davis makes 2-pt dunk at rim (assist by E. Payton),,9,3
1,8:57.0,,C. Capela misses 2-pt jump shot from 6 ft,9,3
1,8:55.0,,Offensive rebound by C. Capela,9,3
1,8:55.0,,C. Capela misses 2-pt layup from 1 ft,9,3
1,8:55.0,,Offensive rebound by Team,9,3
1,8:42.0,,Shooting foul by A. Davis (drawn by J. Harden),9,3
1,8:42.0,,J. Harden misses free throw 1 of 2,9,3
1,8:42.0,,Offensive rebound by Team,9,3
1,8:42.0,,J. Harden makes free throw 2 of 2,9,4
1,8:28.0,J. Holiday makes 2-pt layup at rim (assist by A. Davis),,11,4
1,8:11.0,,C. Capela makes 2-pt dunk from 1 ft (assist by J. Harden),11,6
1,8:00.0,J. Holiday misses 3-pt jump shot from 24 ft,,11,6
1,7:56.0,,Defensive rebound by C. Capela,11,6
1,7:51.0,,J. Harden misses 3-pt jump shot from 26 ft,11,6
1,7:48.0,,Offensive rebound by J. Harden,11,6
1,7:35.0,,P. Tucker misses 3-pt jump shot from 25 ft,11,6
1,7:32.0,Defensive rebound by E. Payton,,11,6
1,7:22.0,E. Payton misses 3-pt jump shot from 25 ft,,11,6
1,7:19.0,Offensive rebound by N. Mirotić,,11,6
1,7:16.0,N. Mirotić misses 2-pt layup from 1 ft,,11,6
1,7:16.0,,Defensive rebound by P. Tucker,11,6
1,7:12.0,,Personal foul by J. Holiday (drawn by C. Paul),11,6
1,7:12.0,,C. Anthony enters the game for P. Tucker,11,6
1,7:05.0,,Turnover by J. Harden (bad pass; steal by A. Davis),11,6
1,7:00.0,N. Mirotić makes 3-pt jump shot from 26 ft,,14,6
1,6:43.0,,J. Ennis makes 2-pt dunk from 1 ft (assist by C. Paul),14,8
1,6:32.0,Personal foul by J. Harden (drawn by A. Davis),,14,8
1,6:32.0,,Houston full timeout,14,8
1,6:32.0,,E. Gordon enters the game for C. Paul,14,8
1,6:21.0,A. Davis makes 2-pt jump shot from 6 ft (assist by E. Payton),,16,8
1,6:02.0,,C. Capela makes 2-pt dunk from 2 ft (assist by J. Harden),16,10
1,5:55.0,E. Payton misses 2-pt layup from 1 ft,,16,10
1,5:51.0,Offensive rebound by N. Mirotić,,16,10
1,5:51.0,N. Mirotić makes 2-pt layup at rim,,18,10
1,5:46.0,,Personal foul by N. Mirotić (drawn by J. Harden),18,10
1,5:46.0,,M. Carter-Williams enters the game for J. Ennis,18,10
1,5:37.0,,C. Anthony makes 2-pt jump shot from 23 ft,18,12
1,5:21.0,N. Mirotić misses 2-pt jump shot from 13 ft,,18,12
1,5:18.0,,Defensive rebound by C. Anthony,18,12
1,5:12.0,,C. Anthony makes 3-pt jump shot from 25 ft (assist by J. Harden),18,15
1,4:59.0,A. Davis makes 2-pt layup at rim (assist by N. Mirotić),,20,15
1,4:50.0,,E. Gordon misses 3-pt jump shot from 26 ft,20,15
1,4:46.0,,Offensive rebound by J. Harden,20,15
1,4:43.0,,Turnover by M. Carter-Williams (traveling),20,15
1,4:43.0,D. Miller enters the game for J. Holiday,,20,15
1,4:43.0,J. Randle enters the game for N. Mirotić,,20,15
1,4:27.0,A. Davis makes 2-pt jump shot from 9 ft,,22,15
1,4:12.0,,J. Harden makes 3-pt jump shot from 26 ft,22,18
1,3:59.0,J. Randle makes 2-pt jump shot from 7 ft,,24,18
1,3:59.0,Shooting foul by C. Anthony (drawn by J. Randle),,24,18
1,3:59.0,,P. Tucker enters the game for C. Capela,24,18
1,3:59.0,J. Randle misses free throw 1 of 1,,24,18
1,3:59.0,,Defensive rebound by C. Anthony,24,18
1,3:44.0,,C. Anthony misses 2-pt jump shot from 21 ft,24,18
1,3:42.0,Defensive rebound by A. Davis,,24,18
1,3:35.0,J. Randle makes 3-pt jump shot from 24 ft (assist by E. Payton),,27,18
