QUARTER,TIME_REMAINING,LA LAKERS_ACTION,PORTLAND_ACTION,LA LAKERS_SCORE,PORTLAND_SCORE
1,11:41.0,,A. Aminu misses 2-pt layup from 1 ft,0,0
1,11:39.0,,Offensive rebound by D. Lillard,0,0
1,11:31.0,,A. Aminu misses 3-pt jump shot from 25 ft,0,0
1,11:28.0,Defensive rebound by J. McGee,,0,0
1,11:19.0,Turnover by B. Ingram (lost ball; steal by J. Layman),,0,0
1,11:09.0,,J. Layman misses 3-pt jump shot from 25 ft,0,0
1,11:04.0,Defensive rebound by R. Rondo,,0,0
1,10:54.0,R. Rondo makes 2-pt layup from 3 ft,,2,0
1,10:30.0,,J. Nurkić makes 2-pt hook shot from 3 ft (assist by C. McCollum),2,2
1,10:14.0,Personal foul by J. Layman (drawn by B. Ingram),,2,2
1,10:05.0,B. Ingram makes 2-pt layup from 1 ft (assist by L. James),,4,2
1,9:50.0,,D. Lillard misses 3-pt jump shot from 24 ft,4,2
1,9:48.0,Defensive rebound by R. Rondo,,4,2
1,9:44.0,Personal foul by A. Aminu (drawn by L. James),,4,2
1,9:40.0,J. McGee makes 2-pt dunk from 2 ft,,6,2
1,9:26.0,,C. McCollum misses 2-pt layup from 2 ft,6,2
1,9:26.0,,Offensive rebound by Team,6,2
1,9:23.0,,Turnover by J. Layman (bad pass; steal by L. James),6,2
1,9:21.0,L. James makes 2-pt dunk from 1 ft,,8,2
1,9:08.0,,D. Lillard makes 2-pt dunk at rim,8,4
1,9:02.0,L. James makes 2-pt dunk from 1 ft,,10,4
1,9:01.0,,Portland full timeout,10,4
1,8:41.0,,J. Layman makes 3-pt jump shot from 24 ft (assist by D. Lillard),10,7
1,8:34.0,B. Ingram misses 3-pt jump shot from 24 ft,,10,7
1,8:32.0,,Defensive rebound by D. Lillard,10,7
1,8:22.0,,C. McCollum misses 2-pt jump shot from 14 ft,10,7
1,8:17.0,,Offensive rebound by C. McCollum,10,7
1,8:17.0,,Shooting foul by R. Rondo (drawn by C. McCollum),10,7
1,8:17.0,,C. McCollum makes free throw 1 of 2,10,8
1,8:17.0,,C. McCollum makes free throw 2 of 2,10,9
1,8:06.0,B. Ingram misses 3-pt jump shot from 23 ft,,10,9
1,8:03.0,Offensive rebound by J. McGee,,10,9
1,7:54.0,R. Rondo makes 2-pt jump shot from 3 ft,,12,9
1,7:45.0,,Personal foul by J. McGee (drawn by D. Lillard),12,9
1,7:39.0,,Turnover by D. Lillard (bad pass; steal by J. McGee),12,9
1,7:36.0,Turnover by R. Rondo (lost ball; steal by J. Nurkić),,12,9
1,7:31.0,,D. Lillard makes 2-pt jump shot from 15 ft,12,11
1,7:13.0,L. James misses 2-pt jump shot from 6 ft,,12,11
