QUARTER,TIME_REMAINING,NEW YORK_ACTION,MILWAUKEE_ACTION,NEW YORK_SCORE,MILWAUKEE_SCORE
1,11:37.0,,K. Middleton makes 2-pt jump shot from 3 ft,0,2
1,11:30.0,Personal foul by M. Brogdon (drawn by T. Hardaway),,0,2
1,11:15.0,E. Freedom makes 2-pt jump shot from 18 ft (assist by F. Ntilikina),,2,2
1,10:59.0,,B. Lopez makes 3-pt jump shot from 23 ft (assist by E. Bledsoe),2,5
1,10:43.0,T. Burke makes 2-pt jump shot from 17 ft,,4,5
1,10:30.0,,K. Middleton makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),4,8
1,10:17.0,F. Ntilikina misses 2-pt jump shot from 19 ft,,4,8
1,10:13.0,Offensive rebound by E. Freedom,,4,8
1,10:10.0,E. Freedom makes 2-pt layup from 2 ft,,6,8
1,10:02.0,,B. Lopez makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),6,11
1,9:43.0,Turnover by T. Burke (bad pass; steal by K. Middleton),,6,11
1,9:33.0,,G. Antetokounmpo makes 2-pt dunk from 2 ft (assist by E. Bledsoe),6,13
1,9:25.0,T. Hardaway makes 3-pt jump shot from 28 ft,,9,13
1,9:07.0,,K. Middleton misses 2-pt jump shot from 9 ft,9,13
1,9:05.0,Defensive rebound by E. Freedom,,9,13
1,8:55.0,Offensive foul by E. Freedom (drawn by E. Bledsoe),,9,13
1,8:55.0,Turnover by E. Freedom (offensive foul),,9,13
1,8:35.0,,B. Lopez misses 2-pt jump shot from 14 ft,9,13
1,8:32.0,Defensive rebound by E. Freedom,,9,13
1,8:22.0,F. Ntilikina makes 2-pt layup from 1 ft (assist by T. Burke),,11,13
1,8:11.0,,M. Brogdon makes 3-pt jump shot from 26 ft (assist by B. Lopez),11,16
1,7:57.0,F. Ntilikina misses 3-pt jump shot from 27 ft,,11,16
1,7:54.0,,Defensive rebound by G. Antetokounmpo,11,16
1,7:52.0,,G. Antetokounmpo makes 2-pt layup from 2 ft,11,18
1,7:52.0,,Shooting foul by L. Thomas (drawn by G. Antetokounmpo),11,18
1,7:52.0,,G. Antetokounmpo misses free throw 1 of 1,11,18
1,7:52.0,Defensive rebound by T. Hardaway,,11,18
1,7:35.0,T. Burke makes 2-pt jump shot from 13 ft,,13,18
1,7:23.0,,G. Antetokounmpo makes 2-pt layup from 2 ft,13,20
1,7:11.0,T. Hardaway makes 2-pt layup from 5 ft (assist by E. Freedom),,15,20
1,7:11.0,,Violation by Team (def goaltending),15,20
1,7:11.0,,Milwaukee full timeout,15,20
1,7:11.0,,E. İlyasova enters the game for M. Brogdon,15,20
1,7:01.0,,Shooting foul by F. Ntilikina (drawn by E. İlyasova),15,20
1,7:01.0,,E. İlyasova makes free throw 1 of 2,15,21
