QUARTER,TIME_REMAINING,CHICAGO_ACTION,ATLANTA_ACTION,CHICAGO_SCORE,ATLANTA_SCORE
1,11:43.0,C. Payne misses 3-pt jump shot from 23 ft,,0,0
1,11:38.0,,Defensive rebound by V. Carter,0,0
1,11:27.0,,Turnover by T. Young (bad pass; steal by J. Holiday),0,0
1,11:23.0,Z. LaVine makes 2-pt dunk from 2 ft (assist by C. Payne),,2,0
1,11:07.0,,T. Prince misses 3-pt jump shot from 25 ft,2,0
1,11:04.0,Defensive rebound by Z. LaVine,,2,0
1,10:51.0,C. Payne misses 3-pt jump shot from 26 ft,,2,0
1,10:48.0,,Defensive rebound by T. Prince,2,0
1,10:42.0,,Turnover by T. Prince (bad pass; steal by J. Holiday),2,0
1,10:38.0,C. Hutchison misses 2-pt dunk from 1 ft,,2,0
1,10:37.0,Offensive rebound by J. Holiday,,2,0
1,10:37.0,Z. LaVine misses 2-pt layup from 5 ft (block by V. Carter),,2,0
1,10:35.0,Offensive rebound by C. Hutchison,,2,0
1,10:30.0,W. Carter misses 3-pt jump shot from 26 ft,,2,0
1,10:26.0,,Defensive rebound by T. Young,2,0
1,10:18.0,,Personal foul by J. Holiday (drawn by V. Carter),2,0
1,10:13.0,,T. Young misses 3-pt jump shot from 26 ft,2,0
1,10:08.0,Defensive rebound by C. Hutchison,,2,0
1,10:05.0,Offensive foul by C. Hutchison (drawn by V. Carter),,2,0
1,10:05.0,Turnover by C. Hutchison (offensive foul),,2,0
1,9:55.0,,T. Young misses 3-pt jump shot from 24 ft,2,0
1,9:52.0,Defensive rebound by W. Carter,,2,0
1,9:34.0,J. Holiday makes 3-pt jump shot from 26 ft (assist by Z. LaVine),,5,0
1,9:16.0,,V. Carter misses 2-pt jump shot from 20 ft,5,0
1,9:13.0,Defensive rebound by J. Holiday,,5,0
1,9:10.0,J. Holiday misses 2-pt layup from 1 ft,,5,0
1,9:06.0,,Defensive rebound by A. Len,5,0
1,9:06.0,,Shooting foul by C. Payne (drawn by T. Young),5,0
1,9:06.0,,T. Young misses free throw 1 of 2,5,0
1,9:06.0,,Offensive rebound by Team,5,0
1,9:06.0,,T. Young makes free throw 2 of 2,5,1
1,8:51.0,Shooting foul by K. Bazemore (drawn by Z. LaVine),,5,1
1,8:51.0,Z. LaVine misses free throw 1 of 2,,5,1
1,8:51.0,Offensive rebound by Team,,5,1
1,8:51.0,Z. LaVine makes free throw 2 of 2,,6,1
1,8:39.0,,Turnover by K. Bazemore (bad pass; steal by C. Payne),6,1
1,8:33.0,W. Carter makes 2-pt jump shot from 16 ft (assist by C. Payne),,8,1
1,8:18.0,,Turnover by T. Prince (lost ball; steal by Z. LaVine),8,1
1,8:11.0,C. Hutchison makes 2-pt layup from 2 ft (assist by J. Holiday),,10,1
1,8:11.0,,Atlanta full timeout,10,1
1,8:01.0,,T. Prince misses 2-pt jump shot from 6 ft,10,1
1,7:57.0,,Offensive rebound by T. Young,10,1
1,7:56.0,,T. Young misses 2-pt jump shot from 15 ft,10,1
1,7:51.0,Defensive rebound by W. Carter,,10,1
1,7:38.0,J. Holiday misses 3-pt jump shot from 23 ft,,10,1
1,7:35.0,,Defensive rebound by V. Carter,10,1
1,7:31.0,,Shooting foul by C. Hutchison (drawn by T. Young),10,1
1,7:31.0,,T. Young makes free throw 1 of 2,10,2
1,7:31.0,,D. Bembry enters the game for V. Carter,10,2
1,7:31.0,,T. Young makes free throw 2 of 2,10,3
