QUARTER,TIME_REMAINING,TORONTO_ACTION,UTAH_ACTION,TORONTO_SCORE,UTAH_SCORE
1,11:40.0,Turnover by K. Lowry (bad pass; steal by D. Favors),,0,0
1,11:36.0,,R. O'Neale misses 2-pt layup from 1 ft,0,0
1,11:31.0,,Offensive rebound by D. Favors,0,0
1,11:31.0,,D. Favors makes 2-pt layup from 1 ft,0,2
1,11:25.0,Turnover by J. Valančiūnas (bad pass; steal by D. Favors),,0,2
1,11:20.0,,R. O'Neale misses 2-pt layup from 2 ft (block by J. Valančiūnas),0,2
1,11:17.0,Defensive rebound by D. Green,,0,2
1,11:17.0,Turnover by P. Siakam (traveling),,0,2
1,11:03.0,,J. Ingles makes 2-pt layup from 3 ft,0,4
1,10:38.0,J. Valančiūnas makes 2-pt hook shot from 4 ft,,2,4
1,10:20.0,,R. O'Neale makes 2-pt layup from 2 ft (assist by R. Rubio),2,6
1,10:11.0,K. Lowry makes 3-pt jump shot from 24 ft,,5,6
1,9:57.0,,J. Ingles misses 2-pt layup from 2 ft (block by J. Valančiūnas),5,6
1,9:57.0,,Offensive rebound by Team,5,6
1,9:54.0,,Personal foul by D. Green (drawn by R. Gobert),5,6
1,9:49.0,,Shooting foul by P. Siakam (drawn by D. Favors),5,6
1,9:49.0,,D. Favors makes free throw 1 of 2,5,7
1,9:49.0,,D. Favors misses free throw 2 of 2,5,7
1,9:47.0,,Offensive rebound by D. Favors,5,7
1,9:40.0,,J. Ingles makes 3-pt jump shot from 25 ft (assist by R. O'Neale),5,10
1,9:27.0,J. Valančiūnas misses 3-pt jump shot from 25 ft,,5,10
1,9:24.0,,Defensive rebound by R. O'Neale,5,10
1,9:15.0,,Turnover by J. Ingles (bad pass; steal by D. Green),5,10
1,9:12.0,Turnover by K. Lowry (lost ball; steal by D. Favors),,5,10
1,9:08.0,,R. Rubio misses 3-pt jump shot from 26 ft,5,10
1,9:04.0,Defensive rebound by K. Lowry,,5,10
1,8:55.0,J. Valančiūnas misses 2-pt layup from 4 ft (block by R. Gobert),,5,10
1,8:55.0,,Defensive rebound by R. Rubio,5,10
1,8:50.0,,R. O'Neale makes 2-pt dunk from 2 ft (assist by R. Rubio),5,12
1,8:50.0,Toronto full timeout,,5,12
1,8:34.0,Turnover by O. Anunoby (bad pass; steal by R. O'Neale),,5,12
1,8:27.0,,R. O'Neale makes 2-pt layup from 2 ft (assist by R. Rubio),5,14
1,8:15.0,J. Valančiūnas makes 2-pt dunk from 2 ft (assist by K. Lowry),,7,14
1,8:01.0,,J. Ingles misses 2-pt jump shot from 11 ft,7,14
1,7:59.0,Defensive rebound by P. Siakam,,7,14
1,7:53.0,K. Lowry misses 3-pt jump shot from 25 ft,,7,14
1,7:48.0,,Defensive rebound by R. Gobert,7,14
1,7:32.0,,R. Rubio misses 2-pt layup from 2 ft,7,14
1,7:31.0,Defensive rebound by J. Valančiūnas,,7,14
1,7:23.0,J. Valančiūnas makes 3-pt jump shot from 25 ft (assist by K. Lowry),,10,14
1,7:00.0,,R. Rubio makes 2-pt jump shot from 15 ft (assist by R. Gobert),10,16
1,6:52.0,O. Anunoby misses 3-pt jump shot from 23 ft,,10,16
1,6:48.0,,Defensive rebound by D. Favors,10,16
1,6:38.0,,D. Favors makes 2-pt dunk from 2 ft (assist by J. Ingles),10,18
1,6:15.0,P. Siakam makes 2-pt jump shot from 19 ft,,12,18
1,6:05.0,,Turnover by J. Ingles (bad pass; steal by J. Valančiūnas),12,18
1,5:59.0,D. Green misses 3-pt jump shot from 25 ft,,12,18
1,5:55.0,,Defensive rebound by R. Gobert,12,18
1,5:36.0,,Personal foul by K. Lowry (drawn by R. O'Neale),12,18
1,5:36.0,S. Ibaka enters the game for D. Green,,12,18
1,5:36.0,F. VanVleet enters the game for J. Valančiūnas,,12,18
1,5:36.0,,A. Burks enters the game for R. Gobert,12,18
1,5:36.0,,J. Crowder enters the game for R. O'Neale,12,18
1,5:29.0,,A. Burks makes 2-pt jump shot from 12 ft,12,20
1,5:15.0,Turnover by F. VanVleet (bad pass),,12,20
1,5:04.0,,R. Rubio misses 2-pt jump shot from 16 ft,12,20
1,5:01.0,Defensive rebound by P. Siakam,,12,20
1,4:54.0,P. Siakam makes 2-pt hook shot from 5 ft,,14,20
1,4:41.0,,J. Crowder misses 3-pt jump shot from 25 ft,14,20
1,4:38.0,Defensive rebound by S. Ibaka,,14,20
1,4:32.0,S. Ibaka makes 3-pt jump shot from 25 ft (assist by K. Lowry),,17,20
1,4:29.0,,Utah full timeout,17,20
1,4:16.0,,Personal foul by O. Anunoby (drawn by J. Crowder),17,20
1,4:07.0,,J. Ingles misses 3-pt jump shot from 25 ft,17,20
1,4:05.0,,Offensive rebound by Team,17,20
1,4:02.0,,J. Crowder misses 3-pt jump shot from 22 ft,17,20
1,4:01.0,Defensive rebound by F. VanVleet,,17,20
1,3:47.0,O. Anunoby makes 2-pt hook shot from 6 ft (assist by F. VanVleet),,19,20
1,3:29.0,,R. Rubio misses 3-pt jump shot from 23 ft,19,20
1,3:27.0,Defensive rebound by F. VanVleet,,19,20
1,3:24.0,Personal foul by R. Rubio (drawn by F. VanVleet),,19,20
1,3:24.0,D. Green enters the game for O. Anunoby,,19,20
1,3:24.0,,D. Exum enters the game for R. Rubio,19,20
1,3:12.0,S. Ibaka makes 2-pt jump shot from 8 ft (assist by K. Lowry),,21,20
1,2:44.0,,Shooting foul by K. Lowry (drawn by A. Burks),21,20
1,2:44.0,,A. Burks makes free throw 1 of 3,21,21
1,2:44.0,,A. Burks makes free throw 2 of 3,21,22
1,2:44.0,D. Wright enters the game for K. Lowry,,21,22
1,2:44.0,,G. Allen enters the game for D. Favors,21,22
1,2:44.0,,R. Gobert enters the game for J. Ingles,21,22
1,2:44.0,,A. Burks makes free throw 3 of 3,21,23
1,2:32.0,Turnover by S. Ibaka (off goaltending),,21,23
1,2:17.0,,R. Gobert makes 2-pt dunk from 4 ft (assist by D. Exum),21,25
1,2:03.0,S. Ibaka makes 2-pt jump shot from 20 ft (assist by F. VanVleet),,23,25
1,1:56.0,,Shooting foul by P. Siakam (drawn by J. Crowder),23,25
1,1:56.0,,J. Crowder makes free throw 1 of 2,23,26
1,1:56.0,C. Miles enters the game for P. Siakam,,23,26
1,1:56.0,,J. Crowder makes free throw 2 of 2,23,27
1,1:35.0,F. VanVleet makes 2-pt layup from 2 ft,,25,27
1,1:18.0,,J. Crowder misses 2-pt jump shot from 18 ft,25,27
1,1:14.0,Defensive rebound by D. Green,,25,27
1,0:55.0,S. Ibaka makes 2-pt layup from 2 ft (assist by C. Miles),,27,27
1,0:40.0,,R. Gobert makes 2-pt dunk from 3 ft (assist by A. Burks),27,29
1,0:31.0,F. VanVleet makes 3-pt jump shot from 28 ft,,30,29
1,0:16.0,,D. Exum makes 2-pt layup from 2 ft,30,31
1,0:03.0,F. VanVleet misses 3-pt jump shot from 28 ft,,30,31
1,0:00.0,,Defensive rebound by R. Gobert,30,31
2,11:50.0,,Personal foul by C. Miles (drawn by J. Crowder),30,31
2,11:45.0,,R. Gobert makes 2-pt dunk from 2 ft (assist by A. Burks),30,33
2,11:45.0,,Shooting foul by S. Ibaka (drawn by R. Gobert),30,33
