QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,GOLDEN STATE_ACTION,MILWAUKEE_SCORE,GOLDEN STATE_SCORE
1,11:42.0,Turnover by K. Middleton (bad pass; steal by K. Thompson),,0,0
1,11:34.0,,J. Bell makes 2-pt jump shot from 4 ft (assist by S. Curry),0,2
1,11:18.0,Shooting foul by J. Bell (drawn by G. Antetokounmpo),,0,2
1,11:18.0,G. Antetokounmpo makes free throw 1 of 2,,1,2
1,11:18.0,G. Antetokounmpo makes free throw 2 of 2,,2,2
1,11:04.0,,K. Thompson misses 2-pt jump shot from 12 ft,2,2
1,11:03.0,Defensive rebound by B. Lopez,,2,2
1,10:56.0,Shooting foul by S. Curry (drawn by E. Bledsoe),,2,2
1,10:56.0,E. Bledsoe misses free throw 1 of 2,,2,2
1,10:56.0,Offensive rebound by Team,,2,2
1,10:56.0,E. Bledsoe makes free throw 2 of 2,,3,2
1,10:39.0,,K. Durant misses 2-pt jump shot from 15 ft (block by K. Middleton),3,2
1,10:37.0,Defensive rebound by K. Middleton,,3,2
1,10:34.0,M. Brogdon makes 3-pt jump shot from 26 ft (assist by K. Middleton),,6,2
1,10:12.0,,S. Curry misses 2-pt jump shot from 12 ft,6,2
1,10:11.0,Defensive rebound by G. Antetokounmpo,,6,2
1,9:59.0,Personal foul by K. Durant (drawn by G. Antetokounmpo),,6,2
1,9:49.0,M. Brogdon misses 2-pt layup from 2 ft,,6,2
1,9:49.0,Offensive rebound by Team,,6,2
1,9:49.0,B. Lopez misses 2-pt layup from 2 ft,,6,2
1,9:49.0,Offensive rebound by B. Lopez,,6,2
1,9:48.0,Personal foul by K. Thompson (drawn by B. Lopez),,6,2
1,9:41.0,Turnover by E. Bledsoe (bad pass; steal by D. Jones),,6,2
1,9:29.0,,S. Curry makes 2-pt layup from 3 ft (assist by K. Durant),6,4
1,9:19.0,E. Bledsoe makes 2-pt layup from 3 ft,,8,4
1,9:12.0,,K. Durant makes 2-pt jump shot from 19 ft,8,6
