QUARTER,TIME_REMAINING,NEW YORK_ACTION,NEW ORLEANS_ACTION,NEW YORK_SCORE,NEW ORLEANS_SCORE
1,11:47.0,K. Knox misses 3-pt jump shot from 25 ft,,0,0
1,11:42.0,,Defensive rebound by A. Davis,0,0
1,11:26.0,,Turnover by A. Davis (lost ball; steal by M. Robinson),0,0
1,11:20.0,T. Hardaway misses 3-pt jump shot from 23 ft,,0,0
1,11:17.0,,Defensive rebound by N. Mirotić,0,0
1,11:08.0,,A. Davis misses 2-pt jump shot from 8 ft,0,0
1,11:05.0,Defensive rebound by E. Mudiay,,0,0
1,10:52.0,Turnover by T. Hardaway (bad pass; steal by E. Payton),,0,0
1,10:48.0,,E. Moore misses 2-pt dunk from 2 ft (block by A. Trier),0,0
1,10:47.0,Defensive rebound by Team,,0,0
1,10:26.0,A. Trier misses 2-pt layup from 3 ft,,0,0
1,10:24.0,,Defensive rebound by A. Davis,0,0
1,10:19.0,,E. Payton misses 2-pt layup from 2 ft,0,0
1,10:13.0,Defensive rebound by E. Mudiay,,0,0
1,10:08.0,E. Mudiay makes 2-pt layup from 2 ft,,2,0
1,10:02.0,,N. Mirotić misses 3-pt jump shot from 27 ft,2,0
1,9:59.0,Defensive rebound by T. Hardaway,,2,0
1,9:52.0,T. Hardaway makes 2-pt jump shot from 10 ft,,4,0
1,9:44.0,,Personal foul by K. Knox (drawn by N. Mirotić),4,0
1,9:38.0,,A. Davis makes 2-pt dunk from 1 ft (assist by J. Holiday),4,2
1,9:30.0,Personal foul by E. Payton (drawn by E. Mudiay),,4,2
1,9:24.0,A. Trier makes 2-pt jump shot from 16 ft (assist by M. Robinson),,6,2
1,9:15.0,,J. Holiday misses 2-pt jump shot from 23 ft,6,2
1,9:15.0,Defensive rebound by K. Knox,,6,2
1,9:04.0,E. Mudiay misses 2-pt jump shot from 19 ft,,6,2
1,9:01.0,,Defensive rebound by E. Payton,6,2
1,8:48.0,,N. Mirotić makes 2-pt hook shot from 7 ft (assist by A. Davis),6,4
1,8:44.0,Turnover by E. Mudiay (back court),,6,4
1,8:33.0,,N. Mirotić misses 2-pt jump shot from 21 ft,6,4
1,8:29.0,Defensive rebound by T. Hardaway,,6,4
1,8:24.0,Personal foul by E. Payton (drawn by T. Hardaway),,6,4
1,8:18.0,Turnover by K. Knox (bad pass),,6,4
