QUARTER,TIME_REMAINING,ATLANTA_ACTION,INDIANA_ACTION,ATLANTA_SCORE,INDIANA_SCORE
1,11:46.0,,B. Bogdanović makes 2-pt layup at rim (assist by M. Turner),0,2
1,11:24.0,K. Huerter misses 3-pt jump shot from 30 ft,,0,2
1,11:21.0,,Defensive rebound by V. Oladipo,0,2
1,11:11.0,,D. Collison misses 2-pt layup from 1 ft (block by A. Poythress),0,2
1,11:08.0,Defensive rebound by A. Poythress,,0,2
1,11:04.0,K. Bazemore misses 2-pt layup from 1 ft,,0,2
1,11:01.0,Offensive rebound by A. Len,,0,2
1,11:01.0,A. Len misses 2-pt layup at rim,,0,2
1,10:58.0,,Defensive rebound by M. Turner,0,2
1,10:54.0,,Turnover by V. Oladipo (bad pass),0,2
1,10:39.0,K. Huerter misses 2-pt layup from 3 ft,,0,2
1,10:39.0,Offensive rebound by Team,,0,2
1,10:35.0,A. Len misses 2-pt jump shot from 19 ft,,0,2
1,10:32.0,,Defensive rebound by B. Bogdanović,0,2
1,10:15.0,,M. Turner misses 2-pt jump shot from 21 ft,0,2
1,10:12.0,Defensive rebound by K. Bazemore,,0,2
1,10:09.0,Personal foul by D. Collison (drawn by T. Young),,0,2
1,10:03.0,K. Bazemore makes 3-pt jump shot from 25 ft (assist by T. Young),,3,2
1,9:48.0,,V. Oladipo misses 2-pt layup at rim,3,2
1,9:46.0,Defensive rebound by K. Huerter,,3,2
1,9:41.0,A. Len misses 2-pt jump shot from 4 ft,,3,2
1,9:41.0,,Defensive rebound by Team,3,2
1,9:33.0,,D. Collison misses 2-pt jump shot from 16 ft,3,2
1,9:29.0,Defensive rebound by A. Poythress,,3,2
1,9:13.0,T. Young misses 3-pt jump shot from 29 ft,,3,2
1,9:10.0,,Defensive rebound by M. Turner,3,2
1,9:04.0,,T. Young misses 2-pt hook shot from 5 ft,3,2
1,9:00.0,Defensive rebound by Team,,3,2
1,8:48.0,T. Young misses 2-pt jump shot from 2 ft,,3,2
1,8:46.0,,Defensive rebound by M. Turner,3,2
1,8:43.0,,Shooting foul by A. Poythress (drawn by D. Collison),3,2
1,8:43.0,,D. Collison makes free throw 1 of 2,3,3
1,8:43.0,,D. Collison makes free throw 2 of 2,3,4
1,8:31.0,K. Huerter misses 2-pt layup from 2 ft (block by M. Turner),,3,4
1,8:30.0,Offensive rebound by Team,,3,4
1,8:25.0,T. Young misses 3-pt jump shot from 26 ft,,3,4
1,8:22.0,Offensive rebound by K. Bazemore,,3,4
1,8:18.0,K. Huerter makes 3-pt jump shot from 27 ft (assist by A. Len),,6,4
1,8:11.0,,Shooting foul by T. Young (drawn by V. Oladipo),6,4
1,8:11.0,,V. Oladipo makes free throw 1 of 2,6,5
1,8:11.0,,V. Oladipo makes free throw 2 of 2,6,6
1,7:53.0,K. Bazemore misses 2-pt jump shot from 19 ft,,6,6
1,7:50.0,,Defensive rebound by V. Oladipo,6,6
1,7:48.0,,T. Young makes 2-pt dunk from 1 ft (assist by V. Oladipo),6,8
1,7:38.0,A. Len misses 3-pt jump shot from 23 ft,,6,8
1,7:35.0,,Defensive rebound by T. Young,6,8
1,7:23.0,,T. Young misses 2-pt layup from 1 ft (block by A. Poythress),6,8
1,7:22.0,,Offensive rebound by Team,6,8
1,7:22.0,D. Dedmon enters the game for A. Len,,6,8
1,7:22.0,J. Lin enters the game for T. Young,,6,8
1,7:22.0,,T. Evans enters the game for V. Oladipo,6,8
1,7:22.0,,Offensive foul by M. Turner (drawn by K. Huerter),6,8
1,7:22.0,,Turnover by M. Turner (offensive foul),6,8
1,7:11.0,D. Dedmon makes 2-pt layup from 1 ft (assist by J. Lin),,8,8
1,7:11.0,Shooting foul by T. Evans (drawn by D. Dedmon),,8,8
1,7:11.0,D. Dedmon makes free throw 1 of 1,,9,8
1,6:53.0,,Shooting foul by J. Lin (drawn by B. Bogdanović),9,8
1,6:53.0,,Indiana full timeout,9,8
1,6:53.0,D. Bembry enters the game for K. Bazemore,,9,8
1,6:53.0,J. Collins enters the game for A. Poythress,,9,8
1,6:53.0,,B. Bogdanović makes free throw 1 of 2,9,9
1,6:53.0,,B. Bogdanović makes free throw 2 of 2,9,10
1,6:41.0,Personal foul by B. Bogdanović (drawn by J. Collins),,9,10
1,6:37.0,D. Bembry makes 2-pt layup from 2 ft (assist by J. Lin),,11,10
1,6:22.0,,T. Young makes 2-pt jump shot from 19 ft (assist by D. Collison),11,12
1,6:01.0,D. Dedmon misses 3-pt jump shot from 28 ft,,11,12
1,5:58.0,,Defensive rebound by B. Bogdanović,11,12
1,5:50.0,,T. Evans misses 3-pt jump shot from 23 ft,11,12
1,5:46.0,Defensive rebound by J. Lin,,11,12
1,5:38.0,Personal foul by T. Young (drawn by J. Collins),,11,12
1,5:38.0,T. Dorsey enters the game for K. Huerter,,11,12
1,5:38.0,,C. Joseph enters the game for B. Bogdanović,11,12
1,5:38.0,,D. Sabonis enters the game for T. Young,11,12
1,5:34.0,Turnover by J. Collins (bad pass; steal by C. Joseph),,11,12
1,5:12.0,,C. Joseph makes 2-pt jump shot from 21 ft,11,14
1,4:54.0,Shooting foul by D. Sabonis (drawn by D. Bembry),,11,14
1,4:54.0,D. Bembry makes free throw 1 of 2,,12,14
1,4:54.0,D. Bembry makes free throw 2 of 2,,13,14
