QUARTER,TIME_REMAINING,PHOENIX_ACTION,PHILADELPHIA_ACTION,PHOENIX_SCORE,PHILADELPHIA_SCORE
1,11:44.0,D. Ayton makes 2-pt dunk from 1 ft (assist by D. Booker),,2,0
1,11:27.0,,J. Butler makes 2-pt jump shot from 13 ft (assist by B. Simmons),2,2
1,11:08.0,D. Booker misses 2-pt jump shot from 11 ft,,2,2
1,11:05.0,,Defensive rebound by B. Simmons,2,2
1,11:04.0,,Personal take foul by T. Ariza (drawn by B. Simmons),2,2
1,10:57.0,,Turnover by J. Embiid (out of bounds lost ball),2,2
1,10:36.0,D. Ayton misses 2-pt layup from 2 ft,,2,2
1,10:34.0,,Defensive rebound by J. Embiid,2,2
1,10:24.0,,Shooting foul by M. Bridges (drawn by B. Simmons),2,2
1,10:24.0,,B. Simmons misses free throw 1 of 2,2,2
1,10:24.0,,Offensive rebound by Team,2,2
1,10:24.0,,B. Simmons misses free throw 2 of 2,2,2
1,10:21.0,Defensive rebound by D. Ayton,,2,2
1,10:12.0,D. Ayton makes 2-pt jump shot from 17 ft (assist by T. Warren),,4,2
1,10:00.0,,J. Redick makes 2-pt jump shot from 23 ft,4,4
1,9:47.0,D. Booker makes 3-pt jump shot from 27 ft,,7,4
1,9:33.0,,Turnover by B. Simmons (bad pass; steal by T. Ariza),7,4
1,9:28.0,T. Warren makes 2-pt layup from 1 ft (assist by D. Booker),,9,4
1,9:14.0,,J. Embiid misses 2-pt hook shot from 4 ft,9,4
1,9:12.0,Defensive rebound by D. Booker,,9,4
1,9:05.0,Personal foul by J. Embiid (drawn by D. Ayton),,9,4
1,8:56.0,D. Booker misses 2-pt jump shot from 10 ft,,9,4
1,8:53.0,,Defensive rebound by B. Simmons,9,4
1,8:47.0,,J. Butler makes 2-pt jump shot from 19 ft (assist by B. Simmons),9,6
1,8:29.0,M. Bridges makes 3-pt jump shot from 28 ft (assist by D. Booker),,12,6
1,8:19.0,,Turnover by W. Chandler (bad pass; steal by M. Bridges),12,6
1,8:16.0,M. Bridges makes 2-pt dunk from 1 ft,,14,6
1,8:03.0,,Personal foul by M. Bridges (drawn by J. Redick),14,6
1,8:03.0,R. Holmes enters the game for D. Ayton,,14,6
1,8:03.0,J. Jackson enters the game for M. Bridges,,14,6
1,7:54.0,,Turnover by J. Redick (lost ball; steal by T. Ariza),14,6
1,7:48.0,R. Holmes makes 2-pt dunk from 1 ft (assist by T. Ariza),,16,6
1,7:48.0,,Philadelphia full timeout,16,6
1,7:31.0,,Shooting foul by R. Holmes (drawn by J. Embiid),16,6
1,7:31.0,,L. Shamet enters the game for J. Redick,16,6
1,7:31.0,,J. Embiid makes free throw 1 of 2,16,7
1,7:31.0,,J. Embiid makes free throw 2 of 2,16,8
1,7:07.0,D. Booker makes 3-pt jump shot from 27 ft (assist by J. Jackson),,19,8
1,6:55.0,,L. Shamet makes 2-pt jump shot from 20 ft (assist by B. Simmons),19,10
1,6:38.0,T. Warren misses 2-pt jump shot from 9 ft,,19,10
1,6:32.0,Offensive rebound by R. Holmes,,19,10
1,6:31.0,Turnover by R. Holmes (bad pass; steal by J. Embiid),,19,10
1,6:28.0,,W. Chandler makes 2-pt layup from 3 ft (assist by B. Simmons),19,12
1,6:10.0,R. Holmes makes 2-pt jump shot from 8 ft (assist by T. Warren),,21,12
1,5:58.0,,J. Embiid makes 2-pt dunk from 1 ft (assist by L. Shamet),21,14
1,5:50.0,T. Ariza makes 3-pt jump shot from 24 ft (assist by D. Booker),,24,14
1,5:38.0,,L. Shamet makes 3-pt jump shot from 26 ft (assist by B. Simmons),24,17
1,5:32.0,Offensive foul by J. Jackson (drawn by L. Shamet),,24,17
1,5:32.0,Turnover by J. Jackson (offensive foul),,24,17
1,5:32.0,,A. Johnson enters the game for J. Embiid,24,17
1,5:20.0,,A. Johnson misses 2-pt layup from 5 ft,24,17
1,5:16.0,,Offensive rebound by J. Butler,24,17
1,5:16.0,,J. Butler misses 2-pt dunk at rim,24,17
1,5:16.0,Defensive rebound by D. Booker,,24,17
1,5:16.0,T. Warren makes 2-pt layup from 3 ft (assist by D. Booker),,26,17
1,5:16.0,Shooting foul by A. Johnson (drawn by T. Warren),,26,17
1,5:16.0,T. Warren makes free throw 1 of 1,,27,17
1,4:57.0,,B. Simmons makes 2-pt dunk at rim (assist by W. Chandler),27,19
1,4:39.0,R. Holmes makes 2-pt dunk from 1 ft (assist by D. Booker),,29,19
1,4:21.0,,J. Butler misses 2-pt layup from 2 ft,29,19
1,4:19.0,Defensive rebound by R. Holmes,,29,19
1,4:13.0,Personal foul by L. Shamet (drawn by T. Warren),,29,19
1,4:13.0,Phoenix full timeout,,29,19
1,4:13.0,,M. Fultz enters the game for J. Butler,29,19
1,4:13.0,,F. Korkmaz enters the game for W. Chandler,29,19
1,4:13.0,,M. Muscala enters the game for B. Simmons,29,19
1,4:07.0,T. Ariza misses 3-pt jump shot from 23 ft,,29,19
1,4:03.0,,Defensive rebound by F. Korkmaz,29,19
1,3:48.0,,A. Johnson misses 2-pt hook shot from 6 ft,29,19
1,3:48.0,Defensive rebound by Team,,29,19
1,3:48.0,I. Canaan enters the game for D. Booker,,29,19
1,3:27.0,T. Warren misses 2-pt hook shot from 9 ft,,29,19
1,3:25.0,,Defensive rebound by A. Johnson,29,19
1,3:17.0,,Turnover by F. Korkmaz (lost ball; steal by J. Jackson),29,19
1,3:09.0,T. Ariza makes 2-pt layup from 3 ft,,31,19
1,2:59.0,,L. Shamet misses 3-pt jump shot from 26 ft,31,19
1,2:57.0,Defensive rebound by T. Ariza,,31,19
1,2:48.0,J. Jackson makes 2-pt hook shot from 5 ft,,33,19
1,2:29.0,,Offensive foul by A. Johnson (drawn by I. Canaan),33,19
1,2:29.0,,Turnover by A. Johnson (offensive foul),33,19
1,2:29.0,D. Ayton enters the game for R. Holmes,,33,19
1,2:29.0,,J. Embiid enters the game for A. Johnson,33,19
1,2:29.0,,J. Redick enters the game for L. Shamet,33,19
1,2:17.0,J. Jackson misses 3-pt jump shot from 24 ft,,33,19
1,2:15.0,,Defensive rebound by M. Muscala,33,19
1,2:01.0,,Turnover by F. Korkmaz (lost ball; steal by T. Ariza),33,19
1,2:00.0,Personal foul by F. Korkmaz (drawn by J. Jackson),,33,19
1,2:00.0,M. Bridges enters the game for T. Ariza,,33,19
1,1:51.0,Turnover by J. Jackson (bad pass; steal by J. Embiid),,33,19
1,1:44.0,,J. Redick misses 2-pt jump shot from 22 ft (block by J. Jackson),33,19
1,1:42.0,,Offensive rebound by J. Redick,33,19
1,1:42.0,,Shooting foul by I. Canaan (drawn by J. Redick),33,19
1,1:42.0,,J. Redick makes free throw 1 of 2,33,20
1,1:42.0,D. Booker enters the game for J. Jackson,,33,20
1,1:42.0,,J. Redick makes free throw 2 of 2,33,21
1,1:33.0,Shooting foul by M. Fultz (drawn by I. Canaan),,33,21
1,1:33.0,I. Canaan misses free throw 1 of 2,,33,21
1,1:33.0,Offensive rebound by Team,,33,21
1,1:33.0,I. Canaan makes free throw 2 of 2,,34,21
1,1:26.0,,Turnover by M. Fultz (traveling),34,21
1,1:13.0,Shooting foul by M. Fultz (drawn by D. Booker),,34,21
1,1:13.0,D. Booker makes free throw 1 of 2,,35,21
1,1:13.0,D. Booker makes free throw 2 of 2,,36,21
1,1:03.0,,J. Redick makes 3-pt jump shot from 25 ft (assist by F. Korkmaz),36,24
1,0:49.0,Offensive foul by D. Ayton (drawn by F. Korkmaz),,36,24
1,0:49.0,Turnover by D. Ayton (offensive foul),,36,24
1,0:38.0,,F. Korkmaz misses 3-pt jump shot from 26 ft,36,24
1,0:31.0,Defensive rebound by I. Canaan,,36,24
1,0:22.0,T. Warren misses 2-pt jump shot from 5 ft,,36,24
1,0:20.0,Offensive rebound by D. Ayton,,36,24
1,0:18.0,M. Bridges misses 3-pt jump shot from 27 ft,,36,24
1,0:15.0,,Defensive rebound by Team,36,24
1,0:15.0,Loose ball foul by T. Warren (drawn by M. Muscala),,36,24
1,0:15.0,,M. Muscala makes free throw 1 of 2,36,25
1,0:15.0,T. Ariza enters the game for T. Warren,,36,25
1,0:15.0,,M. Muscala makes free throw 2 of 2,36,26
1,0:04.0,D. Booker misses 3-pt jump shot from 26 ft,,36,26
1,0:02.0,,Defensive rebound by M. Muscala,36,26
1,0:00.0,,M. Fultz misses 3-pt jump shot from 65 ft,36,26
1,0:00.0,,Offensive rebound by Team,36,26
2,11:45.0,,J. Embiid misses 2-pt jump shot from 16 ft,36,26
2,11:42.0,Defensive rebound by T. Ariza,,36,26
2,11:21.0,D. Booker misses 2-pt jump shot from 11 ft,,36,26
2,11:17.0,,Defensive rebound by M. Fultz,36,26
2,11:12.0,,M. Fultz misses 2-pt layup from 2 ft,36,26
2,11:10.0,Defensive rebound by I. Canaan,,36,26
2,11:04.0,D. Ayton makes 2-pt jump shot from 16 ft (assist by I. Canaan),,38,26
2,10:53.0,,Personal foul by M. Bridges (drawn by J. Embiid),38,26
2,10:53.0,T. Daniels enters the game for M. Bridges,,38,26
2,10:40.0,,J. Embiid makes 2-pt jump shot from 5 ft,38,28
2,10:26.0,D. Ayton misses 2-pt jump shot from 11 ft,,38,28
2,10:26.0,,Defensive rebound by F. Korkmaz,38,28
2,10:17.0,,Shooting foul by D. Ayton (drawn by J. Embiid),38,28
2,10:17.0,,J. Embiid makes free throw 1 of 2,38,29
2,10:17.0,,J. Embiid makes free throw 2 of 2,38,30
2,9:59.0,I. Canaan misses 2-pt layup from 2 ft (block by J. Embiid),,38,30
2,9:56.0,,Defensive rebound by J. Redick,38,30
2,9:51.0,,J. Embiid makes 2-pt jump shot from 8 ft (assist by M. Fultz),38,32
2,9:51.0,,Shooting foul by D. Ayton (drawn by J. Embiid),38,32
2,9:51.0,,J. Embiid misses free throw 1 of 1,38,32
2,9:51.0,Defensive rebound by T. Ariza,,38,32
2,9:51.0,Phoenix full timeout,,38,32
2,9:51.0,J. Crawford enters the game for D. Ayton,,38,32
2,9:51.0,R. Holmes enters the game for I. Canaan,,38,32
2,9:39.0,Personal foul by M. Fultz (drawn by R. Holmes),,38,32
2,9:29.0,D. Booker makes 2-pt jump shot from 8 ft,,40,32
2,9:08.0,,J. Redick misses 3-pt jump shot from 29 ft,40,32
2,9:08.0,Defensive rebound by Team,,40,32
2,9:08.0,,Loose ball foul by J. Redick (drawn by T. Daniels),40,32
2,9:08.0,,B. Simmons enters the game for M. Fultz,40,32
2,8:58.0,Shooting foul by J. Redick (drawn by J. Crawford),,40,32
2,8:58.0,J. Crawford makes free throw 1 of 2,,41,32
2,8:58.0,J. Crawford misses free throw 2 of 2,,41,32
2,8:56.0,,Defensive rebound by B. Simmons,41,32
2,8:51.0,,Offensive foul by B. Simmons (drawn by T. Ariza),41,32
2,8:51.0,,Turnover by B. Simmons (offensive foul),41,32
