QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,PORTLAND_ACTION,LA CLIPPERS_SCORE,PORTLAND_SCORE
1,11:47.0,A. Bradley misses 2-pt jump shot from 18 ft,,0,0
1,11:45.0,,Defensive rebound by M. Harkless,0,0
1,11:29.0,,D. Lillard misses 3-pt jump shot from 28 ft,0,0
1,11:27.0,Defensive rebound by A. Bradley,,0,0
1,11:20.0,M. Gortat misses 2-pt jump shot from 9 ft,,0,0
1,11:18.0,,Defensive rebound by C. McCollum,0,0
1,11:11.0,,C. McCollum misses 2-pt jump shot from 7 ft,0,0
1,11:09.0,,Offensive rebound by J. Nurkić,0,0
1,11:07.0,,J. Nurkić makes 2-pt hook shot from 3 ft,0,2
1,10:48.0,T. Harris makes 2-pt jump shot from 6 ft,,2,2
1,10:28.0,,D. Lillard makes 2-pt jump shot from 6 ft (assist by J. Nurkić),2,4
1,10:05.0,T. Harris makes 3-pt jump shot from 24 ft,,5,4
1,9:44.0,,C. McCollum misses 2-pt jump shot from 13 ft,5,4
1,9:41.0,Defensive rebound by M. Gortat,,5,4
1,9:32.0,D. Gallinari misses 2-pt jump shot from 22 ft,,5,4
1,9:31.0,,Defensive rebound by J. Nurkić,5,4
1,9:23.0,,J. Nurkić makes 2-pt layup from 1 ft (assist by D. Lillard),5,6
1,9:09.0,A. Bradley misses 2-pt jump shot from 17 ft,,5,6
1,9:07.0,,Defensive rebound by D. Lillard,5,6
1,8:54.0,,M. Harkless makes 2-pt layup from 1 ft,5,8
1,8:40.0,T. Harris misses 3-pt jump shot from 25 ft,,5,8
1,8:39.0,,Defensive rebound by A. Aminu,5,8
1,8:23.0,,D. Lillard makes 2-pt layup from 2 ft,5,10
1,8:08.0,Turnover by D. Gallinari (lost ball; steal by A. Aminu),,5,10
1,8:04.0,,M. Harkless makes 2-pt dunk at rim (assist by D. Lillard),5,12
1,7:49.0,T. Harris misses 3-pt jump shot from 26 ft,,5,12
1,7:45.0,Offensive rebound by M. Gortat,,5,12
1,7:38.0,Shooting foul by M. Harkless (drawn by S. Gilgeous-Alexander),,5,12
1,7:38.0,S. Gilgeous-Alexander makes free throw 1 of 2,,6,12
1,7:38.0,S. Gilgeous-Alexander makes free throw 2 of 2,,7,12
1,7:26.0,,Turnover by M. Harkless (bad pass),7,12
1,7:00.0,T. Harris misses 2-pt layup from 1 ft,,7,12
1,6:57.0,,Defensive rebound by J. Nurkić,7,12
1,6:54.0,,Portland full timeout,7,12
1,6:48.0,,Turnover by J. Nurkić (lost ball; steal by A. Bradley),7,12
1,6:40.0,T. Harris makes 2-pt layup from 2 ft (assist by A. Bradley),,9,12
1,6:40.0,Shooting foul by J. Nurkić (drawn by T. Harris),,9,12
1,6:40.0,T. Harris makes free throw 1 of 1,,10,12
1,6:26.0,,D. Lillard makes 2-pt jump shot from 15 ft,10,14
1,6:07.0,D. Gallinari makes 2-pt jump shot from 15 ft,,12,14
1,5:56.0,,D. Lillard misses 2-pt jump shot from 16 ft,12,14
1,5:54.0,,Offensive rebound by J. Nurkić,12,14
