QUARTER,TIME_REMAINING,DALLAS_ACTION,HOUSTON_ACTION,DALLAS_SCORE,HOUSTON_SCORE
1,11:47.0,,P. Tucker makes 3-pt jump shot from 23 ft (assist by J. Harden),0,3
1,11:33.0,Turnover by D. Jordan (out of bounds lost ball),,0,3
1,11:12.0,,J. Harden misses 3-pt jump shot from 25 ft,0,3
1,11:09.0,Defensive rebound by L. Dončić,,0,3
1,11:08.0,Turnover by L. Dončić (bad pass),,0,3
1,10:54.0,,J. Harden makes 2-pt jump shot from 4 ft (assist by C. Capela),0,5
1,10:41.0,W. Matthews misses 2-pt jump shot from 12 ft,,0,5
1,10:41.0,Offensive rebound by Team,,0,5
1,10:41.0,,Loose ball foul by J. Harden (drawn by D. Jordan),0,5
1,10:32.0,Personal foul by J. Ennis (drawn by W. Matthews),,0,5
1,10:23.0,Turnover by D. Jordan (3 sec),,0,5
1,10:13.0,,C. Capela makes 2-pt dunk from 1 ft (assist by J. Harden),0,7
1,10:12.0,Dallas full timeout,,0,7
1,9:56.0,D. Jordan makes 2-pt dunk from 1 ft (assist by H. Barnes),,2,7
1,9:41.0,,C. Capela makes 2-pt dunk from 1 ft (assist by J. Harden),2,9
1,9:21.0,W. Matthews misses 2-pt layup from 5 ft,,2,9
1,9:20.0,Offensive rebound by D. Jordan,,2,9
1,9:13.0,L. Dončić makes 3-pt jump shot from 25 ft,,5,9
1,8:55.0,,J. Ennis misses 3-pt jump shot from 24 ft,5,9
1,8:51.0,Defensive rebound by D. Jordan,,5,9
1,8:29.0,L. Dončić makes 3-pt jump shot from 24 ft,,8,9
1,8:23.0,,J. Ennis misses 2-pt layup from 1 ft (block by D. Jordan),8,9
1,8:23.0,,Offensive rebound by Team,8,9
1,8:19.0,,J. Harden misses 3-pt jump shot from 26 ft,8,9
1,8:15.0,Defensive rebound by L. Dončić,,8,9
1,8:09.0,W. Matthews misses 3-pt jump shot from 22 ft,,8,9
1,8:06.0,,Defensive rebound by J. Harden,8,9
1,8:04.0,,Shooting foul by L. Dončić (drawn by J. Harden),8,9
1,8:04.0,,J. Harden misses free throw 1 of 2,8,9
1,8:04.0,,Offensive rebound by Team,8,9
1,8:04.0,,J. Harden makes free throw 2 of 2,8,10
1,8:04.0,,D. House enters the game for J. Ennis,8,10
1,7:45.0,L. Dončić misses 3-pt jump shot from 25 ft,,8,10
1,7:42.0,Offensive rebound by D. Jordan,,8,10
1,7:39.0,H. Barnes misses 2-pt jump shot from 20 ft,,8,10
1,7:37.0,Offensive rebound by L. Dončić,,8,10
1,7:36.0,H. Barnes makes 3-pt jump shot from 25 ft (assist by L. Dončić),,11,10
1,7:26.0,,E. Gordon makes 3-pt jump shot from 25 ft (assist by J. Harden),11,13
1,7:12.0,W. Matthews makes 2-pt layup from 2 ft (assist by D. Jordan),,13,13
1,7:02.0,,J. Harden makes 3-pt jump shot from 25 ft,13,16
1,6:53.0,Personal foul by D. House (drawn by W. Matthews),,13,16
1,6:41.0,D. Smith makes 2-pt dunk from 1 ft,,15,16
1,6:29.0,,Turnover by J. Harden (bad pass; steal by D. Smith),15,16
1,6:24.0,D. Smith misses 3-pt jump shot from 25 ft,,15,16
1,6:21.0,,Defensive rebound by J. Harden,15,16
1,6:13.0,,C. Capela makes 2-pt layup at rim (assist by E. Gordon),15,18
1,6:03.0,H. Barnes makes 2-pt layup from 2 ft (assist by W. Matthews),,17,18
1,5:44.0,,D. House misses 3-pt jump shot from 22 ft,17,18
1,5:44.0,Defensive rebound by D. Jordan,,17,18
1,5:35.0,D. Smith misses 2-pt layup from 2 ft (block by C. Capela),,17,18
1,5:34.0,,Defensive rebound by J. Harden,17,18
1,5:34.0,,Personal take foul by D. Jordan (drawn by J. Harden),17,18
1,5:34.0,,G. Clark enters the game for C. Capela,17,18
1,5:34.0,,I. Hartenstein enters the game for E. Gordon,17,18
1,5:25.0,,Turnover by J. Harden (bad pass),17,18
1,5:06.0,W. Matthews makes 2-pt layup at rim,,19,18
