QUARTER,TIME_REMAINING,BOSTON_ACTION,MINNESOTA_ACTION,BOSTON_SCORE,MINNESOTA_SCORE
1,11:40.0,,J. Teague makes 2-pt layup from 5 ft,0,2
1,11:23.0,M. Morris makes 3-pt jump shot from 26 ft (assist by M. Smart),,3,2
1,11:02.0,,A. Wiggins makes 2-pt jump shot from 10 ft,3,4
1,10:45.0,,Violation by Team (kicked ball),3,4
1,10:43.0,K. Irving makes 2-pt jump shot from 21 ft (assist by M. Smart),,5,4
1,10:24.0,,K. Towns makes 3-pt jump shot from 25 ft (assist by A. Wiggins),5,7
1,10:06.0,A. Horford makes 2-pt hook shot from 6 ft,,7,7
1,9:50.0,,Turnover by R. Covington (lost ball; steal by M. Morris),7,7
1,9:46.0,K. Irving misses 2-pt layup from 2 ft,,7,7
1,9:45.0,,Defensive rebound by J. Teague,7,7
1,9:37.0,,R. Covington misses 3-pt jump shot from 24 ft,7,7
1,9:35.0,Defensive rebound by M. Smart,,7,7
1,9:33.0,Personal foul by R. Covington (drawn by A. Horford),,7,7
1,9:25.0,J. Tatum misses 3-pt jump shot from 23 ft,,7,7
1,9:23.0,,Defensive rebound by K. Towns,7,7
1,9:15.0,,Turnover by J. Teague (bad pass; steal by M. Smart),7,7
1,8:58.0,Turnover by K. Irving (bad pass),,7,7
1,8:48.0,,J. Teague makes 3-pt jump shot from 25 ft,7,10
1,8:40.0,K. Irving makes 2-pt layup from 2 ft,,9,10
1,8:26.0,,A. Wiggins makes 2-pt jump shot from 17 ft,9,12
1,8:07.0,M. Morris misses 2-pt jump shot from 16 ft,,9,12
1,8:05.0,,Defensive rebound by T. Gibson,9,12
1,7:56.0,,T. Gibson makes 2-pt layup from 4 ft (assist by K. Towns),9,14
1,7:56.0,,Shooting foul by M. Morris (drawn by T. Gibson),9,14
1,7:56.0,,T. Gibson misses free throw 1 of 1,9,14
1,7:54.0,Defensive rebound by J. Tatum,,9,14
1,7:38.0,K. Irving misses 3-pt jump shot from 26 ft,,9,14
1,7:34.0,,Defensive rebound by K. Towns,9,14
1,7:27.0,,Personal foul by M. Smart (drawn by J. Teague),9,14
1,7:12.0,,J. Teague misses 2-pt layup from 7 ft,9,14
1,7:08.0,Defensive rebound by M. Morris,,9,14
1,7:03.0,Turnover by M. Morris (traveling),,9,14
1,6:46.0,,J. Teague misses 2-pt layup from 4 ft,9,14
1,6:44.0,Defensive rebound by M. Morris,,9,14
1,6:38.0,J. Tatum misses 3-pt jump shot from 23 ft,,9,14
1,6:35.0,,Defensive rebound by R. Covington,9,14
1,6:31.0,,Shooting foul by K. Irving (drawn by A. Wiggins),9,14
1,6:31.0,,Minnesota full timeout,9,14
1,6:31.0,G. Hayward enters the game for J. Tatum,,9,14
1,6:31.0,,A. Wiggins makes free throw 1 of 2,9,15
1,6:31.0,,A. Wiggins makes free throw 2 of 2,9,16
1,6:20.0,Turnover by K. Irving (bad pass; steal by K. Towns),,9,16
1,6:12.0,,K. Towns misses 2-pt jump shot from 5 ft,9,16
1,6:11.0,Defensive rebound by A. Horford,,9,16
1,5:54.0,K. Irving makes 3-pt jump shot from 23 ft (assist by G. Hayward),,12,16
1,5:46.0,,R. Covington misses 3-pt jump shot from 25 ft,12,16
1,5:45.0,,Offensive rebound by Team,12,16
1,5:45.0,Loose ball foul by M. Morris (drawn by T. Gibson),,12,16
1,5:45.0,A. Baynes enters the game for M. Morris,,12,16
