QUARTER,TIME_REMAINING,PORTLAND_ACTION,DALLAS_ACTION,PORTLAND_SCORE,DALLAS_SCORE
1,11:42.0,,W. Matthews makes 3-pt jump shot from 26 ft (assist by D. Smith),0,3
1,11:16.0,Turnover by Team (shot clock),,0,3
1,11:05.0,,Turnover by H. Barnes (bad pass; steal by C. McCollum),0,3
1,10:59.0,C. McCollum makes 2-pt jump shot from 18 ft,,2,3
1,10:46.0,,D. Smith makes 3-pt jump shot from 26 ft (assist by L. Dončić),2,6
1,10:31.0,J. Nurkić makes 2-pt layup from 1 ft (assist by D. Lillard),,4,6
1,10:08.0,,D. Jordan misses 2-pt layup from 2 ft (block by D. Lillard),4,6
1,10:08.0,Defensive rebound by A. Aminu,,4,6
1,10:02.0,D. Lillard makes 3-pt jump shot from 26 ft (assist by A. Aminu),,7,6
1,9:45.0,,H. Barnes misses 3-pt jump shot from 23 ft,7,6
1,9:45.0,Defensive rebound by D. Lillard,,7,6
1,9:33.0,J. Nurkić makes 2-pt layup at rim (assist by D. Lillard),,9,6
1,9:19.0,,Personal foul by M. Harkless (drawn by D. Jordan),9,6
1,9:12.0,,L. Dončić misses 2-pt jump shot from 9 ft,9,6
1,9:07.0,,Offensive rebound by D. Jordan,9,6
1,9:07.0,,D. Jordan makes 2-pt layup at rim,9,8
1,8:48.0,J. Nurkić misses 2-pt layup from 2 ft,,9,8
1,8:48.0,,Defensive rebound by Team,9,8
1,8:36.0,,H. Barnes makes 2-pt jump shot from 13 ft (assist by D. Smith),9,10
1,8:22.0,A. Aminu makes 2-pt layup at rim (assist by D. Lillard),,11,10
1,8:04.0,,L. Dončić misses 2-pt jump shot from 16 ft,11,10
1,8:02.0,,Offensive rebound by H. Barnes,11,10
1,7:59.0,,W. Matthews misses 3-pt jump shot from 25 ft,11,10
1,7:55.0,Defensive rebound by M. Harkless,,11,10
1,7:44.0,M. Harkless misses 2-pt layup from 1 ft,,11,10
1,7:42.0,,Defensive rebound by D. Jordan,11,10
1,7:30.0,,D. Jordan makes 2-pt jump shot from 4 ft (assist by W. Matthews),11,12
1,7:09.0,C. McCollum misses 3-pt jump shot from 25 ft,,11,12
1,7:07.0,,Defensive rebound by L. Dončić,11,12
1,6:54.0,,L. Dončić misses 3-pt jump shot from 26 ft,11,12
1,6:51.0,Defensive rebound by J. Nurkić,,11,12
1,6:42.0,Turnover by D. Lillard (bad pass),,11,12
1,6:42.0,,Dallas full timeout,11,12
1,6:23.0,,Turnover by H. Barnes (out of bounds lost ball),11,12
1,6:10.0,D. Lillard misses 3-pt jump shot from 25 ft,,11,12
1,6:07.0,,Defensive rebound by D. Jordan,11,12
1,5:59.0,,D. Smith misses 3-pt jump shot from 25 ft,11,12
1,5:57.0,Defensive rebound by M. Harkless,,11,12
1,5:39.0,C. McCollum misses 2-pt hook shot from 5 ft,,11,12
1,5:37.0,,Defensive rebound by D. Jordan,11,12
1,5:37.0,E. Turner enters the game for M. Harkless,,11,12
1,5:30.0,,L. Dončić makes 3-pt jump shot from 23 ft (assist by D. Smith),11,15
1,5:08.0,A. Aminu makes 2-pt hook shot from 5 ft (assist by D. Lillard),,13,15
