QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,CHICAGO_ACTION,OKLAHOMA CITY_SCORE,CHICAGO_SCORE
1,11:48.0,S. Adams makes 2-pt hook shot from 6 ft (assist by R. Westbrook),,2,0
1,11:31.0,,R. Arcidiacono misses 3-pt jump shot from 24 ft,2,0
1,11:25.0,,Offensive rebound by L. Markkanen,2,0
1,11:25.0,,L. Markkanen makes 2-pt layup at rim,2,2
1,11:05.0,S. Adams misses 2-pt layup from 1 ft,,2,2
1,11:01.0,Offensive rebound by S. Adams,,2,2
1,11:01.0,S. Adams makes 2-pt layup from 1 ft,,4,2
1,10:52.0,,R. Arcidiacono misses 3-pt jump shot from 25 ft,4,2
1,10:49.0,Defensive rebound by R. Westbrook,,4,2
1,10:44.0,Turnover by R. Westbrook (bad pass; steal by W. Carter),,4,2
1,10:38.0,,J. Holiday misses 3-pt jump shot from 24 ft,4,2
1,10:36.0,Defensive rebound by R. Westbrook,,4,2
1,10:30.0,P. George misses 3-pt jump shot from 26 ft,,4,2
1,10:26.0,,Defensive rebound by R. Arcidiacono,4,2
1,10:10.0,,Z. LaVine makes 2-pt layup from 1 ft (assist by W. Carter),4,4
1,9:57.0,R. Westbrook misses 3-pt jump shot from 24 ft,,4,4
1,9:57.0,Offensive rebound by Team,,4,4
1,9:57.0,,Loose ball foul by W. Carter (drawn by S. Adams),4,4
1,9:49.0,R. Westbrook misses 2-pt layup from 2 ft,,4,4
1,9:45.0,Offensive rebound by R. Westbrook,,4,4
1,9:45.0,R. Westbrook misses 2-pt layup from 1 ft,,4,4
1,9:44.0,,Defensive rebound by L. Markkanen,4,4
1,9:41.0,,Shooting foul by R. Westbrook (drawn by L. Markkanen),4,4
1,9:41.0,,L. Markkanen makes free throw 1 of 2,4,5
1,9:41.0,,L. Markkanen misses free throw 2 of 2,4,5
1,9:38.0,Defensive rebound by R. Westbrook,,4,5
1,9:25.0,S. Adams misses 2-pt hook shot from 6 ft,,4,5
1,9:23.0,Offensive rebound by S. Adams,,4,5
1,9:22.0,S. Adams makes 2-pt layup from 1 ft,,6,5
1,9:13.0,,W. Carter makes 2-pt layup from 1 ft (assist by L. Markkanen),6,7
1,9:13.0,,Shooting foul by S. Adams (drawn by W. Carter),6,7
1,9:13.0,,W. Carter makes free throw 1 of 1,6,8
1,8:53.0,J. Grant misses 2-pt jump shot from 6 ft,,6,8
1,8:50.0,Offensive rebound by S. Adams,,6,8
1,8:49.0,S. Adams makes 2-pt layup from 2 ft,,8,8
1,8:38.0,,J. Holiday misses 2-pt jump shot from 19 ft,8,8
