QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,BOSTON_ACTION,NEW ORLEANS_SCORE,BOSTON_SCORE
1,11:56.0,J. Randle makes 2-pt layup from 1 ft (assist by A. Davis),,2,0
1,11:44.0,,Personal foul by S. Hill (drawn by J. Tatum),2,0
1,11:35.0,,M. Morris makes 2-pt jump shot from 11 ft,2,2
1,11:12.0,A. Davis misses 2-pt layup from 4 ft,,2,2
1,11:09.0,,Defensive rebound by T. Rozier,2,2
1,10:55.0,,J. Tatum makes 2-pt layup at rim (assist by M. Morris),2,4
1,10:37.0,S. Hill makes 3-pt jump shot from 27 ft (assist by T. Frazier),,5,4
1,10:20.0,,J. Tatum misses 3-pt jump shot from 25 ft,5,4
1,10:17.0,Defensive rebound by A. Davis,,5,4
1,10:06.0,J. Randle misses 2-pt jump shot from 20 ft,,5,4
1,10:05.0,,Defensive rebound by T. Rozier,5,4
1,9:54.0,,T. Rozier makes 2-pt layup from 1 ft (assist by M. Morris),5,6
1,9:33.0,J. Holiday makes 2-pt layup from 3 ft (assist by J. Randle),,7,6
1,9:07.0,,Turnover by M. Morris (bad pass; steal by A. Davis),7,6
1,8:51.0,J. Randle misses 2-pt hook shot from 8 ft,,7,6
1,8:49.0,,Defensive rebound by D. Theis,7,6
1,8:42.0,,D. Theis makes 2-pt dunk from 1 ft (assist by T. Rozier),7,8
1,8:25.0,Shooting foul by J. Tatum (drawn by J. Randle),,7,8
1,8:25.0,J. Randle misses free throw 1 of 2,,7,8
1,8:25.0,Offensive rebound by Team,,7,8
1,8:25.0,J. Randle makes free throw 2 of 2,,8,8
1,8:12.0,,J. Tatum makes 3-pt jump shot from 25 ft (assist by M. Morris),8,11
1,7:58.0,T. Frazier makes 2-pt jump shot from 15 ft,,10,11
1,7:37.0,,J. Tatum makes 2-pt jump shot from 15 ft,10,13
1,7:26.0,A. Davis makes 2-pt jump shot from 22 ft (assist by T. Frazier),,12,13
1,7:10.0,,M. Smart misses 3-pt jump shot from 25 ft,12,13
1,7:09.0,,Offensive rebound by D. Theis,12,13
1,7:08.0,,D. Theis makes 2-pt dunk from 1 ft,12,15
1,6:59.0,Personal foul by D. Theis (drawn by A. Davis),,12,15
1,6:59.0,,Boston full timeout,12,15
1,6:43.0,A. Davis makes 2-pt jump shot from 22 ft (assist by J. Randle),,14,15
1,6:31.0,,T. Rozier misses 3-pt jump shot from 25 ft,14,15
1,6:30.0,Defensive rebound by S. Hill,,14,15
1,6:19.0,Turnover by J. Randle (bad pass; steal by D. Theis),,14,15
1,6:09.0,,D. Theis misses 2-pt dunk from 2 ft,14,15
1,6:08.0,Defensive rebound by J. Randle,,14,15
1,6:04.0,S. Hill misses 3-pt jump shot from 29 ft,,14,15
1,6:02.0,,Defensive rebound by Team,14,15
1,6:02.0,N. Mirotić enters the game for J. Randle,,14,15
1,5:45.0,,D. Theis misses 2-pt jump shot from 17 ft,14,15
