QUARTER,TIME_REMAINING,WASHINGTON_ACTION,INDIANA_ACTION,WASHINGTON_SCORE,INDIANA_SCORE
1,11:34.0,,T. Evans makes 2-pt layup from 1 ft (assist by D. Collison),0,2
1,11:15.0,T. Satoranský misses 2-pt jump shot from 9 ft,,0,2
1,11:11.0,,Defensive rebound by T. Young,0,2
1,11:04.0,,B. Bogdanović makes 2-pt layup from 1 ft (assist by D. Collison),0,4
1,10:48.0,O. Porter misses 2-pt jump shot from 14 ft,,0,4
1,10:45.0,,Defensive rebound by M. Turner,0,4
1,10:38.0,,M. Turner makes 2-pt jump shot from 17 ft (assist by D. Collison),0,6
1,10:20.0,Turnover by B. Beal (bad pass; steal by B. Bogdanović),,0,6
1,10:10.0,,Shooting foul by T. Satoranský (drawn by B. Bogdanović),0,6
1,10:10.0,,B. Bogdanović misses free throw 1 of 2,0,6
1,10:10.0,,Offensive rebound by Team,0,6
1,10:10.0,,B. Bogdanović makes free throw 2 of 2,0,7
1,9:49.0,Personal foul by M. Turner (drawn by O. Porter),,0,7
1,9:44.0,Turnover by B. Beal (out of bounds lost ball),,0,7
1,9:27.0,,M. Turner misses 2-pt layup from 1 ft,0,7
1,9:24.0,Defensive rebound by O. Porter,,0,7
1,9:20.0,T. Satoranský makes 2-pt dunk from 2 ft (assist by O. Porter),,2,7
1,9:14.0,,B. Bogdanović misses 2-pt jump shot from 6 ft (block by O. Porter),2,7
1,9:14.0,,Offensive rebound by Team,2,7
1,9:08.0,,T. Evans misses 3-pt jump shot from 26 ft,2,7
1,9:06.0,Defensive rebound by O. Porter,,2,7
1,9:00.0,A. Rivers makes 3-pt jump shot from 26 ft,,5,7
1,8:36.0,,T. Young misses 2-pt layup at rim,5,7
1,8:35.0,Defensive rebound by T. Bryant,,5,7
1,8:22.0,O. Porter misses 2-pt jump shot from 20 ft,,5,7
1,8:19.0,,Defensive rebound by M. Turner,5,7
1,8:17.0,,Turnover by M. Turner (bad pass; steal by B. Beal),5,7
1,8:11.0,T. Bryant makes 2-pt dunk from 1 ft (assist by T. Satoranský),,7,7
1,7:59.0,,M. Turner makes 3-pt jump shot from 27 ft (assist by D. Collison),7,10
1,7:40.0,T. Satoranský misses 2-pt jump shot from 16 ft,,7,10
1,7:38.0,,Defensive rebound by T. Young,7,10
1,7:37.0,,Personal foul by T. Satoranský (drawn by B. Bogdanović),7,10
1,7:37.0,K. Oubre enters the game for T. Satoranský,,7,10
1,7:30.0,,B. Bogdanović makes 2-pt layup from 1 ft (assist by T. Young),7,12
1,7:24.0,Washington full timeout,,7,12
1,7:08.0,O. Porter misses 2-pt jump shot from 19 ft,,7,12
1,7:06.0,,Defensive rebound by M. Turner,7,12
1,6:56.0,,T. Young misses 2-pt jump shot from 6 ft,7,12
1,6:51.0,Defensive rebound by B. Beal,,7,12
1,6:45.0,B. Beal misses 2-pt jump shot from 22 ft,,7,12
1,6:43.0,,Defensive rebound by Team,7,12
1,6:30.0,,M. Turner makes 2-pt jump shot from 19 ft (assist by D. Collison),7,14
1,6:09.0,T. Bryant makes 2-pt dunk from 2 ft (assist by A. Rivers),,9,14
1,5:51.0,,M. Turner misses 2-pt jump shot from 19 ft,9,14
1,5:48.0,Defensive rebound by K. Oubre,,9,14
1,5:35.0,Turnover by O. Porter (bad pass; steal by M. Turner),,9,14
1,5:31.0,,T. Evans makes 2-pt layup from 1 ft (assist by D. Collison),9,16
1,5:14.0,B. Beal makes 3-pt jump shot from 24 ft (assist by A. Rivers),,12,16
1,4:58.0,,Personal foul by O. Porter (drawn by T. Young),12,16
1,4:58.0,J. Green enters the game for T. Bryant,,12,16
1,4:58.0,M. Morris enters the game for O. Porter,,12,16
1,4:47.0,,T. Evans misses 2-pt layup from 1 ft,12,16
1,4:45.0,Defensive rebound by M. Morris,,12,16
1,4:42.0,B. Beal misses 2-pt layup from 1 ft (block by M. Turner),,12,16
1,4:41.0,Offensive rebound by Team,,12,16
1,4:41.0,,D. Sabonis enters the game for T. Young,12,16
1,4:26.0,J. Green makes 3-pt jump shot from 27 ft (assist by B. Beal),,15,16
1,4:07.0,,B. Bogdanović misses 2-pt jump shot from 12 ft,15,16
1,4:04.0,,Offensive rebound by D. Sabonis,15,16
1,4:03.0,,D. Sabonis makes 2-pt hook shot from 5 ft,15,18
1,3:51.0,B. Beal makes 2-pt layup from 2 ft,,17,18
1,3:39.0,,Personal foul by M. Morris (drawn by D. Sabonis),17,18
1,3:39.0,,C. Joseph enters the game for B. Bogdanović,17,18
1,3:34.0,,M. Turner makes 2-pt layup from 1 ft (assist by D. Collison),17,20
1,3:34.0,,Shooting foul by M. Morris (drawn by M. Turner),17,20
1,3:34.0,,M. Turner misses free throw 1 of 1,17,20
1,3:34.0,Defensive rebound by M. Morris,,17,20
1,3:23.0,J. Green misses 3-pt jump shot from 28 ft,,17,20
1,3:20.0,Offensive rebound by M. Morris,,17,20
1,3:18.0,B. Beal makes 3-pt jump shot from 26 ft (assist by M. Morris),,20,20
1,3:06.0,,Shooting foul by M. Morris (drawn by T. Evans),20,20
