QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,DALLAS_ACTION,SACRAMENTO_SCORE,DALLAS_SCORE
1,11:40.0,,Shooting foul by W. Cauley-Stein (drawn by H. Barnes),0,0
1,11:40.0,,H. Barnes makes free throw 1 of 2,0,1
1,11:40.0,,H. Barnes makes free throw 2 of 2,0,2
1,11:27.0,Shooting foul by H. Barnes (drawn by W. Cauley-Stein),,0,2
1,11:27.0,W. Cauley-Stein makes free throw 1 of 2,,1,2
1,11:27.0,W. Cauley-Stein makes free throw 2 of 2,,2,2
1,11:06.0,,H. Barnes misses 3-pt jump shot from 23 ft,2,2
1,11:03.0,,Offensive rebound by D. Jordan,2,2
1,11:00.0,,L. Dončić misses 3-pt jump shot from 26 ft,2,2
1,10:57.0,Defensive rebound by N. Bjelica,,2,2
1,10:52.0,B. Hield makes 2-pt jump shot from 6 ft,,4,2
1,10:37.0,,L. Dončić makes 2-pt jump shot from 5 ft,4,4
1,10:37.0,,Shooting foul by B. Bogdanović (drawn by L. Dončić),4,4
1,10:37.0,,L. Dončić misses free throw 1 of 1,4,4
1,10:35.0,Defensive rebound by N. Bjelica,,4,4
1,10:21.0,B. Hield makes 2-pt jump shot from 17 ft (assist by W. Cauley-Stein),,6,4
1,9:56.0,,Turnover by L. Dončić (bad pass),6,4
1,9:50.0,D. Fox makes 2-pt jump shot from 15 ft,,8,4
1,9:25.0,,H. Barnes misses 2-pt jump shot from 7 ft,8,4
1,9:23.0,Defensive rebound by B. Hield,,8,4
1,9:19.0,B. Hield misses 3-pt jump shot from 25 ft,,8,4
1,9:15.0,,Defensive rebound by D. Jordan,8,4
1,8:59.0,,W. Matthews misses 2-pt jump shot from 9 ft,8,4
1,8:56.0,Defensive rebound by B. Hield,,8,4
1,8:50.0,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by N. Bjelica),,11,4
1,8:31.0,,W. Matthews misses 2-pt hook shot from 7 ft,11,4
1,8:28.0,Defensive rebound by N. Bjelica,,11,4
1,8:21.0,B. Bogdanović makes 2-pt layup from 4 ft,,13,4
1,8:21.0,,Dallas full timeout,13,4
1,8:05.0,,J. Brunson makes 2-pt jump shot from 15 ft (assist by L. Dončić),13,6
1,7:51.0,W. Cauley-Stein misses 2-pt hook shot from 10 ft,,13,6
1,7:49.0,,Defensive rebound by L. Dončić,13,6
1,7:44.0,,L. Dončić makes 2-pt jump shot from 9 ft,13,8
1,7:44.0,,Shooting foul by N. Bjelica (drawn by L. Dončić),13,8
1,7:44.0,,D. Finney-Smith enters the game for J. Brunson,13,8
1,7:44.0,,L. Dončić misses free throw 1 of 1,13,8
1,7:42.0,Defensive rebound by N. Bjelica,,13,8
1,7:35.0,B. Hield misses 3-pt jump shot from 26 ft,,13,8
1,7:31.0,,Defensive rebound by D. Jordan,13,8
1,7:24.0,,L. Dončić misses 3-pt jump shot from 25 ft,13,8
1,7:21.0,Defensive rebound by W. Cauley-Stein,,13,8
1,7:16.0,D. Fox misses 3-pt jump shot from 25 ft,,13,8
1,7:13.0,,Defensive rebound by L. Dončić,13,8
1,6:55.0,,H. Barnes misses 2-pt jump shot from 18 ft,13,8
1,6:53.0,Defensive rebound by B. Bogdanović,,13,8
1,6:41.0,N. Bjelica misses 2-pt hook shot from 8 ft,,13,8
1,6:38.0,,Defensive rebound by D. Jordan,13,8
1,6:33.0,,H. Barnes makes 2-pt layup from 4 ft,13,10
1,6:25.0,Turnover by B. Hield (bad pass; steal by W. Matthews),,13,10
1,6:20.0,,L. Dončić makes 2-pt jump shot from 6 ft,13,12
1,6:06.0,D. Fox makes 2-pt layup from 3 ft (assist by B. Bogdanović),,15,12
1,5:55.0,,Personal foul by B. Hield (drawn by L. Dončić),15,12
1,5:55.0,J. Jackson enters the game for W. Cauley-Stein,,15,12
1,5:55.0,K. Koufos enters the game for B. Hield,,15,12
1,5:49.0,,W. Matthews makes 3-pt jump shot from 23 ft (assist by L. Dončić),15,15
1,5:39.0,D. Fox makes 2-pt jump shot from 11 ft,,17,15
1,5:23.0,,W. Matthews misses 3-pt jump shot from 26 ft,17,15
1,5:19.0,Defensive rebound by N. Bjelica,,17,15
1,5:07.0,D. Fox makes 2-pt jump shot from 14 ft,,19,15
1,4:51.0,,Personal foul by B. Bogdanović (drawn by L. Dončić),19,15
1,4:51.0,,L. Dončić makes free throw 1 of 2,19,16
1,4:51.0,,L. Dončić makes free throw 2 of 2,19,17
1,4:38.0,D. Fox misses 2-pt jump shot from 14 ft,,19,17
1,4:35.0,,Defensive rebound by D. Jordan,19,17
1,4:27.0,,D. Jordan makes 2-pt dunk from 2 ft (assist by L. Dončić),19,19
1,4:21.0,Personal foul by W. Matthews (drawn by B. Bogdanović),,19,19
1,4:21.0,T. Williams enters the game for B. Bogdanović,,19,19
1,4:15.0,Turnover by D. Fox (bad pass; steal by W. Matthews),,19,19
1,4:12.0,,D. Finney-Smith makes 2-pt layup from 3 ft (assist by W. Matthews),19,21
1,4:12.0,,Shooting foul by J. Jackson (drawn by D. Finney-Smith),19,21
1,4:12.0,Sacramento full timeout,,19,21
1,4:12.0,B. Hield enters the game for N. Bjelica,,19,21
1,4:12.0,,D. Finney-Smith makes free throw 1 of 1,19,22
1,4:01.0,Shooting foul by D. Finney-Smith (drawn by D. Fox),,19,22
1,4:01.0,D. Fox makes free throw 1 of 2,,20,22
1,4:01.0,D. Fox makes free throw 2 of 2,,21,22
1,3:48.0,,H. Barnes makes 3-pt jump shot from 23 ft (assist by D. Jordan),21,25
1,3:33.0,J. Jackson misses 3-pt jump shot from 27 ft,,21,25
1,3:31.0,,Defensive rebound by D. Jordan,21,25
1,3:23.0,,D. Finney-Smith misses 3-pt jump shot from 25 ft,21,25
1,3:19.0,Defensive rebound by J. Jackson,,21,25
1,3:17.0,Shooting foul by L. Dončić (drawn by J. Jackson),,21,25
1,3:17.0,J. Jackson makes free throw 1 of 2,,22,25
1,3:17.0,,D. Harris enters the game for H. Barnes,22,25
1,3:17.0,,D. Nowitzki enters the game for D. Jordan,22,25
1,3:17.0,,D. Powell enters the game for W. Matthews,22,25
1,3:17.0,J. Jackson makes free throw 2 of 2,,23,25
1,3:00.0,,D. Harris misses 3-pt jump shot from 25 ft,23,25
1,2:58.0,,Offensive rebound by D. Finney-Smith,23,25
1,2:53.0,,Personal foul by T. Williams (drawn by D. Harris),23,25
1,2:53.0,,D. Harris makes free throw 1 of 2,23,26
1,2:53.0,,J. Brunson enters the game for L. Dončić,23,26
1,2:53.0,,D. Harris makes free throw 2 of 2,23,27
1,2:38.0,D. Fox makes 2-pt jump shot from 9 ft,,25,27
1,2:28.0,,D. Nowitzki misses 3-pt jump shot from 26 ft,25,27
1,2:24.0,Defensive rebound by K. Koufos,,25,27
