QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,LA LAKERS_ACTION,NEW ORLEANS_SCORE,LA LAKERS_SCORE
1,11:47.0,T. Frazier misses 3-pt jump shot from 25 ft,,0,0
1,11:46.0,,Defensive rebound by Team,0,0
1,11:30.0,,I. Zubac makes 2-pt dunk from 2 ft (assist by L. Ball),0,2
1,11:20.0,Personal foul by B. Ingram (drawn by J. Randle),,0,2
1,11:17.0,J. Holiday misses 2-pt layup from 2 ft,,0,2
1,11:15.0,Offensive rebound by A. Davis,,0,2
1,11:11.0,Turnover by A. Davis (lost ball; steal by I. Zubac),,0,2
1,11:09.0,,L. James makes 2-pt layup from 2 ft,0,4
1,10:56.0,J. Randle misses 2-pt jump shot from 7 ft,,0,4
1,10:53.0,Offensive rebound by T. Frazier,,0,4
1,10:53.0,T. Frazier makes 2-pt layup at rim,,2,4
1,10:50.0,,Turnover by L. James (bad pass; steal by S. Hill),2,4
1,10:44.0,J. Randle makes 2-pt jump shot from 8 ft,,4,4
1,10:44.0,Shooting foul by I. Zubac (drawn by J. Randle),,4,4
1,10:44.0,J. Randle makes free throw 1 of 1,,5,4
1,10:39.0,Violation by Team (kicked ball),,5,4
1,10:34.0,,L. James misses 2-pt layup from 1 ft,5,4
1,10:31.0,Defensive rebound by A. Davis,,5,4
1,10:28.0,Personal foul by L. Ball (drawn by T. Frazier),,5,4
1,10:21.0,A. Davis makes 2-pt jump shot from 5 ft,,7,4
1,10:15.0,,L. Ball makes 2-pt layup from 2 ft (assist by L. James),7,6
1,9:59.0,A. Davis misses 2-pt jump shot from 22 ft,,7,6
1,9:57.0,,Defensive rebound by L. James,7,6
1,9:49.0,,I. Zubac makes 2-pt jump shot from 5 ft (assist by L. James),7,8
1,9:34.0,A. Davis makes 2-pt layup from 1 ft (assist by J. Holiday),,9,8
1,9:22.0,,B. Ingram misses 3-pt jump shot from 25 ft,9,8
1,9:20.0,Defensive rebound by T. Frazier,,9,8
1,9:13.0,J. Randle misses 2-pt layup from 2 ft,,9,8
1,9:11.0,,Defensive rebound by K. Kuzma,9,8
1,9:00.0,,Shooting foul by A. Davis (drawn by B. Ingram),9,8
1,9:00.0,,B. Ingram makes free throw 1 of 2,9,9
1,9:00.0,,B. Ingram makes free throw 2 of 2,9,10
1,8:47.0,S. Hill misses 3-pt jump shot from 24 ft,,9,10
1,8:44.0,,Defensive rebound by I. Zubac,9,10
1,8:39.0,,K. Kuzma makes 2-pt dunk from 1 ft (assist by L. James),9,12
1,8:31.0,Personal foul by K. Kuzma (drawn by A. Davis),,9,12
1,8:24.0,A. Davis misses 2-pt jump shot from 10 ft,,9,12
1,8:22.0,,Defensive rebound by L. James,9,12
1,8:12.0,,I. Zubac makes 2-pt hook shot from 4 ft (assist by L. James),9,14
1,7:59.0,A. Davis makes 2-pt layup from 2 ft (assist by J. Holiday),,11,14
1,7:55.0,,Personal foul by J. Holiday (drawn by B. Ingram),11,14
1,7:49.0,,I. Zubac makes 2-pt dunk from 3 ft (assist by L. James),11,16
1,7:32.0,J. Randle makes 2-pt jump shot from 10 ft,,13,16
1,7:19.0,,Personal foul by S. Hill (drawn by L. James),13,16
