QUARTER,TIME_REMAINING,CLEVELAND_ACTION,MIAMI_ACTION,CLEVELAND_SCORE,MIAMI_SCORE
1,11:40.0,,Turnover by R. McGruder (bad pass; steal by C. Osman),0,0
1,11:24.0,C. Osman makes 2-pt layup from 3 ft,,2,0
1,11:12.0,,J. Winslow makes 2-pt jump shot from 5 ft,2,2
1,11:00.0,J. Blossomgame misses 2-pt layup from 1 ft (block by H. Whiteside),,2,2
1,10:59.0,,Defensive rebound by Team,2,2
1,10:45.0,,J. Richardson makes 3-pt jump shot from 26 ft (assist by J. Winslow),2,5
1,10:21.0,C. Frye misses 3-pt jump shot from 25 ft,,2,5
1,10:17.0,,Defensive rebound by J. Johnson,2,5
1,10:10.0,,H. Whiteside misses 2-pt jump shot from 11 ft,2,5
1,10:07.0,Defensive rebound by C. Osman,,2,5
1,9:55.0,C. Frye makes 2-pt jump shot from 19 ft (assist by A. Burks),,4,5
1,9:43.0,,J. Winslow misses 3-pt jump shot from 25 ft,4,5
1,9:40.0,,Offensive rebound by J. Richardson,4,5
1,9:36.0,,R. McGruder makes 3-pt jump shot from 28 ft (assist by J. Richardson),4,8
1,9:10.0,C. Osman misses 3-pt jump shot from 23 ft,,4,8
1,9:07.0,,Defensive rebound by R. McGruder,4,8
1,9:04.0,,J. Winslow misses 3-pt jump shot from 24 ft,4,8
1,9:00.0,Defensive rebound by J. Blossomgame,,4,8
1,8:57.0,C. Sexton misses 2-pt layup from 5 ft,,4,8
1,8:57.0,Offensive rebound by Team,,4,8
1,8:57.0,,Loose ball foul by R. McGruder (drawn by C. Sexton),4,8
1,8:50.0,C. Frye makes 3-pt jump shot from 26 ft (assist by C. Sexton),,7,8
1,8:28.0,,H. Whiteside makes 2-pt dunk at rim,7,10
1,8:12.0,C. Sexton misses 2-pt jump shot from 9 ft,,7,10
1,8:08.0,,Defensive rebound by J. Winslow,7,10
1,8:04.0,,J. Winslow misses 2-pt jump shot from 17 ft,7,10
1,8:00.0,Defensive rebound by C. Osman,,7,10
1,7:53.0,,Loose ball foul by H. Whiteside (drawn by C. Osman),7,10
1,7:47.0,A. Burks makes 2-pt jump shot from 11 ft,,9,10
1,7:28.0,,R. McGruder makes 3-pt jump shot from 27 ft (assist by H. Whiteside),9,13
1,7:12.0,A. Burks makes 3-pt jump shot from 26 ft,,12,13
1,6:42.0,,J. Johnson misses 2-pt layup from 7 ft,12,13
1,6:40.0,Defensive rebound by A. Burks,,12,13
1,6:40.0,Personal take foul by J. Johnson (drawn by A. Burks),,12,13
1,6:40.0,,Miami full timeout,12,13
1,6:25.0,C. Frye makes 3-pt jump shot from 25 ft (assist by C. Osman),,15,13
1,6:11.0,,Def 3 sec tech foul by Team,15,13
1,6:11.0,,J. Richardson makes technical free throw,15,14
1,5:59.0,,J. Winslow misses 2-pt jump shot from 9 ft,15,14
1,5:58.0,,Offensive rebound by H. Whiteside,15,14
1,5:55.0,,H. Whiteside makes 2-pt layup from 6 ft,15,16
1,5:45.0,C. Frye misses 3-pt jump shot from 25 ft,,15,16
1,5:44.0,Offensive rebound by Team,,15,16
1,5:44.0,,D. Wade enters the game for J. Richardson,15,16
1,5:35.0,Shooting foul by D. Wade (drawn by A. Burks),,15,16
1,5:35.0,A. Burks makes free throw 1 of 2,,16,16
1,5:35.0,J. Clarkson enters the game for J. Blossomgame,,16,16
1,5:35.0,L. Nance enters the game for C. Frye,,16,16
1,5:35.0,A. Burks makes free throw 2 of 2,,17,16
1,5:20.0,,H. Whiteside makes 2-pt hook shot from 4 ft (assist by D. Wade),17,18
1,5:10.0,Turnover by C. Sexton (bad pass),,17,18
1,5:00.0,,Shooting foul by C. Sexton (drawn by R. McGruder),17,18
1,5:00.0,,R. McGruder makes free throw 1 of 2,17,19
1,5:00.0,,R. McGruder makes free throw 2 of 2,17,20
1,4:50.0,J. Clarkson makes 2-pt jump shot from 8 ft (assist by A. Burks),,19,20
