QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,LA CLIPPERS_ACTION,SAN ANTONIO_SCORE,LA CLIPPERS_SCORE
1,11:42.0,,T. Harris makes 2-pt jump shot from 9 ft (assist by B. Marjanović),0,2
1,11:27.0,L. Aldridge makes 2-pt layup from 1 ft (assist by D. White),,2,2
1,11:27.0,Shooting foul by B. Marjanović (drawn by L. Aldridge),,2,2
1,11:27.0,L. Aldridge makes free throw 1 of 1,,3,2
1,11:17.0,,Offensive foul by D. Gallinari (drawn by B. Forbes),3,2
1,11:17.0,,Turnover by D. Gallinari (offensive foul),3,2
1,10:59.0,D. White makes 2-pt jump shot from 14 ft,,5,2
1,10:53.0,,Turnover by T. Harris (traveling),5,2
1,10:41.0,D. White misses 2-pt jump shot from 17 ft,,5,2
1,10:38.0,,Defensive rebound by A. Bradley,5,2
1,10:34.0,,B. Marjanović makes 2-pt layup from 1 ft (assist by A. Bradley),5,4
1,10:34.0,,Shooting foul by R. Gay (drawn by B. Marjanović),5,4
1,10:34.0,,B. Marjanović misses free throw 1 of 1,5,4
1,10:31.0,Defensive rebound by L. Aldridge,,5,4
1,10:11.0,L. Aldridge misses 3-pt jump shot from 26 ft,,5,4
1,10:08.0,,Defensive rebound by A. Bradley,5,4
1,10:03.0,,Turnover by B. Marjanović (bad pass; steal by D. DeRozan),5,4
1,9:58.0,L. Aldridge makes 2-pt dunk from 1 ft (assist by D. DeRozan),,7,4
1,9:41.0,,D. Gallinari misses 2-pt jump shot from 21 ft,7,4
1,9:39.0,Defensive rebound by D. DeRozan,,7,4
1,9:30.0,L. Aldridge makes 2-pt jump shot from 16 ft (assist by D. DeRozan),,9,4
1,9:18.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 16 ft,9,4
1,9:17.0,Defensive rebound by B. Forbes,,9,4
1,9:10.0,B. Forbes makes 3-pt jump shot from 25 ft,,12,4
1,8:57.0,,D. Gallinari misses 2-pt jump shot from 23 ft,12,4
1,8:55.0,Defensive rebound by L. Aldridge,,12,4
1,8:47.0,D. DeRozan makes 2-pt jump shot from 9 ft,,14,4
1,8:47.0,,LA Clippers full timeout,14,4
1,8:36.0,,S. Gilgeous-Alexander makes 3-pt jump shot from 23 ft (assist by T. Harris),14,7
1,8:19.0,B. Forbes misses 3-pt jump shot from 25 ft,,14,7
1,8:16.0,,Defensive rebound by T. Harris,14,7
1,8:13.0,,A. Bradley makes 3-pt jump shot from 23 ft (assist by S. Gilgeous-Alexander),14,10
1,7:55.0,L. Aldridge misses 2-pt jump shot from 18 ft,,14,10
1,7:52.0,,Defensive rebound by S. Gilgeous-Alexander,14,10
1,7:44.0,,T. Harris misses 2-pt jump shot from 10 ft,14,10
1,7:43.0,Defensive rebound by D. DeRozan,,14,10
1,7:37.0,D. DeRozan misses 2-pt jump shot from 15 ft,,14,10
1,7:34.0,,Defensive rebound by D. Gallinari,14,10
1,7:24.0,,Turnover by A. Bradley (bad pass; steal by R. Gay),14,10
1,7:21.0,R. Gay makes 2-pt dunk from 2 ft,,16,10
1,7:11.0,,A. Bradley misses 2-pt jump shot from 18 ft,16,10
1,7:08.0,Defensive rebound by D. DeRozan,,16,10
