QUARTER,TIME_REMAINING,NEW YORK_ACTION,UTAH_ACTION,NEW YORK_SCORE,UTAH_SCORE
1,11:48.0,,R. Gobert makes 2-pt dunk from 2 ft (assist by D. Exum),0,2
1,11:28.0,E. Mudiay makes 2-pt jump shot from 19 ft (assist by L. Kornet),,2,2
1,11:17.0,,D. Mitchell misses 3-pt jump shot from 25 ft,2,2
1,11:14.0,Defensive rebound by L. Kornet,,2,2
1,11:03.0,Turnover by T. Hardaway (bad pass; steal by D. Favors),,2,2
1,10:59.0,,J. Ingles misses 3-pt jump shot from 26 ft,2,2
1,10:55.0,,Offensive rebound by D. Mitchell,2,2
1,10:52.0,,R. Gobert makes 2-pt dunk from 2 ft (assist by D. Favors),2,4
1,10:33.0,T. Hardaway makes 2-pt jump shot from 8 ft (assist by L. Kornet),,4,4
1,10:22.0,,D. Favors makes 2-pt layup from 1 ft (assist by J. Ingles),4,6
1,10:02.0,T. Hardaway misses 2-pt jump shot from 20 ft,,4,6
1,9:58.0,,Defensive rebound by J. Ingles,4,6
1,9:46.0,,D. Exum makes 2-pt layup from 6 ft (assist by D. Favors),4,8
1,9:36.0,E. Mudiay misses 2-pt jump shot from 15 ft,,4,8
1,9:35.0,,Defensive rebound by Team,4,8
1,9:35.0,Loose ball foul by N. Vonleh (drawn by R. Gobert),,4,8
1,9:20.0,,R. Gobert makes 2-pt dunk from 1 ft (assist by D. Mitchell),4,10
1,9:20.0,,Shooting foul by N. Vonleh (drawn by R. Gobert),4,10
1,9:20.0,,R. Gobert makes free throw 1 of 1,4,11
1,9:14.0,New York full timeout,,4,11
1,9:14.0,L. Thomas enters the game for N. Vonleh,,4,11
1,9:09.0,Personal foul by D. Mitchell (drawn by K. Knox),,4,11
1,8:56.0,T. Hardaway misses 3-pt jump shot from 28 ft,,4,11
1,8:53.0,,Defensive rebound by R. Gobert,4,11
1,8:49.0,,D. Mitchell misses 3-pt jump shot from 26 ft,4,11
1,8:44.0,Defensive rebound by E. Mudiay,,4,11
1,8:39.0,L. Kornet misses 3-pt jump shot from 25 ft,,4,11
1,8:36.0,,Defensive rebound by R. Gobert,4,11
1,8:28.0,,Turnover by J. Ingles (bad pass),4,11
1,8:19.0,L. Kornet makes 3-pt jump shot from 27 ft (assist by E. Mudiay),,7,11
1,8:00.0,,Shooting foul by L. Kornet (drawn by J. Ingles),7,11
1,8:00.0,,J. Ingles makes free throw 1 of 2,7,12
1,8:00.0,,J. Ingles makes free throw 2 of 2,7,13
1,7:47.0,E. Mudiay makes 2-pt jump shot from 8 ft,,9,13
1,7:39.0,,Personal foul by E. Mudiay (drawn by D. Exum),9,13
1,7:22.0,,D. Favors misses 3-pt jump shot from 23 ft,9,13
1,7:19.0,Defensive rebound by L. Kornet,,9,13
1,7:19.0,,K. Korver enters the game for J. Ingles,9,13
1,6:57.0,E. Mudiay misses 2-pt jump shot from 13 ft,,9,13
1,6:55.0,,Defensive rebound by D. Favors,9,13
1,6:46.0,,D. Favors makes 2-pt dunk from 2 ft (assist by D. Exum),9,15
1,6:34.0,Shooting foul by K. Korver (drawn by K. Knox),,9,15
1,6:34.0,K. Knox misses free throw 1 of 2,,9,15
1,6:34.0,Offensive rebound by Team,,9,15
1,6:34.0,K. Knox makes free throw 2 of 2,,10,15
1,6:17.0,,K. Korver makes 3-pt jump shot from 23 ft (assist by D. Exum),10,18
1,5:58.0,L. Thomas makes 2-pt jump shot from 9 ft,,12,18
1,5:43.0,,R. Gobert makes 2-pt dunk from 3 ft (assist by D. Exum),12,20
1,5:40.0,New York full timeout,,12,20
1,5:40.0,F. Ntilikina enters the game for T. Hardaway,,12,20
1,5:40.0,A. Trier enters the game for E. Mudiay,,12,20
1,5:40.0,,T. Sefolosha enters the game for D. Favors,12,20
1,5:33.0,K. Knox misses 2-pt jump shot from 11 ft,,12,20
1,5:31.0,,Defensive rebound by R. Gobert,12,20
1,5:20.0,,T. Sefolosha misses 3-pt jump shot from 23 ft,12,20
1,5:18.0,,Offensive rebound by R. Gobert,12,20
1,5:17.0,,R. Gobert makes 2-pt layup from 2 ft,12,22
1,5:07.0,L. Thomas misses 3-pt jump shot from 26 ft,,12,22
1,5:04.0,,Defensive rebound by R. Gobert,12,22
1,4:59.0,,Turnover by D. Mitchell (bad pass; steal by L. Thomas),12,22
1,4:56.0,Personal foul by D. Exum (drawn by L. Thomas),,12,22
1,4:41.0,F. Ntilikina misses 2-pt layup from 9 ft,,12,22
1,4:39.0,,Defensive rebound by R. Gobert,12,22
1,4:34.0,,R. Gobert makes 2-pt layup from 3 ft (assist by D. Exum),12,24
1,4:34.0,,Shooting foul by L. Thomas (drawn by R. Gobert),12,24
1,4:34.0,,R. Gobert makes free throw 1 of 1,12,25
1,4:23.0,F. Ntilikina makes 2-pt dunk from 2 ft,,14,25
1,4:01.0,,R. Gobert misses 2-pt layup from 3 ft,14,25
1,4:01.0,,Offensive rebound by Team,14,25
1,4:01.0,Loose ball foul by L. Thomas (drawn by R. Gobert),,14,25
1,4:01.0,,R. Gobert makes free throw 1 of 2,14,26
1,4:01.0,E. Freedom enters the game for L. Kornet,,14,26
1,4:01.0,,R. Gobert makes free throw 2 of 2,14,27
1,3:48.0,F. Ntilikina misses 2-pt jump shot from 14 ft,,14,27
1,3:46.0,,Defensive rebound by D. Mitchell,14,27
1,3:38.0,,K. Korver makes 3-pt jump shot from 24 ft (assist by D. Mitchell),14,30
1,3:26.0,A. Trier misses 2-pt jump shot from 19 ft,,14,30
1,3:24.0,,Defensive rebound by T. Sefolosha,14,30
1,3:11.0,,D. Exum misses 2-pt layup from 5 ft,14,30
1,3:11.0,Defensive rebound by Team,,14,30
1,3:11.0,,R. Neto enters the game for D. Exum,14,30
1,2:58.0,K. Knox makes 3-pt jump shot from 25 ft (assist by E. Freedom),,17,30
