QUARTER,TIME_REMAINING,TORONTO_ACTION,SAN ANTONIO_ACTION,TORONTO_SCORE,SAN ANTONIO_SCORE
1,11:47.0,K. Leonard makes 2-pt layup from 1 ft,,2,0
1,11:47.0,Shooting foul by D. White (drawn by K. Leonard),,2,0
1,11:47.0,K. Leonard misses free throw 1 of 1,,2,0
1,11:45.0,,Defensive rebound by D. DeRozan,2,0
1,11:29.0,,D. DeRozan misses 2-pt jump shot from 15 ft,2,0
1,11:25.0,Defensive rebound by P. Siakam,,2,0
1,11:21.0,P. Siakam misses 2-pt layup from 2 ft,,2,0
1,11:19.0,,Defensive rebound by D. DeRozan,2,0
1,11:12.0,,D. DeRozan misses 2-pt layup from 2 ft (block by D. Green),2,0
1,11:10.0,,Offensive rebound by D. DeRozan,2,0
1,11:05.0,,B. Forbes makes 3-pt jump shot from 25 ft (assist by D. White),2,3
1,10:48.0,S. Ibaka misses 3-pt jump shot from 25 ft,,2,3
1,10:45.0,,Defensive rebound by L. Aldridge,2,3
1,10:35.0,,Shooting foul by S. Ibaka (drawn by D. DeRozan),2,3
1,10:35.0,,D. DeRozan makes free throw 1 of 2,2,4
1,10:35.0,,D. DeRozan makes free throw 2 of 2,2,5
1,10:24.0,F. VanVleet misses 3-pt jump shot from 26 ft,,2,5
1,10:20.0,,Defensive rebound by D. DeRozan,2,5
1,10:12.0,,L. Aldridge makes 2-pt jump shot from 11 ft (assist by D. DeRozan),2,7
1,9:59.0,K. Leonard makes 2-pt jump shot from 21 ft,,4,7
1,9:39.0,,R. Gay makes 2-pt jump shot from 15 ft (assist by D. DeRozan),4,9
1,9:25.0,D. Green misses 3-pt jump shot from 27 ft,,4,9
1,9:22.0,Offensive rebound by S. Ibaka,,4,9
1,9:22.0,Shooting foul by D. DeRozan (drawn by S. Ibaka),,4,9
1,9:22.0,S. Ibaka makes free throw 1 of 2,,5,9
1,9:22.0,S. Ibaka misses free throw 2 of 2,,5,9
1,9:19.0,,Defensive rebound by D. DeRozan,5,9
1,8:55.0,,D. DeRozan makes 2-pt jump shot from 11 ft (assist by L. Aldridge),5,11
1,8:43.0,K. Leonard misses 3-pt jump shot from 26 ft,,5,11
1,8:39.0,,Defensive rebound by B. Forbes,5,11
1,8:25.0,,L. Aldridge makes 2-pt jump shot from 9 ft,5,13
1,8:03.0,S. Ibaka misses 2-pt hook shot from 7 ft,,5,13
1,8:00.0,,Defensive rebound by R. Gay,5,13
1,7:54.0,,Personal foul by P. Siakam (drawn by L. Aldridge),5,13
1,7:51.0,,D. DeRozan makes 2-pt dunk from 1 ft (assist by D. White),5,15
1,7:51.0,Toronto full timeout,,5,15
1,7:27.0,P. Siakam makes 2-pt layup from 1 ft (assist by D. Green),,7,15
1,7:21.0,,Personal foul by F. VanVleet (drawn by D. White),7,15
1,7:10.0,,Personal foul by F. VanVleet (drawn by R. Gay),7,15
1,7:01.0,,D. White misses 2-pt jump shot from 13 ft,7,15
1,6:59.0,Defensive rebound by P. Siakam,,7,15
1,6:49.0,S. Ibaka makes 2-pt jump shot from 14 ft (assist by P. Siakam),,9,15
1,6:35.0,,R. Gay makes 2-pt layup from 1 ft (assist by L. Aldridge),9,17
1,6:26.0,K. Leonard misses 2-pt layup from 2 ft,,9,17
1,6:23.0,,Defensive rebound by D. DeRozan,9,17
1,6:18.0,,R. Gay makes 2-pt dunk from 1 ft (assist by D. White),9,19
1,6:01.0,D. Green misses 3-pt jump shot from 23 ft,,9,19
1,5:59.0,,Defensive rebound by Team,9,19
1,5:37.0,,D. White makes 2-pt layup from 1 ft (assist by L. Aldridge),9,21
