QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,PORTLAND_ACTION,OKLAHOMA CITY_SCORE,PORTLAND_SCORE
1,11:38.0,,D. Lillard misses 3-pt jump shot from 23 ft,0,0
1,11:37.0,,Offensive rebound by A. Aminu,0,0
1,11:33.0,,M. Harkless misses 2-pt layup from 2 ft,0,0
1,11:33.0,,Offensive rebound by M. Harkless,0,0
1,11:32.0,,M. Harkless misses 2-pt layup from 1 ft,0,0
1,11:29.0,Defensive rebound by P. George,,0,0
1,11:07.0,Turnover by Team (shot clock),,0,0
1,10:56.0,,Turnover by J. Nurkić (bad pass),0,0
1,10:52.0,P. George makes 3-pt jump shot from 23 ft (assist by R. Westbrook),,3,0
1,10:27.0,,A. Aminu misses 3-pt jump shot from 25 ft,3,0
1,10:24.0,Defensive rebound by J. Grant,,3,0
1,10:14.0,S. Adams misses 2-pt hook shot from 7 ft,,3,0
1,10:12.0,,Defensive rebound by M. Harkless,3,0
1,10:05.0,,A. Aminu makes 2-pt layup from 1 ft (assist by D. Lillard),3,2
1,9:52.0,R. Westbrook misses 2-pt jump shot from 3 ft,,3,2
1,9:51.0,,Defensive rebound by A. Aminu,3,2
1,9:45.0,,C. McCollum misses 2-pt jump shot from 8 ft,3,2
1,9:41.0,,Offensive rebound by A. Aminu,3,2
1,9:41.0,,A. Aminu makes 2-pt layup from 1 ft,3,4
1,9:29.0,P. George misses 2-pt layup from 1 ft (block by M. Harkless),,3,4
1,9:27.0,,Defensive rebound by A. Aminu,3,4
1,9:19.0,,D. Lillard makes 2-pt layup from 1 ft,3,6
1,9:06.0,Shooting foul by J. Nurkić (drawn by P. George),,3,6
1,9:06.0,P. George misses free throw 1 of 2,,3,6
1,9:06.0,Offensive rebound by Team,,3,6
1,9:06.0,P. George makes free throw 2 of 2,,4,6
1,8:47.0,,J. Nurkić makes 2-pt hook shot from 2 ft,4,8
1,8:36.0,P. George misses 2-pt jump shot from 12 ft,,4,8
1,8:33.0,Offensive rebound by S. Adams,,4,8
1,8:31.0,P. George makes 3-pt jump shot from 25 ft (assist by S. Adams),,7,8
1,8:17.0,,J. Nurkić misses 2-pt jump shot from 22 ft,7,8
1,8:15.0,Defensive rebound by J. Grant,,7,8
1,8:13.0,Turnover by T. Ferguson (out of bounds lost ball),,7,8
1,8:03.0,,A. Aminu misses 3-pt jump shot from 26 ft,7,8
1,8:01.0,Defensive rebound by T. Ferguson,,7,8
1,7:54.0,R. Westbrook makes 2-pt jump shot from 11 ft,,9,8
1,7:43.0,,D. Lillard makes 3-pt jump shot from 24 ft,9,11
1,7:34.0,R. Westbrook makes 2-pt layup from 1 ft,,11,11
1,7:23.0,,D. Lillard misses 3-pt jump shot from 34 ft,11,11
1,7:22.0,Defensive rebound by Team,,11,11
1,7:06.0,S. Adams misses 2-pt hook shot from 9 ft,,11,11
1,7:03.0,,Defensive rebound by A. Aminu,11,11
1,6:56.0,,C. McCollum misses 2-pt jump shot from 21 ft,11,11
1,6:51.0,Defensive rebound by S. Adams,,11,11
1,6:46.0,Shooting foul by M. Harkless (drawn by P. George),,11,11
1,6:46.0,,Portland full timeout,11,11
1,6:46.0,P. George makes free throw 1 of 2,,12,11
1,6:46.0,P. George makes free throw 2 of 2,,13,11
1,6:36.0,,J. Nurkić makes 2-pt layup from 1 ft (assist by D. Lillard),13,13
1,6:24.0,R. Westbrook misses 2-pt jump shot from 16 ft,,13,13
1,6:21.0,,Defensive rebound by Team,13,13
1,6:09.0,,C. McCollum misses 2-pt jump shot from 4 ft (block by T. Ferguson),13,13
1,6:08.0,Defensive rebound by Team,,13,13
1,5:54.0,J. Grant makes 2-pt layup from 2 ft,,15,13
1,5:41.0,,J. Nurkić makes 2-pt jump shot from 3 ft (assist by D. Lillard),15,15
1,5:31.0,P. George misses 2-pt jump shot from 12 ft,,15,15
1,5:28.0,,Defensive rebound by M. Harkless,15,15
1,5:21.0,,C. McCollum makes 3-pt jump shot from 26 ft (assist by J. Nurkić),15,18
1,5:11.0,Offensive foul by R. Westbrook (drawn by D. Lillard),,15,18
1,5:11.0,Turnover by R. Westbrook (offensive foul),,15,18
1,5:11.0,D. Schröder enters the game for T. Ferguson,,15,18
1,5:11.0,,E. Turner enters the game for M. Harkless,15,18
1,4:58.0,,J. Nurkić makes 2-pt jump shot from 1 ft (assist by C. McCollum),15,20
1,4:50.0,J. Grant misses 2-pt layup from 2 ft,,15,20
1,4:47.0,,Defensive rebound by A. Aminu,15,20
1,4:36.0,,C. McCollum misses 2-pt jump shot from 19 ft,15,20
1,4:34.0,Defensive rebound by S. Adams,,15,20
1,4:25.0,R. Westbrook misses 3-pt jump shot from 25 ft,,15,20
1,4:23.0,,Defensive rebound by Team,15,20
1,4:12.0,,D. Lillard makes 2-pt jump shot from 11 ft (assist by A. Aminu),15,22
1,3:58.0,R. Westbrook makes 2-pt jump shot from 9 ft,,17,22
