QUARTER,TIME_REMAINING,DENVER_ACTION,MIAMI_ACTION,DENVER_SCORE,MIAMI_SCORE
1,11:34.0,,H. Whiteside misses 2-pt jump shot from 14 ft,0,0
1,11:30.0,Defensive rebound by T. Craig,,0,0
1,11:18.0,M. Beasley misses 3-pt jump shot from 25 ft,,0,0
1,11:17.0,,Defensive rebound by J. Richardson,0,0
1,11:17.0,,Personal foul by M. Beasley (drawn by J. Richardson),0,0
1,11:05.0,,Turnover by J. Johnson (bad pass),0,0
1,10:54.0,J. Murray makes 2-pt layup from 3 ft (assist by P. Millsap),,2,0
1,10:30.0,,J. Winslow misses 2-pt jump shot from 19 ft,2,0
1,10:26.0,,Offensive rebound by H. Whiteside,2,0
1,10:24.0,,H. Whiteside makes 2-pt dunk from 2 ft,2,2
1,10:02.0,J. Murray misses 2-pt jump shot from 10 ft (block by R. McGruder),,2,2
1,9:58.0,Offensive rebound by N. Jokić,,2,2
1,9:56.0,N. Jokić misses 2-pt jump shot from 22 ft,,2,2
1,9:52.0,Offensive rebound by J. Murray,,2,2
1,9:45.0,P. Millsap misses 2-pt jump shot from 16 ft,,2,2
1,9:40.0,,Defensive rebound by H. Whiteside,2,2
1,9:33.0,,H. Whiteside misses 2-pt hook shot from 9 ft,2,2
1,9:29.0,Defensive rebound by P. Millsap,,2,2
1,9:20.0,N. Jokić makes 2-pt hook shot from 7 ft (assist by P. Millsap),,4,2
1,9:20.0,,Violation by Team (def goaltending),4,2
1,9:13.0,,Offensive foul by J. Winslow (drawn by T. Craig),4,2
1,9:13.0,,Turnover by J. Winslow (offensive foul),4,2
1,9:00.0,T. Craig misses 3-pt jump shot from 24 ft,,4,2
1,8:57.0,,Defensive rebound by H. Whiteside,4,2
1,8:46.0,,H. Whiteside makes 2-pt hook shot from 5 ft (assist by J. Winslow),4,4
1,8:34.0,J. Murray makes 2-pt layup from 3 ft (assist by N. Jokić),,6,4
1,8:13.0,,J. Winslow misses 3-pt jump shot from 24 ft,6,4
1,8:10.0,Defensive rebound by P. Millsap,,6,4
1,8:05.0,P. Millsap misses 2-pt layup from 13 ft (block by H. Whiteside),,6,4
1,8:01.0,Offensive rebound by P. Millsap,,6,4
1,7:59.0,P. Millsap misses 2-pt jump shot from 13 ft,,6,4
1,7:59.0,,Defensive rebound by H. Whiteside,6,4
1,7:46.0,,J. Johnson makes 3-pt jump shot from 23 ft (assist by J. Winslow),6,7
1,7:31.0,N. Jokić makes 2-pt jump shot from 11 ft (assist by J. Murray),,8,7
1,7:22.0,,J. Winslow misses 2-pt jump shot from 11 ft,8,7
1,7:19.0,Defensive rebound by T. Craig,,8,7
1,7:17.0,J. Murray misses 3-pt jump shot from 27 ft,,8,7
1,7:12.0,,Defensive rebound by J. Johnson,8,7
1,6:51.0,,H. Whiteside misses 2-pt hook shot from 7 ft,8,7
1,6:48.0,Defensive rebound by J. Murray,,8,7
1,6:44.0,J. Murray makes 2-pt dunk from 1 ft (assist by N. Jokić),,10,7
1,6:34.0,,J. Johnson misses 2-pt jump shot from 7 ft,10,7
1,6:29.0,Defensive rebound by N. Jokić,,10,7
1,6:27.0,M. Beasley makes 2-pt layup from 4 ft (assist by J. Murray),,12,7
1,6:27.0,,Miami full timeout,12,7
1,6:08.0,,J. Johnson misses 3-pt jump shot from 22 ft,12,7
1,6:05.0,,Offensive rebound by H. Whiteside,12,7
1,6:05.0,Violation by Team (kicked ball),,12,7
1,5:51.0,,R. McGruder misses 2-pt jump shot from 7 ft,12,7
1,5:46.0,,H. Whiteside misses 2-pt layup at rim,12,7
1,5:46.0,,Offensive rebound by H. Whiteside,12,7
1,5:46.0,Defensive rebound by N. Jokić,,12,7
1,5:46.0,Turnover by N. Jokić (bad pass),,12,7
1,5:31.0,,Shooting foul by T. Craig (drawn by H. Whiteside),12,7
1,5:31.0,,H. Whiteside misses free throw 1 of 2,12,7
1,5:31.0,,Offensive rebound by Team,12,7
1,5:31.0,,D. Wade enters the game for J. Winslow,12,7
1,5:31.0,,H. Whiteside makes free throw 2 of 2,12,8
1,5:11.0,N. Jokić misses 2-pt jump shot from 11 ft,,12,8
1,5:08.0,Offensive rebound by P. Millsap,,12,8
1,5:08.0,Personal foul by R. McGruder (drawn by P. Millsap),,12,8
1,5:00.0,Personal foul by R. McGruder (drawn by J. Murray),,12,8
1,5:00.0,N. Jokić misses 2-pt jump shot from 6 ft,,12,8
1,4:47.0,,Defensive rebound by H. Whiteside,12,8
1,4:40.0,,J. Richardson misses 2-pt jump shot from 10 ft,12,8
1,4:36.0,Defensive rebound by J. Murray,,12,8
1,4:28.0,J. Murray misses 2-pt jump shot from 16 ft,,12,8
1,4:23.0,,Defensive rebound by J. Johnson,12,8
1,4:09.0,,J. Richardson misses 3-pt jump shot from 25 ft,12,8
1,4:08.0,,Offensive rebound by H. Whiteside,12,8
1,4:08.0,,H. Whiteside makes 2-pt layup from 3 ft,12,10
1,4:08.0,,Shooting foul by N. Jokić (drawn by H. Whiteside),12,10
1,4:08.0,M. Morris enters the game for P. Millsap,,12,10
1,4:08.0,M. Plumlee enters the game for J. Murray,,12,10
1,4:08.0,,T. Johnson enters the game for J. Johnson,12,10
1,4:08.0,,K. Olynyk enters the game for R. McGruder,12,10
1,4:08.0,,H. Whiteside misses free throw 1 of 1,12,10
1,4:06.0,Defensive rebound by T. Craig,,12,10
1,3:59.0,Personal foul by K. Olynyk (drawn by N. Jokić),,12,10
1,3:45.0,N. Jokić misses 2-pt jump shot from 6 ft,,12,10
1,3:45.0,Offensive rebound by N. Jokić,,12,10
1,3:45.0,Shooting foul by H. Whiteside (drawn by N. Jokić),,12,10
1,3:45.0,N. Jokić makes free throw 1 of 2,,13,10
1,3:45.0,N. Jokić makes free throw 2 of 2,,14,10
1,3:31.0,,J. Richardson misses 2-pt jump shot from 11 ft,14,10
1,3:29.0,Defensive rebound by Team,,14,10
1,3:29.0,,Loose ball foul by J. Richardson (drawn by N. Jokić),14,10
1,3:29.0,N. Jokić makes free throw 1 of 2,,15,10
1,3:29.0,N. Jokić makes free throw 2 of 2,,16,10
1,3:18.0,,T. Johnson misses 3-pt jump shot from 24 ft,16,10
1,3:17.0,Defensive rebound by Team,,16,10
1,3:17.0,,Loose ball foul by K. Olynyk (drawn by M. Plumlee),16,10
1,3:17.0,M. Plumlee misses free throw 1 of 2,,16,10
1,3:17.0,Offensive rebound by Team,,16,10
1,3:17.0,T. Lyles enters the game for N. Jokić,,16,10
1,3:17.0,,B. Adebayo enters the game for H. Whiteside,16,10
1,3:17.0,M. Plumlee misses free throw 2 of 2,,16,10
1,3:13.0,Offensive rebound by T. Craig,,16,10
1,3:11.0,M. Plumlee makes 2-pt dunk from 3 ft (assist by T. Craig),,18,10
1,3:00.0,,K. Olynyk misses 3-pt jump shot from 26 ft,18,10
1,2:58.0,Defensive rebound by M. Plumlee,,18,10
1,2:43.0,M. Beasley misses 3-pt jump shot from 26 ft,,18,10
1,2:38.0,,Defensive rebound by T. Johnson,18,10
1,2:29.0,,K. Olynyk makes 2-pt layup from 2 ft (assist by T. Johnson),18,12
1,2:13.0,T. Lyles makes 2-pt layup from 1 ft (assist by M. Plumlee),,20,12
1,1:53.0,,J. Richardson makes 2-pt jump shot from 21 ft,20,14
1,1:40.0,Turnover by M. Plumlee (bad pass; steal by T. Johnson),,20,14
1,1:35.0,,J. Richardson misses 3-pt jump shot from 24 ft,20,14
1,1:30.0,Defensive rebound by M. Morris,,20,14
1,1:28.0,M. Morris misses 2-pt layup from 10 ft,,20,14
1,1:23.0,,Defensive rebound by J. Richardson,20,14
1,1:14.0,,Shooting foul by M. Plumlee (drawn by J. Richardson),20,14
1,1:14.0,Denver full timeout,,20,14
1,1:14.0,B. Goodwin enters the game for M. Beasley,,20,14
1,1:14.0,J. Murray enters the game for T. Craig,,20,14
1,1:14.0,,J. Richardson makes free throw 1 of 2,20,15
1,1:14.0,,J. Richardson makes free throw 2 of 2,20,16
1,0:59.0,T. Lyles makes 2-pt jump shot from 12 ft,,22,16
1,0:47.0,,Shooting foul by J. Murray (drawn by K. Olynyk),22,16
1,0:47.0,,K. Olynyk makes free throw 1 of 2,22,17
1,0:47.0,,D. Waiters enters the game for J. Richardson,22,17
1,0:47.0,,K. Olynyk makes free throw 2 of 2,22,18
1,0:28.0,M. Morris misses 3-pt jump shot from 25 ft,,22,18
1,0:26.0,Offensive rebound by Team,,22,18
1,0:23.0,J. Murray makes 2-pt jump shot from 5 ft (assist by M. Plumlee),,24,18
1,0:02.0,,D. Wade misses 2-pt jump shot from 10 ft,24,18
1,0:00.0,Defensive rebound by M. Morris,,24,18
2,11:45.0,M. Plumlee makes 2-pt dunk from 2 ft (assist by M. Morris),,26,18
2,11:24.0,,Shooting foul by B. Goodwin (drawn by D. Wade),26,18
2,11:24.0,,D. Wade misses free throw 1 of 2,26,18
2,11:24.0,,Offensive rebound by Team,26,18
2,11:24.0,,D. Wade makes free throw 2 of 2,26,19
2,11:10.0,M. Morris makes 2-pt jump shot from 18 ft,,28,19
2,10:55.0,,D. Waiters makes 2-pt layup from 1 ft,28,21
2,10:37.0,Turnover by B. Goodwin (bad pass; steal by B. Adebayo),,28,21
2,10:32.0,,T. Johnson makes 2-pt layup from 2 ft (assist by D. Waiters),28,23
2,10:21.0,M. Morris misses 2-pt jump shot from 15 ft (block by D. Wade),,28,23
2,10:21.0,,Defensive rebound by B. Adebayo,28,23
2,10:05.0,,K. Olynyk misses 3-pt jump shot from 26 ft,28,23
2,10:00.0,Defensive rebound by M. Plumlee,,28,23
2,9:55.0,T. Lyles makes 3-pt jump shot from 23 ft (assist by B. Goodwin),,31,23
2,9:28.0,,K. Olynyk makes 2-pt layup from 2 ft (assist by T. Johnson),31,25
2,9:16.0,Offensive foul by M. Plumlee (drawn by B. Adebayo),,31,25
2,9:16.0,Turnover by M. Plumlee (offensive foul),,31,25
2,9:02.0,,Shooting foul by M. Plumlee (drawn by D. Wade),31,25
2,9:02.0,M. Beasley enters the game for B. Goodwin,,31,25
2,9:02.0,T. Craig enters the game for J. Murray,,31,25
2,9:02.0,N. Jokić enters the game for M. Plumlee,,31,25
2,9:02.0,,D. Wade misses free throw 1 of 2,31,25
2,9:02.0,,Offensive rebound by Team,31,25
2,9:02.0,,D. Wade makes free throw 2 of 2,31,26
2,8:51.0,T. Lyles misses 3-pt jump shot from 27 ft,,31,26
2,8:47.0,,Defensive rebound by D. Waiters,31,26
2,8:42.0,,D. Waiters makes 2-pt layup from 2 ft,31,28
2,8:42.0,Denver full timeout,,31,28
2,8:28.0,N. Jokić makes 2-pt hook shot from 7 ft,,33,28
2,8:12.0,,K. Olynyk misses 3-pt jump shot from 23 ft,33,28
2,8:09.0,,Offensive rebound by B. Adebayo,33,28
2,7:59.0,,T. Johnson makes 2-pt layup from 2 ft (assist by D. Waiters),33,30
2,7:43.0,Personal foul by T. Johnson (drawn by N. Jokić),,33,30
2,7:43.0,P. Millsap enters the game for T. Lyles,,33,30
2,7:43.0,,J. Winslow enters the game for D. Wade,33,30
2,7:31.0,N. Jokić misses 2-pt jump shot from 18 ft,,33,30
2,7:26.0,,Defensive rebound by T. Johnson,33,30
2,7:19.0,,D. Waiters misses 3-pt jump shot from 26 ft,33,30
2,7:15.0,,Offensive rebound by K. Olynyk,33,30
2,7:07.0,,Personal foul by M. Morris (drawn by K. Olynyk),33,30
2,7:01.0,,K. Olynyk makes 3-pt jump shot from 23 ft (assist by T. Johnson),33,33
2,6:45.0,M. Beasley makes 2-pt jump shot from 17 ft (assist by N. Jokić),,35,33
2,6:24.0,,B. Adebayo makes 2-pt hook shot from 7 ft (assist by T. Johnson),35,35
2,6:11.0,N. Jokić makes 2-pt layup from 3 ft (assist by M. Beasley),,37,35
2,5:52.0,,T. Johnson misses 3-pt jump shot from 26 ft,37,35
2,5:50.0,Defensive rebound by Team,,37,35
2,5:50.0,J. Murray enters the game for M. Morris,,37,35
2,5:50.0,,H. Whiteside enters the game for B. Adebayo,37,35
2,5:40.0,P. Millsap makes 2-pt hook shot from 7 ft (assist by M. Beasley),,39,35
2,5:18.0,,T. Johnson misses 3-pt jump shot from 26 ft,39,35
2,5:16.0,Defensive rebound by T. Craig,,39,35
2,5:09.0,Turnover by N. Jokić (bad pass; steal by J. Winslow),,39,35
2,4:59.0,,D. Waiters makes 2-pt layup from 2 ft,39,37
2,4:37.0,J. Murray misses 2-pt jump shot from 18 ft,,39,37
2,4:34.0,,Defensive rebound by H. Whiteside,39,37
2,4:26.0,,J. Winslow makes 2-pt dunk from 1 ft (assist by D. Waiters),39,39
2,4:26.0,,Shooting foul by M. Beasley (drawn by J. Winslow),39,39
2,4:26.0,Denver full timeout,,39,39
2,4:26.0,,J. Richardson enters the game for T. Johnson,39,39
2,4:26.0,,J. Winslow makes free throw 1 of 1,39,40
2,4:09.0,Personal foul by H. Whiteside (drawn by P. Millsap),,39,40
2,4:03.0,Turnover by J. Murray (bad pass; steal by J. Winslow),,39,40
2,3:59.0,,J. Winslow makes 2-pt layup from 2 ft,39,42
2,3:46.0,M. Beasley misses 3-pt jump shot from 26 ft,,39,42
2,3:42.0,,Defensive rebound by J. Richardson,39,42
2,3:38.0,,Shooting foul by J. Murray (drawn by J. Winslow),39,42
2,3:38.0,,J. Winslow misses free throw 1 of 2,39,42
2,3:38.0,,Offensive rebound by Team,39,42
2,3:38.0,,J. Winslow makes free throw 2 of 2,39,43
2,3:19.0,T. Craig makes 3-pt jump shot from 24 ft (assist by J. Murray),,42,43
2,3:02.0,,D. Waiters makes 3-pt jump shot from 22 ft (assist by J. Winslow),42,46
2,2:52.0,J. Murray misses 3-pt jump shot from 26 ft,,42,46
2,2:48.0,,Defensive rebound by H. Whiteside,42,46
2,2:28.0,,J. Winslow misses 2-pt jump shot from 11 ft,42,46
2,2:25.0,Defensive rebound by P. Millsap,,42,46
2,2:15.0,N. Jokić makes 2-pt jump shot from 8 ft,,44,46
2,2:00.0,,J. Richardson misses 2-pt jump shot from 16 ft,44,46
2,1:56.0,Defensive rebound by T. Craig,,44,46
2,1:54.0,T. Craig misses 2-pt layup from 3 ft (block by K. Olynyk),,44,46
2,1:54.0,Offensive rebound by Team,,44,46
2,1:54.0,,D. Wade enters the game for D. Waiters,44,46
2,1:51.0,J. Murray misses 2-pt layup from 3 ft (block by J. Winslow),,44,46
2,1:51.0,Offensive rebound by P. Millsap,,44,46
2,1:46.0,J. Murray makes 2-pt layup from 1 ft (assist by P. Millsap),,46,46
2,1:33.0,,Shooting foul by J. Murray (drawn by K. Olynyk),46,46
2,1:33.0,,K. Olynyk makes free throw 1 of 2,46,47
2,1:33.0,M. Morris enters the game for J. Murray,,46,47
2,1:33.0,,B. Adebayo enters the game for H. Whiteside,46,47
2,1:33.0,,K. Olynyk makes free throw 2 of 2,46,48
2,1:13.0,M. Beasley misses 3-pt jump shot from 27 ft,,46,48
2,1:08.0,,Defensive rebound by J. Winslow,46,48
2,0:53.0,,K. Olynyk makes 2-pt jump shot from 7 ft (assist by J. Richardson),46,50
2,0:38.0,T. Craig makes 3-pt jump shot from 26 ft (assist by P. Millsap),,49,50
2,0:20.0,,J. Winslow makes 2-pt layup from 3 ft (assist by B. Adebayo),49,52
2,0:01.0,M. Beasley misses 3-pt jump shot from 25 ft,,49,52
2,0:00.0,,Defensive rebound by K. Olynyk,49,52
3,11:35.0,N. Jokić misses 2-pt jump shot from 12 ft,,49,52
3,11:34.0,Offensive rebound by N. Jokić,,49,52
3,11:34.0,Shooting foul by J. Richardson (drawn by N. Jokić),,49,52
3,11:34.0,N. Jokić makes free throw 1 of 2,,50,52
3,11:34.0,N. Jokić makes free throw 2 of 2,,51,52
3,11:19.0,,H. Whiteside misses 2-pt layup from 5 ft,51,52
