QUARTER,TIME_REMAINING,ATLANTA_ACTION,TORONTO_ACTION,ATLANTA_SCORE,TORONTO_SCORE
1,11:46.0,D. Dedmon misses 2-pt jump shot from 22 ft,,0,0
1,11:42.0,,Defensive rebound by P. Siakam,0,0
1,11:40.0,,K. Leonard makes 2-pt jump shot from 12 ft,0,2
1,11:40.0,,Shooting foul by J. Collins (drawn by K. Leonard),0,2
1,11:40.0,,K. Leonard makes free throw 1 of 1,0,3
1,11:34.0,T. Young misses 3-pt jump shot from 25 ft,,0,3
1,11:31.0,Offensive rebound by Team,,0,3
1,11:20.0,D. Dedmon misses 3-pt jump shot from 23 ft,,0,3
1,11:16.0,Offensive rebound by J. Collins,,0,3
1,11:14.0,Turnover by J. Collins (bad pass; steal by K. Leonard),,0,3
1,11:13.0,,Personal foul by D. Bembry (drawn by K. Lowry),0,3
1,11:04.0,,P. Siakam misses 3-pt jump shot from 23 ft,0,3
1,11:01.0,Defensive rebound by J. Lin,,0,3
1,10:53.0,Turnover by D. Bembry (bad pass),,0,3
1,10:29.0,,Turnover by Team (shot clock),0,3
1,10:11.0,J. Collins makes 3-pt jump shot from 23 ft (assist by J. Lin),,3,3
1,9:59.0,,S. Ibaka makes 2-pt dunk from 1 ft (assist by F. VanVleet),3,5
1,9:46.0,Turnover by D. Dedmon (lost ball; steal by K. Lowry),,3,5
1,9:42.0,,P. Siakam makes 2-pt layup from 3 ft (assist by K. Leonard),3,7
1,9:42.0,Atlanta full timeout,,3,7
1,9:30.0,T. Young makes 2-pt jump shot from 17 ft,,5,7
1,9:10.0,,F. VanVleet misses 3-pt jump shot from 25 ft,5,7
1,9:06.0,Defensive rebound by D. Bembry,,5,7
1,8:57.0,D. Dedmon misses 2-pt jump shot from 5 ft,,5,7
1,8:53.0,,Defensive rebound by P. Siakam,5,7
1,8:47.0,,P. Siakam makes 2-pt layup from 2 ft (assist by K. Leonard),5,9
1,8:30.0,D. Dedmon makes 2-pt dunk from 2 ft (assist by J. Collins),,7,9
1,8:14.0,,K. Leonard makes 2-pt jump shot from 9 ft,7,11
1,8:00.0,D. Bembry makes 2-pt layup from 2 ft,,9,11
1,7:39.0,,S. Ibaka misses 2-pt jump shot from 18 ft,9,11
1,7:36.0,Defensive rebound by T. Young,,9,11
1,7:33.0,D. Bembry misses 3-pt jump shot from 25 ft,,9,11
1,7:28.0,,Defensive rebound by P. Siakam,9,11
1,7:25.0,,Shooting foul by D. Dedmon (drawn by S. Ibaka),9,11
1,7:25.0,,S. Ibaka makes free throw 1 of 2,9,12
1,7:25.0,J. Anderson enters the game for D. Dedmon,,9,12
1,7:25.0,A. Len enters the game for J. Lin,,9,12
1,7:25.0,,S. Ibaka makes free throw 2 of 2,9,13
1,7:17.0,T. Young misses 2-pt jump shot from 19 ft,,9,13
1,7:13.0,,Defensive rebound by S. Ibaka,9,13
1,7:09.0,,Turnover by P. Siakam (step out of bounds),9,13
1,6:56.0,J. Collins makes 2-pt dunk from 2 ft (assist by D. Bembry),,11,13
1,6:31.0,,S. Ibaka makes 2-pt jump shot from 7 ft,11,15
1,6:19.0,T. Young misses 2-pt jump shot from 14 ft,,11,15
1,6:15.0,Offensive rebound by J. Collins,,11,15
1,6:13.0,T. Young makes 3-pt jump shot from 23 ft (assist by J. Collins),,14,15
1,6:01.0,,P. Siakam misses 3-pt jump shot from 25 ft,14,15
1,5:59.0,Defensive rebound by D. Bembry,,14,15
1,5:46.0,A. Len misses 2-pt hook shot from 7 ft (block by S. Ibaka),,14,15
1,5:41.0,,Defensive rebound by P. Siakam,14,15
1,5:39.0,,Turnover by P. Siakam (bad pass; steal by D. Bembry),14,15
1,5:34.0,A. Len misses 3-pt jump shot from 23 ft,,14,15
1,5:30.0,,Defensive rebound by K. Lowry,14,15
1,5:23.0,,S. Ibaka misses 3-pt jump shot from 23 ft,14,15
1,5:19.0,Defensive rebound by A. Len,,14,15
1,5:13.0,Turnover by T. Young (lost ball; steal by K. Lowry),,14,15
1,5:13.0,,Personal foul by A. Len (drawn by K. Lowry),14,15
1,5:13.0,V. Carter enters the game for J. Collins,,14,15
1,5:13.0,J. Lin enters the game for T. Young,,14,15
1,5:13.0,,O. Anunoby enters the game for P. Siakam,14,15
1,4:56.0,,Turnover by S. Ibaka (lost ball; steal by V. Carter),14,15
1,4:51.0,J. Lin makes 2-pt layup from 3 ft (assist by D. Bembry),,16,15
1,4:31.0,,K. Leonard misses 2-pt jump shot from 14 ft,16,15
1,4:27.0,Defensive rebound by J. Lin,,16,15
1,4:26.0,Turnover by J. Lin (bad pass),,16,15
1,4:11.0,,Turnover by F. VanVleet (bad pass; steal by D. Bembry),16,15
1,4:05.0,V. Carter makes 3-pt jump shot from 25 ft (assist by D. Bembry),,19,15
1,4:05.0,,Toronto full timeout,19,15
1,4:05.0,D. Hamilton enters the game for D. Bembry,,19,15
1,4:05.0,,D. Wright enters the game for K. Lowry,19,15
1,3:52.0,,K. Leonard makes 2-pt jump shot from 10 ft,19,17
1,3:38.0,Turnover by V. Carter (bad pass; steal by K. Leonard),,19,17
1,3:34.0,,Shooting foul by J. Anderson (drawn by F. VanVleet),19,17
1,3:34.0,,F. VanVleet makes free throw 1 of 2,19,18
1,3:34.0,,F. VanVleet makes free throw 2 of 2,19,19
1,3:26.0,Personal foul by O. Anunoby (drawn by J. Lin),,19,19
1,3:22.0,Turnover by V. Carter (traveling),,19,19
1,3:06.0,,K. Leonard makes 2-pt jump shot from 9 ft (assist by D. Wright),19,21
1,2:54.0,J. Lin makes 2-pt jump shot from 7 ft,,21,21
1,2:46.0,,Personal foul by J. Lin (drawn by F. VanVleet),21,21
1,2:46.0,,F. VanVleet makes free throw 1 of 2,21,22
1,2:46.0,,G. Monroe enters the game for S. Ibaka,21,22
1,2:46.0,,N. Powell enters the game for K. Leonard,21,22
1,2:46.0,,F. VanVleet makes free throw 2 of 2,21,23
1,2:35.0,Shooting foul by G. Monroe (drawn by J. Lin),,21,23
1,2:35.0,J. Lin makes free throw 1 of 2,,22,23
1,2:35.0,J. Collins enters the game for J. Anderson,,22,23
1,2:35.0,T. Dorsey enters the game for V. Carter,,22,23
1,2:35.0,J. Lin makes free throw 2 of 2,,23,23
1,2:18.0,,F. VanVleet misses 3-pt jump shot from 23 ft,23,23
1,2:15.0,,Offensive rebound by G. Monroe,23,23
1,2:15.0,,Turnover by G. Monroe (traveling),23,23
1,2:15.0,,K. Lowry enters the game for F. VanVleet,23,23
1,2:00.0,J. Lin makes 2-pt jump shot from 9 ft,,25,23
1,1:42.0,,N. Powell misses 2-pt jump shot from 10 ft (block by A. Len),25,23
1,1:37.0,Defensive rebound by A. Len,,25,23
1,1:32.0,T. Dorsey makes 3-pt jump shot from 24 ft (assist by D. Hamilton),,28,23
1,1:13.0,,K. Lowry misses 3-pt jump shot from 26 ft,28,23
1,1:09.0,Defensive rebound by T. Dorsey,,28,23
1,1:04.0,Shooting foul by D. Wright (drawn by D. Hamilton),,28,23
1,1:04.0,D. Hamilton makes free throw 1 of 2,,29,23
1,1:04.0,D. Hamilton misses free throw 2 of 2,,29,23
1,1:00.0,,Defensive rebound by G. Monroe,29,23
1,0:52.0,,D. Wright makes 2-pt jump shot from 8 ft,29,25
1,0:42.0,J. Lin makes 2-pt jump shot from 22 ft,,31,25
1,0:28.0,,K. Lowry makes 2-pt jump shot from 11 ft (assist by N. Powell),31,27
1,0:08.0,T. Dorsey misses 2-pt jump shot from 9 ft (block by D. Wright),,31,27
1,0:07.0,Offensive rebound by Team,,31,27
1,0:05.0,A. Len misses 2-pt jump shot from 16 ft,,31,27
1,0:03.0,,Defensive rebound by D. Wright,31,27
1,0:00.0,,Personal foul by T. Dorsey (drawn by K. Lowry),31,27
1,0:00.0,,K. Lowry misses free throw 1 of 2,31,27
1,0:00.0,,Offensive rebound by Team,31,27
1,0:00.0,,K. Lowry makes free throw 2 of 2,31,28
2,11:50.0,,Personal foul by D. Dedmon (drawn by N. Powell),31,28
2,11:37.0,,Turnover by G. Monroe (bad pass; steal by T. Young),31,28
2,11:32.0,J. Collins misses 2-pt layup from 5 ft,,31,28
2,11:29.0,Offensive rebound by J. Collins,,31,28
2,11:29.0,J. Collins misses 2-pt layup at rim,,31,28
2,11:29.0,Offensive rebound by J. Collins,,31,28
2,11:29.0,J. Collins misses 2-pt layup from 2 ft (block by N. Powell),,31,28
2,11:29.0,Offensive rebound by Team,,31,28
2,11:29.0,Violation by Team (kicked ball),,31,28
2,11:14.0,,G. Monroe misses 2-pt hook shot from 8 ft,31,28
2,11:14.0,Defensive rebound by J. Collins,,31,28
2,11:12.0,Turnover by J. Collins (bad pass),,31,28
2,11:04.0,,N. Powell misses 3-pt jump shot from 26 ft,31,28
2,11:00.0,Defensive rebound by D. Bembry,,31,28
2,10:55.0,Personal foul by G. Monroe (drawn by J. Collins),,31,28
2,10:55.0,,P. Siakam enters the game for G. Monroe,31,28
2,10:39.0,D. Bembry misses 2-pt jump shot from 8 ft (block by K. Lowry),,31,28
2,10:39.0,Offensive rebound by J. Collins,,31,28
2,10:39.0,J. Collins makes 2-pt layup from 4 ft,,33,28
2,10:39.0,Shooting foul by O. Anunoby (drawn by J. Collins),,33,28
2,10:39.0,J. Collins misses free throw 1 of 1,,33,28
2,10:35.0,Offensive rebound by D. Dedmon,,33,28
