QUARTER,TIME_REMAINING,INDIANA_ACTION,NEW YORK_ACTION,INDIANA_SCORE,NEW YORK_SCORE
1,11:43.0,,Turnover by K. Knox (step out of bounds),0,0
1,11:31.0,D. Sabonis misses 2-pt hook shot from 4 ft,,0,0
1,11:29.0,,Defensive rebound by N. Vonleh,0,0
1,11:15.0,,Turnover by L. Kornet (lost ball; steal by T. Young),0,0
1,11:08.0,T. Young misses 3-pt jump shot from 24 ft,,0,0
1,11:06.0,,Defensive rebound by N. Vonleh,0,0
1,10:51.0,,Turnover by E. Mudiay (bad pass; steal by T. Young),0,0
1,10:32.0,T. Young makes 2-pt hook shot from 6 ft,,2,0
1,10:11.0,,N. Vonleh makes 3-pt jump shot from 26 ft (assist by K. Knox),2,3
1,9:50.0,V. Oladipo misses 2-pt layup from 3 ft (block by N. Vonleh),,2,3
1,9:48.0,Offensive rebound by V. Oladipo,,2,3
1,9:46.0,B. Bogdanović makes 3-pt jump shot from 22 ft (assist by V. Oladipo),,5,3
1,9:32.0,,K. Knox misses 2-pt jump shot from 11 ft,5,3
1,9:30.0,Defensive rebound by V. Oladipo,,5,3
1,9:22.0,D. Collison misses 3-pt jump shot from 23 ft,,5,3
1,9:20.0,Offensive rebound by D. Collison,,5,3
1,9:16.0,Personal foul by N. Vonleh (drawn by D. Collison),,5,3
1,9:10.0,Shooting foul by L. Kornet (drawn by B. Bogdanović),,5,3
1,9:10.0,B. Bogdanović makes free throw 1 of 2,,6,3
1,9:10.0,B. Bogdanović makes free throw 2 of 2,,7,3
1,9:01.0,,Turnover by L. Kornet (bad pass),7,3
1,8:50.0,Personal foul by L. Kornet (drawn by V. Oladipo),,7,3
1,8:50.0,,M. Hezonja enters the game for L. Kornet,7,3
1,8:41.0,T. Young makes 2-pt hook shot from 4 ft,,9,3
1,8:25.0,,T. Hardaway misses 2-pt jump shot from 16 ft,9,3
1,8:23.0,Defensive rebound by D. Sabonis,,9,3
1,8:14.0,T. Young misses 2-pt jump shot from 14 ft,,9,3
1,8:12.0,,Defensive rebound by Team,9,3
1,8:02.0,,M. Hezonja makes 2-pt layup from 1 ft (assist by E. Mudiay),9,5
1,7:54.0,V. Oladipo makes 2-pt dunk from 1 ft,,11,5
1,7:45.0,,M. Hezonja misses 3-pt jump shot from 26 ft,11,5
1,7:43.0,Defensive rebound by D. Collison,,11,5
1,7:39.0,D. Sabonis makes 2-pt dunk from 1 ft (assist by D. Collison),,13,5
1,7:39.0,,New York full timeout,13,5
1,7:16.0,,Turnover by E. Mudiay (bad pass; steal by B. Bogdanović),13,5
1,7:14.0,Turnover by B. Bogdanović (back court),,13,5
1,7:04.0,,T. Hardaway misses 3-pt jump shot from 27 ft,13,5
1,7:02.0,Defensive rebound by D. Sabonis,,13,5
1,6:42.0,Turnover by V. Oladipo (lost ball; steal by N. Vonleh),,13,5
1,6:40.0,,E. Mudiay misses 2-pt layup from 1 ft,13,5
1,6:39.0,,Offensive rebound by T. Hardaway,13,5
1,6:38.0,,T. Hardaway makes 2-pt layup at rim,13,7
1,6:38.0,,Shooting foul by D. Sabonis (drawn by T. Hardaway),13,7
1,6:38.0,,T. Hardaway makes free throw 1 of 1,13,8
1,6:26.0,B. Bogdanović misses 3-pt jump shot from 26 ft,,13,8
1,6:24.0,,Defensive rebound by M. Hezonja,13,8
1,6:18.0,,M. Hezonja makes 2-pt jump shot from 4 ft,13,10
1,6:01.0,T. Young makes 2-pt jump shot from 7 ft (assist by D. Collison),,15,10
1,5:46.0,,N. Vonleh makes 2-pt layup at rim (assist by M. Hezonja),15,12
1,5:36.0,D. Sabonis misses 2-pt jump shot from 12 ft,,15,12
1,5:34.0,,Defensive rebound by T. Hardaway,15,12
1,5:28.0,,M. Hezonja misses 3-pt jump shot from 25 ft,15,12
1,5:26.0,Defensive rebound by D. Collison,,15,12
1,5:23.0,B. Bogdanović makes 2-pt dunk from 1 ft (assist by D. Collison),,17,12
1,5:08.0,,Personal foul by B. Bogdanović (drawn by K. Knox),17,12
1,5:08.0,,A. Trier enters the game for K. Knox,17,12
1,4:55.0,,E. Mudiay misses 2-pt jump shot from 18 ft,17,12
1,4:53.0,Defensive rebound by T. Young,,17,12
1,4:47.0,Turnover by V. Oladipo (bad pass; steal by T. Hardaway),,17,12
1,4:44.0,,Offensive foul by A. Trier (drawn by V. Oladipo),17,12
1,4:44.0,,Turnover by A. Trier (offensive foul),17,12
1,4:44.0,,T. Burke enters the game for E. Mudiay,17,12
1,4:29.0,V. Oladipo misses 2-pt layup from 2 ft (block by A. Trier),,17,12
1,4:27.0,Offensive rebound by T. Young,,17,12
1,4:21.0,B. Bogdanović misses 2-pt layup from 2 ft,,17,12
1,4:19.0,Offensive rebound by D. Sabonis,,17,12
1,4:19.0,D. Sabonis makes 2-pt layup at rim,,19,12
1,4:04.0,,N. Vonleh makes 2-pt hook shot from 6 ft,19,14
1,3:52.0,D. Collison makes 2-pt jump shot from 5 ft (assist by V. Oladipo),,21,14
1,3:34.0,,T. Burke misses 2-pt jump shot from 13 ft,21,14
1,3:34.0,,Offensive rebound by Team,21,14
1,3:34.0,C. Joseph enters the game for B. Bogdanović,,21,14
1,3:25.0,,T. Hardaway misses 3-pt jump shot from 27 ft,21,14
1,3:23.0,Defensive rebound by V. Oladipo,,21,14
1,3:09.0,T. Young misses 2-pt hook shot from 4 ft,,21,14
1,3:07.0,Offensive rebound by D. Sabonis,,21,14
1,3:04.0,D. Sabonis misses 2-pt layup at rim (block by M. Hezonja),,21,14
1,3:04.0,,Defensive rebound by T. Hardaway,21,14
1,3:04.0,,A. Trier makes 2-pt layup from 2 ft (assist by T. Hardaway),21,16
1,3:04.0,,Shooting foul by C. Joseph (drawn by A. Trier),21,16
1,3:04.0,,D. Dotson enters the game for T. Hardaway,21,16
1,3:04.0,,A. Trier makes free throw 1 of 1,21,17
1,3:00.0,Indiana full timeout,,21,17
1,3:00.0,T. Evans enters the game for D. Collison,,21,17
1,3:00.0,T. Leaf enters the game for T. Young,,21,17
1,2:52.0,V. Oladipo misses 2-pt jump shot from 22 ft,,21,17
1,2:50.0,,Defensive rebound by M. Hezonja,21,17
1,2:33.0,,Offensive foul by N. Vonleh (drawn by C. Joseph),21,17
1,2:33.0,,Turnover by N. Vonleh (offensive foul),21,17
1,2:33.0,D. McDermott enters the game for V. Oladipo,,21,17
1,2:33.0,K. O'Quinn enters the game for D. Sabonis,,21,17
1,2:33.0,,L. Kornet enters the game for N. Vonleh,21,17
1,2:17.0,D. McDermott makes 3-pt jump shot from 22 ft (assist by C. Joseph),,24,17
1,2:03.0,,Def 3 sec tech foul by Team,24,17
1,2:03.0,,D. Dotson makes technical free throw,24,18
1,1:55.0,,M. Hezonja misses 3-pt jump shot from 27 ft,24,18
1,1:53.0,Defensive rebound by T. Evans,,24,18
1,1:44.0,T. Evans makes 3-pt jump shot from 26 ft,,27,18
1,1:38.0,,New York full timeout,27,18
1,1:28.0,,D. Dotson makes 2-pt layup from 1 ft (assist by A. Trier),27,20
1,1:06.0,T. Leaf makes 2-pt layup from 1 ft,,29,20
1,0:46.0,,T. Burke makes 2-pt layup from 1 ft,29,22
1,0:34.0,K. O'Quinn makes 2-pt jump shot from 17 ft (assist by C. Joseph),,31,22
1,0:25.0,,Personal foul by T. Leaf (drawn by M. Hezonja),31,22
1,0:19.0,,M. Hezonja misses 2-pt jump shot from 21 ft,31,22
1,0:17.0,Defensive rebound by T. Evans,,31,22
1,0:01.0,T. Evans misses 2-pt jump shot from 15 ft,,31,22
1,0:00.0,,Defensive rebound by L. Kornet,31,22
2,11:46.0,D. McDermott misses 3-pt jump shot from 25 ft,,31,22
2,11:44.0,,Defensive rebound by A. Trier,31,22
2,11:34.0,,D. Dotson misses 3-pt jump shot from 25 ft,31,22
2,11:32.0,Defensive rebound by K. O'Quinn,,31,22
2,11:20.0,T. Evans misses 3-pt jump shot from 22 ft,,31,22
2,11:18.0,Offensive rebound by T. Leaf,,31,22
2,11:18.0,T. Leaf makes 2-pt dunk at rim,,33,22
2,11:00.0,,A. Trier makes 2-pt layup from 1 ft,33,24
2,10:42.0,T. Leaf makes 2-pt hook shot from 9 ft,,35,24
2,10:29.0,,L. Kornet misses 3-pt jump shot from 26 ft,35,24
2,10:27.0,,Offensive rebound by D. Dotson,35,24
2,10:25.0,,M. Hezonja misses 2-pt jump shot from 20 ft,35,24
2,10:23.0,Defensive rebound by T. Evans,,35,24
2,10:16.0,Shooting foul by A. Trier (drawn by T. Evans),,35,24
2,10:16.0,T. Evans makes free throw 1 of 2,,36,24
2,10:16.0,,K. Knox enters the game for M. Hezonja,36,24
2,10:16.0,T. Evans makes free throw 2 of 2,,37,24
2,10:11.0,,Personal foul by K. O'Quinn (drawn by L. Kornet),37,24
2,10:03.0,,Shooting foul by C. Joseph (drawn by T. Burke),37,24
2,10:03.0,,T. Burke makes free throw 1 of 2,37,25
2,10:03.0,,T. Burke makes free throw 2 of 2,37,26
2,9:52.0,T. Evans misses 3-pt jump shot from 26 ft,,37,26
2,9:50.0,,Defensive rebound by K. Knox,37,26
2,9:45.0,,Shooting foul by T. Leaf (drawn by K. Knox),37,26
2,9:45.0,,K. Knox makes free throw 1 of 2,37,27
2,9:45.0,,K. Knox makes free throw 2 of 2,37,28
2,9:26.0,T. Evans misses 2-pt layup from 2 ft,,37,28
2,9:24.0,,Defensive rebound by D. Dotson,37,28
2,9:20.0,,T. Burke makes 2-pt layup at rim (assist by D. Dotson),37,30
2,8:59.0,T. Evans makes 2-pt jump shot from 18 ft,,39,30
2,8:42.0,,L. Kornet makes 3-pt jump shot from 29 ft (assist by K. Knox),39,33
2,8:22.0,D. McDermott makes 2-pt jump shot from 22 ft (assist by T. Evans),,41,33
2,8:10.0,,L. Kornet misses 3-pt jump shot from 28 ft,41,33
2,8:08.0,Defensive rebound by T. Evans,,41,33
2,7:59.0,Personal foul by T. Burke (drawn by K. O'Quinn),,41,33
2,7:59.0,B. Bogdanović enters the game for T. Leaf,,41,33
2,7:59.0,,T. Hardaway enters the game for L. Kornet,41,33
2,7:59.0,,N. Vonleh enters the game for A. Trier,41,33
2,7:55.0,Shooting foul by D. Dotson (drawn by D. McDermott),,41,33
2,7:55.0,D. McDermott makes free throw 1 of 2,,42,33
2,7:55.0,D. McDermott makes free throw 2 of 2,,43,33
2,7:46.0,,T. Burke makes 2-pt jump shot from 17 ft,43,35
2,7:32.0,Turnover by T. Evans (traveling),,43,35
2,7:23.0,,N. Vonleh makes 3-pt jump shot from 26 ft (assist by T. Burke),43,38
2,7:16.0,Indiana full timeout,,43,38
2,7:16.0,V. Oladipo enters the game for T. Evans,,43,38
2,7:16.0,D. Sabonis enters the game for D. McDermott,,43,38
