QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,PORTLAND_ACTION,CHARLOTTE_SCORE,PORTLAND_SCORE
1,11:43.0,,D. Lillard makes 2-pt jump shot from 19 ft (assist by J. Nurkić),0,2
1,11:13.0,N. Batum misses 3-pt jump shot from 25 ft,,0,2
1,11:11.0,,Defensive rebound by J. Nurkić,0,2
1,11:07.0,,Shooting foul by N. Batum (drawn by D. Lillard),0,2
1,11:07.0,,D. Lillard makes free throw 1 of 2,0,3
1,11:07.0,,D. Lillard makes free throw 2 of 2,0,4
1,10:54.0,M. Williams makes 3-pt jump shot from 23 ft (assist by K. Walker),,3,4
1,10:28.0,,A. Aminu misses 2-pt layup from 2 ft,3,4
1,10:26.0,Defensive rebound by M. Williams,,3,4
1,10:10.0,Turnover by K. Walker (lost ball; steal by A. Aminu),,3,4
1,10:07.0,,A. Aminu makes 2-pt dunk at rim,3,6
1,9:54.0,M. Williams misses 2-pt hook shot from 3 ft (block by D. Lillard),,3,6
1,9:52.0,,Defensive rebound by C. McCollum,3,6
1,9:49.0,,C. McCollum misses 2-pt jump shot from 14 ft,3,6
1,9:45.0,Defensive rebound by B. Biyombo,,3,6
1,9:41.0,Personal foul by C. McCollum (drawn by K. Walker),,3,6
1,9:34.0,J. Lamb misses 2-pt jump shot from 5 ft,,3,6
1,9:33.0,,Defensive rebound by J. Nurkić,3,6
1,9:28.0,,D. Lillard misses 3-pt jump shot from 28 ft,3,6
1,9:26.0,,Offensive rebound by J. Nurkić,3,6
1,9:25.0,,J. Nurkić misses 2-pt layup from 2 ft,3,6
1,9:25.0,Defensive rebound by M. Williams,,3,6
1,9:16.0,J. Lamb misses 2-pt jump shot from 4 ft,,3,6
1,9:14.0,,Defensive rebound by J. Nurkić,3,6
1,9:07.0,,J. Nurkić makes 2-pt hook shot from 3 ft (assist by D. Lillard),3,8
1,8:52.0,K. Walker misses 2-pt jump shot from 17 ft,,3,8
1,8:51.0,,Defensive rebound by J. Layman,3,8
1,8:43.0,,D. Lillard makes 2-pt layup from 1 ft,3,10
1,8:23.0,B. Biyombo misses 2-pt layup from 3 ft,,3,10
1,8:20.0,,Defensive rebound by C. McCollum,3,10
1,8:17.0,,C. McCollum makes 3-pt jump shot from 25 ft,3,13
1,8:17.0,Charlotte full timeout,,3,13
1,8:04.0,J. Lamb makes 2-pt layup from 1 ft (assist by B. Biyombo),,5,13
1,7:43.0,,C. McCollum misses 2-pt jump shot from 19 ft,5,13
1,7:42.0,Defensive rebound by N. Batum,,5,13
1,7:34.0,B. Biyombo makes 2-pt dunk from 1 ft (assist by N. Batum),,7,13
1,7:22.0,,J. Layman misses 2-pt jump shot from 22 ft,7,13
1,7:20.0,Defensive rebound by B. Biyombo,,7,13
1,7:13.0,B. Biyombo misses 2-pt layup from 1 ft,,7,13
1,7:12.0,,Defensive rebound by A. Aminu,7,13
1,7:03.0,,J. Layman misses 2-pt layup at rim,7,13
1,7:01.0,Defensive rebound by J. Lamb,,7,13
1,7:01.0,Personal foul by J. Layman (drawn by J. Lamb),,7,13
1,6:46.0,B. Biyombo misses 2-pt hook shot from 13 ft (block by J. Nurkić),,7,13
1,6:44.0,,Defensive rebound by A. Aminu,7,13
1,6:40.0,,C. McCollum makes 3-pt jump shot from 25 ft (assist by A. Aminu),7,16
1,6:24.0,K. Walker makes 3-pt jump shot from 24 ft,,10,16
1,6:12.0,,C. McCollum makes 2-pt jump shot from 10 ft (assist by A. Aminu),10,18
1,5:55.0,B. Biyombo makes 2-pt jump shot from 15 ft (assist by K. Walker),,12,18
1,5:42.0,,D. Lillard misses 3-pt jump shot from 26 ft,12,18
1,5:40.0,Defensive rebound by B. Biyombo,,12,18
1,5:30.0,N. Batum misses 2-pt jump shot from 13 ft,,12,18
1,5:29.0,,Defensive rebound by A. Aminu,12,18
1,5:21.0,,C. McCollum makes 2-pt jump shot from 17 ft (assist by J. Nurkić),12,20
1,5:08.0,J. Lamb makes 2-pt layup from 1 ft (assist by N. Batum),,14,20
1,4:57.0,,C. McCollum misses 3-pt jump shot from 25 ft,14,20
1,4:55.0,,Offensive rebound by C. McCollum,14,20
1,4:53.0,,C. McCollum makes 2-pt jump shot from 5 ft,14,22
1,4:53.0,Charlotte full timeout,,14,22
1,4:53.0,M. Bridges enters the game for B. Biyombo,,14,22
1,4:53.0,W. Hernangómez enters the game for J. Lamb,,14,22
1,4:53.0,M. Monk enters the game for M. Williams,,14,22
1,4:53.0,,E. Turner enters the game for J. Layman,14,22
1,4:38.0,K. Walker misses 2-pt layup from 2 ft (block by J. Nurkić),,14,22
1,4:38.0,Offensive rebound by Team,,14,22
1,4:31.0,K. Walker misses 2-pt jump shot from 21 ft,,14,22
1,4:29.0,,Defensive rebound by J. Nurkić,14,22
1,4:19.0,,D. Lillard makes 2-pt layup from 1 ft (assist by E. Turner),14,24
1,4:01.0,N. Batum makes 2-pt jump shot from 12 ft,,16,24
1,3:41.0,,J. Nurkić makes 2-pt layup from 1 ft (assist by C. McCollum),16,26
1,3:41.0,,Shooting foul by W. Hernangómez (drawn by J. Nurkić),16,26
1,3:41.0,,J. Nurkić makes free throw 1 of 1,16,27
1,3:24.0,M. Bridges misses 2-pt dunk from 2 ft (block by J. Nurkić),,16,27
1,3:20.0,Offensive rebound by W. Hernangómez,,16,27
1,3:16.0,K. Walker makes 2-pt jump shot from 16 ft,,18,27
1,3:00.0,,C. McCollum makes 2-pt jump shot from 17 ft,18,29
1,2:46.0,K. Walker misses 3-pt jump shot from 25 ft,,18,29
1,2:46.0,,Defensive rebound by Team,18,29
1,2:32.0,,C. McCollum makes 2-pt jump shot from 5 ft,18,31
1,2:18.0,N. Batum makes 3-pt jump shot from 25 ft (assist by W. Hernangómez),,21,31
1,2:05.0,,C. McCollum misses 3-pt jump shot from 27 ft,21,31
