QUARTER,TIME_REMAINING,DETROIT_ACTION,LA CLIPPERS_ACTION,DETROIT_SCORE,LA CLIPPERS_SCORE
1,11:48.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 12 ft,0,0
1,11:45.0,Defensive rebound by A. Drummond,,0,0
1,11:27.0,R. Jackson makes 3-pt jump shot from 23 ft (assist by R. Bullock),,3,0
1,11:14.0,,T. Harris misses 2-pt jump shot from 19 ft,3,0
1,11:12.0,,Offensive rebound by M. Gortat,3,0
1,11:06.0,,A. Bradley makes 3-pt jump shot from 22 ft (assist by S. Gilgeous-Alexander),3,3
1,10:37.0,B. Brown misses 2-pt jump shot from 19 ft,,3,3
1,10:33.0,,Defensive rebound by T. Harris,3,3
1,10:26.0,,S. Gilgeous-Alexander makes 2-pt layup at rim (assist by T. Harris),3,5
1,10:10.0,B. Griffin makes 3-pt jump shot from 26 ft (assist by R. Bullock),,6,5
1,9:53.0,,Turnover by D. Gallinari (traveling),6,5
1,9:39.0,R. Bullock makes 3-pt jump shot from 25 ft (assist by B. Brown),,9,5
1,9:25.0,,Turnover by S. Gilgeous-Alexander (bad pass; steal by B. Brown),9,5
1,9:18.0,B. Griffin misses 3-pt jump shot from 27 ft,,9,5
1,9:15.0,,Defensive rebound by D. Gallinari,9,5
1,9:09.0,,T. Harris makes 2-pt jump shot from 7 ft (assist by D. Gallinari),9,7
1,8:56.0,R. Jackson makes 2-pt jump shot from 18 ft,,11,7
1,8:46.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 14 ft,11,7
1,8:46.0,Defensive rebound by A. Drummond,,11,7
1,8:36.0,R. Bullock misses 2-pt layup from 2 ft,,11,7
1,8:33.0,Offensive rebound by R. Jackson,,11,7
1,8:28.0,Turnover by B. Griffin (bad pass),,11,7
1,8:15.0,,Shooting foul by B. Griffin (drawn by D. Gallinari),11,7
1,8:15.0,,D. Gallinari makes free throw 1 of 2,11,8
1,8:15.0,,D. Gallinari makes free throw 2 of 2,11,9
1,7:59.0,R. Bullock makes 3-pt jump shot from 25 ft,,14,9
1,7:42.0,,D. Gallinari makes 2-pt layup from 2 ft,14,11
1,7:31.0,Shooting foul by M. Gortat (drawn by B. Griffin),,14,11
1,7:31.0,B. Griffin makes free throw 1 of 2,,15,11
1,7:31.0,B. Griffin makes free throw 2 of 2,,16,11
1,7:16.0,,M. Gortat makes 2-pt jump shot from 11 ft (assist by S. Gilgeous-Alexander),16,13
1,6:58.0,Turnover by A. Drummond (bad pass),,16,13
1,6:58.0,Loose ball foul by B. Brown (drawn by D. Gallinari),,16,13
1,6:58.0,,LA Clippers full timeout,16,13
1,6:49.0,,S. Gilgeous-Alexander makes 2-pt layup from 2 ft,16,15
1,6:44.0,Personal foul by S. Gilgeous-Alexander (drawn by R. Jackson),,16,15
1,6:32.0,B. Griffin makes 2-pt layup from 1 ft,,18,15
1,6:14.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 5 ft (block by B. Brown),18,15
1,6:11.0,Defensive rebound by R. Jackson,,18,15
1,5:51.0,R. Jackson misses 2-pt jump shot from 19 ft,,18,15
1,5:49.0,Offensive rebound by A. Drummond,,18,15
1,5:48.0,A. Drummond makes 2-pt layup from 3 ft,,20,15
1,5:26.0,,T. Harris misses 2-pt jump shot from 13 ft,20,15
1,5:22.0,,Offensive rebound by M. Gortat,20,15
1,5:22.0,,M. Gortat misses 2-pt layup from 1 ft,20,15
1,5:21.0,Defensive rebound by B. Brown,,20,15
1,5:17.0,B. Griffin misses 3-pt jump shot from 25 ft,,20,15
1,5:14.0,,Defensive rebound by T. Harris,20,15
1,5:08.0,,Shooting foul by B. Brown (drawn by D. Gallinari),20,15
1,5:08.0,,D. Gallinari makes free throw 1 of 2,20,16
1,5:08.0,L. Galloway enters the game for B. Brown,,20,16
1,5:08.0,,P. Beverley enters the game for S. Gilgeous-Alexander,20,16
1,5:08.0,,D. Gallinari makes free throw 2 of 2,20,17
1,4:47.0,Shooting foul by M. Gortat (drawn by B. Griffin),,20,17
1,4:47.0,B. Griffin makes free throw 1 of 2,,21,17
1,4:47.0,,M. Harrell enters the game for M. Gortat,21,17
1,4:47.0,B. Griffin makes free throw 2 of 2,,22,17
1,4:35.0,,M. Harrell misses 2-pt layup from 1 ft,22,17
1,4:33.0,Defensive rebound by A. Drummond,,22,17
1,4:29.0,B. Griffin makes 2-pt layup from 1 ft,,24,17
1,4:29.0,Violation by Team (delay of game),,24,17
1,4:14.0,,D. Gallinari makes 3-pt jump shot from 26 ft (assist by A. Bradley),24,20
