QUARTER,TIME_REMAINING,CHICAGO_ACTION,UTAH_ACTION,CHICAGO_SCORE,UTAH_SCORE
1,11:47.0,,D. Favors makes 2-pt jump shot from 20 ft (assist by J. Ingles),0,2
1,11:24.0,Z. LaVine misses 2-pt jump shot from 20 ft,,0,2
1,11:22.0,,Defensive rebound by D. Favors,0,2
1,11:10.0,,Turnover by R. Gobert (lost ball; steal by C. Hutchison),0,2
1,11:06.0,Z. LaVine makes 2-pt layup from 2 ft (assist by C. Hutchison),,2,2
1,10:47.0,,Shooting foul by Z. LaVine (drawn by R. Gobert),2,2
1,10:47.0,,R. Gobert makes free throw 1 of 2,2,3
1,10:47.0,,R. Gobert misses free throw 2 of 2,2,3
1,10:45.0,Defensive rebound by C. Hutchison,,2,3
1,10:34.0,C. Hutchison misses 3-pt jump shot from 25 ft,,2,3
1,10:30.0,,Defensive rebound by R. O'Neale,2,3
1,10:23.0,,J. Ingles makes 3-pt jump shot from 25 ft (assist by R. Gobert),2,6
1,10:05.0,L. Markkanen makes 2-pt jump shot from 7 ft (assist by K. Dunn),,4,6
1,9:48.0,,D. Favors misses 2-pt layup from 3 ft (block by Z. LaVine),4,6
1,9:46.0,,Offensive rebound by D. Favors,4,6
1,9:43.0,,R. O'Neale misses 3-pt jump shot from 24 ft,4,6
1,9:41.0,Defensive rebound by Z. LaVine,,4,6
1,9:22.0,C. Hutchison misses 2-pt jump shot from 9 ft (block by D. Mitchell),,4,6
1,9:22.0,Offensive rebound by C. Hutchison,,4,6
1,9:22.0,Turnover by Team (shot clock),,4,6
1,9:11.0,,J. Ingles makes 3-pt jump shot from 25 ft (assist by R. Gobert),4,9
1,8:57.0,K. Dunn makes 2-pt jump shot from 10 ft,,6,9
1,8:45.0,,D. Mitchell misses 3-pt jump shot from 25 ft,6,9
1,8:42.0,Defensive rebound by L. Markkanen,,6,9
1,8:38.0,L. Markkanen misses 3-pt jump shot from 27 ft,,6,9
1,8:35.0,,Defensive rebound by D. Favors,6,9
1,8:21.0,,Personal foul by Z. LaVine (drawn by R. O'Neale),6,9
1,8:14.0,,Turnover by D. Mitchell (bad pass; steal by Z. LaVine),6,9
1,8:06.0,Z. LaVine misses 2-pt layup from 3 ft,,6,9
1,8:04.0,,Defensive rebound by R. Gobert,6,9
1,7:50.0,,Turnover by R. Gobert (lost ball; steal by K. Dunn),6,9
1,7:50.0,Personal foul by R. O'Neale (drawn by L. Markkanen),,6,9
1,7:30.0,C. Hutchison makes 2-pt dunk from 3 ft (assist by W. Carter),,8,9
1,7:10.0,,J. Ingles makes 3-pt jump shot from 25 ft (assist by R. O'Neale),8,12
1,6:54.0,Turnover by Z. LaVine (bad pass; steal by R. O'Neale),,8,12
1,6:49.0,,D. Favors misses 2-pt layup from 1 ft,8,12
1,6:49.0,,Offensive rebound by R. Gobert,8,12
1,6:49.0,,R. Gobert makes 2-pt dunk at rim,8,14
1,6:49.0,Chicago full timeout,,8,14
1,6:49.0,R. Arcidiacono enters the game for Z. LaVine,,8,14
1,6:49.0,,J. Crowder enters the game for D. Favors,8,14
1,6:49.0,,K. Korver enters the game for J. Ingles,8,14
1,6:39.0,L. Markkanen makes 2-pt jump shot from 7 ft (assist by C. Hutchison),,10,14
1,6:24.0,,K. Korver misses 2-pt jump shot from 23 ft,10,14
1,6:20.0,Defensive rebound by C. Hutchison,,10,14
1,6:12.0,K. Dunn misses 3-pt jump shot from 25 ft,,10,14
1,6:08.0,,Defensive rebound by R. O'Neale,10,14
1,5:57.0,,D. Mitchell misses 2-pt jump shot from 7 ft (block by K. Dunn),10,14
1,5:52.0,Defensive rebound by W. Carter,,10,14
1,5:50.0,K. Dunn misses 2-pt jump shot from 11 ft,,10,14
1,5:50.0,,Defensive rebound by R. O'Neale,10,14
1,5:39.0,,J. Crowder misses 2-pt layup from 2 ft (block by L. Markkanen),10,14
1,5:39.0,,Offensive rebound by Team,10,14
1,5:28.0,,D. Mitchell misses 3-pt jump shot from 25 ft,10,14
1,5:23.0,Defensive rebound by C. Hutchison,,10,14
1,5:19.0,W. Carter makes 2-pt jump shot from 15 ft (assist by K. Dunn),,12,14
1,5:05.0,,Personal foul by K. Dunn (drawn by D. Mitchell),12,14
1,4:55.0,,J. Crowder misses 3-pt jump shot from 25 ft,12,14
1,4:51.0,Defensive rebound by L. Markkanen,,12,14
1,4:44.0,R. Arcidiacono misses 3-pt jump shot from 25 ft,,12,14
1,4:41.0,,Defensive rebound by R. O'Neale,12,14
1,4:36.0,,R. O'Neale misses 2-pt dunk from 3 ft,12,14
1,4:31.0,Defensive rebound by K. Dunn,,12,14
1,4:21.0,L. Markkanen misses 2-pt layup from 3 ft,,12,14
1,4:17.0,,Defensive rebound by R. Gobert,12,14
1,4:13.0,,J. Crowder makes 3-pt jump shot from 24 ft (assist by D. Mitchell),12,17
1,4:13.0,Chicago full timeout,,12,17
1,4:13.0,J. Parker enters the game for C. Hutchison,,12,17
1,4:13.0,W. Selden enters the game for L. Markkanen,,12,17
1,4:05.0,Shooting foul by R. Gobert (drawn by W. Carter),,12,17
1,4:05.0,W. Carter makes free throw 1 of 2,,13,17
1,4:05.0,W. Carter misses free throw 2 of 2,,13,17
1,4:03.0,,Defensive rebound by K. Korver,13,17
1,3:46.0,,J. Crowder misses 3-pt jump shot from 26 ft,13,17
1,3:44.0,Defensive rebound by R. Arcidiacono,,13,17
1,3:39.0,K. Dunn misses 2-pt layup from 2 ft,,13,17
1,3:37.0,,Defensive rebound by R. Gobert,13,17
