QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,DALLAS_ACTION,GOLDEN STATE_SCORE,DALLAS_SCORE
1,11:44.0,D. Green misses 3-pt jump shot from 26 ft,,0,0
1,11:42.0,,Defensive rebound by D. Jordan,0,0
1,11:32.0,,Turnover by L. Dončić (bad pass; steal by K. Looney),0,0
1,11:22.0,K. Durant makes 2-pt jump shot from 9 ft,,2,0
1,11:06.0,,M. Kleber misses 2-pt jump shot from 7 ft,2,0
1,11:04.0,Defensive rebound by K. Looney,,2,0
1,11:02.0,Turnover by D. Green (traveling),,2,0
1,10:52.0,,L. Dončić misses 2-pt jump shot from 8 ft,2,0
1,10:50.0,Defensive rebound by K. Looney,,2,0
1,10:35.0,S. Curry makes 2-pt layup from 1 ft,,4,0
1,10:16.0,,W. Matthews makes 3-pt jump shot from 28 ft (assist by D. Jordan),4,3
1,9:59.0,K. Thompson misses 3-pt jump shot from 24 ft,,4,3
1,9:57.0,,Defensive rebound by D. Jordan,4,3
1,9:43.0,,M. Kleber misses 3-pt jump shot from 26 ft (block by K. Durant),4,3
1,9:41.0,Defensive rebound by K. Durant,,4,3
1,9:40.0,K. Durant makes 2-pt dunk at rim,,6,3
1,9:23.0,,L. Dončić misses 2-pt jump shot from 8 ft,6,3
1,9:22.0,Defensive rebound by K. Looney,,6,3
1,9:16.0,K. Durant makes 2-pt jump shot from 14 ft (assist by D. Green),,8,3
1,9:15.0,,Dallas full timeout,8,3
1,9:05.0,,H. Barnes misses 3-pt jump shot from 25 ft,8,3
1,9:02.0,Defensive rebound by K. Durant,,8,3
1,8:56.0,K. Thompson misses 3-pt jump shot from 27 ft,,8,3
1,8:53.0,,Defensive rebound by H. Barnes,8,3
1,8:38.0,,W. Matthews makes 2-pt jump shot from 11 ft,8,5
1,8:21.0,K. Durant misses 2-pt jump shot from 17 ft,,8,5
1,8:18.0,,Defensive rebound by L. Dončić,8,5
1,8:05.0,,D. Jordan makes 2-pt dunk from 1 ft (assist by W. Matthews),8,7
1,7:52.0,S. Curry makes 3-pt jump shot from 26 ft (assist by D. Green),,11,7
1,7:31.0,,H. Barnes misses 2-pt jump shot from 6 ft,11,7
1,7:29.0,Defensive rebound by D. Green,,11,7
1,7:22.0,S. Curry misses 2-pt jump shot from 21 ft,,11,7
1,7:19.0,,Defensive rebound by M. Kleber,11,7
1,7:15.0,,L. Dončić misses 2-pt layup from 1 ft,11,7
1,7:13.0,Defensive rebound by K. Durant,,11,7
1,7:09.0,K. Thompson misses 2-pt layup from 1 ft,,11,7
1,7:06.0,Offensive rebound by S. Curry,,11,7
1,7:06.0,S. Curry misses 2-pt layup at rim,,11,7
1,7:05.0,,Defensive rebound by H. Barnes,11,7
1,7:01.0,,L. Dončić makes 3-pt jump shot from 22 ft (assist by W. Matthews),11,10
1,6:37.0,S. Curry makes 3-pt jump shot from 22 ft (assist by D. Green),,14,10
1,6:18.0,,Turnover by L. Dončić (bad pass; steal by K. Looney),14,10
1,6:16.0,Personal take foul by M. Kleber (drawn by K. Durant),,14,10
1,6:16.0,A. Iguodala enters the game for D. Green,,14,10
1,6:16.0,,J. Brunson enters the game for L. Dončić,14,10
1,6:16.0,,D. Finney-Smith enters the game for M. Kleber,14,10
1,6:03.0,K. Durant misses 2-pt jump shot from 7 ft,,14,10
1,6:01.0,Offensive rebound by K. Looney,,14,10
1,5:50.0,S. Curry makes 2-pt layup from 2 ft,,16,10
1,5:39.0,,H. Barnes makes 3-pt jump shot from 22 ft (assist by D. Jordan),16,13
1,5:21.0,K. Looney misses 2-pt jump shot from 4 ft,,16,13
1,5:20.0,,Defensive rebound by D. Finney-Smith,16,13
1,5:10.0,,W. Matthews misses 3-pt jump shot from 25 ft,16,13
1,5:07.0,,Offensive rebound by W. Matthews,16,13
1,5:06.0,,D. Jordan makes 2-pt dunk at rim (assist by W. Matthews),16,15
1,5:06.0,,Shooting foul by K. Looney (drawn by D. Jordan),16,15
1,5:06.0,,D. Jordan misses free throw 1 of 1,16,15
1,5:03.0,,Offensive rebound by D. Finney-Smith,16,15
1,4:54.0,,W. Matthews misses 3-pt jump shot from 26 ft,16,15
1,4:52.0,,Offensive rebound by J. Brunson,16,15
1,4:44.0,,D. Finney-Smith makes 2-pt layup from 1 ft (assist by W. Matthews),16,17
1,4:34.0,Golden State full timeout,,16,17
1,4:34.0,D. Green enters the game for K. Looney,,16,17
1,4:20.0,K. Thompson misses 2-pt jump shot from 12 ft,,16,17
1,4:18.0,,Defensive rebound by D. Jordan,16,17
1,4:00.0,,J. Brunson misses 2-pt layup from 2 ft,16,17
1,3:57.0,,Offensive rebound by D. Jordan,16,17
1,3:57.0,,D. Jordan makes 2-pt dunk from 1 ft,16,19
1,3:48.0,S. Curry misses 3-pt jump shot from 25 ft,,16,19
1,3:45.0,,Defensive rebound by W. Matthews,16,19
1,3:42.0,,W. Matthews misses 2-pt jump shot from 5 ft (block by S. Curry),16,19
1,3:42.0,,Offensive rebound by Team,16,19
1,3:42.0,A. McKinnie enters the game for K. Thompson,,16,19
1,3:39.0,,W. Matthews makes 3-pt jump shot from 26 ft (assist by D. Finney-Smith),16,22
1,3:29.0,S. Curry makes 3-pt jump shot from 25 ft,,19,22
1,3:07.0,,H. Barnes misses 2-pt jump shot from 12 ft,19,22
1,3:04.0,,Offensive rebound by D. Jordan,19,22
1,3:04.0,,D. Jordan misses 2-pt layup from 2 ft,19,22
1,3:03.0,,Offensive rebound by D. Jordan,19,22
1,3:03.0,,D. Jordan misses 2-pt layup from 1 ft,19,22
1,3:01.0,Defensive rebound by A. McKinnie,,19,22
1,2:56.0,Turnover by D. Green (out of bounds lost ball),,19,22
1,2:49.0,,Personal foul by D. Green (drawn by D. Jordan),19,22
1,2:49.0,,L. Dončić enters the game for H. Barnes,19,22
1,2:49.0,,D. Nowitzki enters the game for D. Jordan,19,22
1,2:49.0,,D. Powell enters the game for W. Matthews,19,22
1,2:35.0,,J. Brunson misses 3-pt jump shot from 24 ft,19,22
1,2:33.0,,Offensive rebound by D. Powell,19,22
1,2:33.0,,Personal foul by D. Green (drawn by D. Powell),19,22
1,2:33.0,J. Bell enters the game for D. Green,,19,22
1,2:20.0,,L. Dončić makes 3-pt jump shot from 25 ft (assist by D. Nowitzki),19,25
1,2:07.0,S. Curry makes 3-pt jump shot from 25 ft,,22,25
1,1:39.0,,D. Finney-Smith misses 2-pt layup from 3 ft (block by A. McKinnie),22,25
1,1:37.0,Defensive rebound by K. Durant,,22,25
1,1:34.0,S. Curry misses 3-pt jump shot from 26 ft,,22,25
1,1:31.0,,Defensive rebound by D. Nowitzki,22,25
1,1:13.0,,J. Brunson misses 2-pt layup from 1 ft (block by J. Bell),22,25
1,1:10.0,,Offensive rebound by D. Powell,22,25
1,1:09.0,,D. Powell makes 2-pt layup from 1 ft,22,27
1,0:59.0,A. McKinnie misses 3-pt jump shot from 22 ft,,22,27
1,0:57.0,,Defensive rebound by D. Nowitzki,22,27
1,0:44.0,,L. Dončić makes 2-pt jump shot from 2 ft (assist by D. Finney-Smith),22,29
1,0:36.0,Shooting foul by D. Powell (drawn by K. Durant),,22,29
1,0:36.0,K. Durant misses free throw 1 of 2,,22,29
1,0:36.0,Offensive rebound by Team,,22,29
1,0:36.0,J. Jerebko enters the game for S. Curry,,22,29
1,0:36.0,K. Durant makes free throw 2 of 2,,23,29
1,0:19.0,,J. Brunson misses 2-pt layup from 1 ft (block by J. Bell),23,29
1,0:16.0,Defensive rebound by K. Durant,,23,29
1,0:01.0,K. Durant makes 2-pt jump shot from 4 ft,,25,29
1,0:00.0,,L. Dončić misses 3-pt jump shot from 78 ft,25,29
1,0:00.0,,Offensive rebound by Team,25,29
2,11:42.0,,D. Finney-Smith misses 3-pt jump shot from 26 ft,25,29
2,11:38.0,Defensive rebound by J. Jerebko,,25,29
2,11:19.0,Turnover by J. Jerebko (lost ball; steal by L. Dončić),,25,29
2,11:13.0,,D. Powell misses 2-pt layup from 1 ft,25,29
2,11:09.0,,Offensive rebound by D. Finney-Smith,25,29
2,11:09.0,,D. Finney-Smith misses 2-pt layup from 1 ft,25,29
2,11:08.0,Defensive rebound by J. Jerebko,,25,29
2,10:57.0,D. Green misses 3-pt jump shot from 25 ft,,25,29
2,10:55.0,,Defensive rebound by D. Powell,25,29
2,10:48.0,,D. Powell makes 2-pt dunk from 1 ft (assist by L. Dončić),25,31
2,10:30.0,D. Green makes 2-pt layup from 1 ft (assist by K. Thompson),,27,31
2,10:16.0,,D. Nowitzki misses 3-pt jump shot from 26 ft,27,31
2,10:13.0,Defensive rebound by A. Iguodala,,27,31
2,10:10.0,K. Thompson misses 3-pt jump shot from 22 ft,,27,31
2,10:07.0,Offensive rebound by J. Jerebko,,27,31
2,10:04.0,J. Jerebko misses 2-pt jump shot from 11 ft,,27,31
2,10:04.0,Offensive rebound by J. Jerebko,,27,31
2,10:01.0,K. Thompson misses 3-pt jump shot from 24 ft,,27,31
2,9:59.0,,Defensive rebound by L. Dončić,27,31
2,9:53.0,,L. Dončić makes 3-pt jump shot from 25 ft,27,34
2,9:39.0,K. Thompson makes 2-pt layup from 1 ft,,29,34
2,9:38.0,,Dallas full timeout,29,34
2,9:38.0,,D. Harris enters the game for J. Brunson,29,34
2,9:21.0,,D. Nowitzki makes 3-pt jump shot from 26 ft (assist by D. Powell),29,37
2,9:06.0,K. Thompson misses 3-pt jump shot from 25 ft,,29,37
2,9:04.0,Offensive rebound by J. Jerebko,,29,37
2,8:59.0,J. Jerebko makes 3-pt jump shot from 22 ft (assist by D. Green),,32,37
2,8:41.0,,D. Nowitzki misses 2-pt jump shot from 22 ft,32,37
2,8:40.0,Defensive rebound by Team,,32,37
2,8:40.0,K. Looney enters the game for D. Green,,32,37
2,8:40.0,,M. Kleber enters the game for D. Finney-Smith,32,37
2,8:25.0,A. Iguodala makes 3-pt jump shot from 24 ft (assist by S. Livingston),,35,37
2,8:04.0,,L. Dončić misses 2-pt jump shot from 12 ft,35,37
2,7:59.0,Defensive rebound by J. Jerebko,,35,37
2,7:55.0,K. Thompson makes 2-pt jump shot from 18 ft,,37,37
2,7:44.0,,Personal foul by S. Livingston (drawn by D. Harris),37,37
2,7:44.0,A. McKinnie enters the game for A. Iguodala,,37,37
2,7:44.0,,H. Barnes enters the game for L. Dončić,37,37
2,7:44.0,,J. Brunson enters the game for D. Nowitzki,37,37
2,7:34.0,,J. Brunson makes 3-pt jump shot from 25 ft,37,40
2,7:18.0,K. Thompson misses 3-pt jump shot from 25 ft,,37,40
2,7:16.0,,Defensive rebound by J. Brunson,37,40
2,7:09.0,,D. Powell makes 2-pt layup from 1 ft (assist by D. Harris),37,42
2,7:09.0,,Shooting foul by K. Looney (drawn by D. Powell),37,42
2,7:09.0,S. Curry enters the game for J. Jerebko,,37,42
2,7:09.0,,D. Powell makes free throw 1 of 1,37,43
2,6:56.0,A. McKinnie makes 3-pt jump shot from 23 ft (assist by S. Curry),,40,43
2,6:46.0,,Shooting foul by K. Looney (drawn by D. Powell),40,43
2,6:46.0,,D. Powell makes free throw 1 of 2,40,44
2,6:46.0,K. Durant enters the game for K. Looney,,40,44
2,6:46.0,D. Green enters the game for K. Thompson,,40,44
2,6:46.0,,D. Powell misses free throw 2 of 2,40,44
2,6:43.0,Defensive rebound by A. McKinnie,,40,44
2,6:34.0,S. Livingston makes 2-pt jump shot from 12 ft (assist by S. Curry),,42,44
2,6:18.0,,D. Powell misses 2-pt jump shot from 15 ft,42,44
2,6:14.0,Defensive rebound by D. Green,,42,44
2,6:07.0,K. Durant misses 2-pt jump shot from 9 ft (block by D. Harris),,42,44
2,6:06.0,Offensive rebound by Team,,42,44
2,6:06.0,,D. Jordan enters the game for D. Harris,42,44
2,6:06.0,,W. Matthews enters the game for D. Powell,42,44
2,6:02.0,Personal foul by J. Brunson (drawn by D. Green),,42,44
2,5:55.0,S. Curry misses 2-pt jump shot from 22 ft,,42,44
2,5:53.0,Offensive rebound by D. Green,,42,44
2,5:51.0,D. Green misses 2-pt layup from 1 ft,,42,44
2,5:48.0,Offensive rebound by S. Curry,,42,44
2,5:48.0,S. Curry misses 3-pt jump shot from 25 ft,,42,44
2,5:44.0,,Defensive rebound by M. Kleber,42,44
2,5:22.0,,W. Matthews misses 2-pt jump shot from 20 ft,42,44
2,5:20.0,,Offensive rebound by D. Jordan,42,44
2,5:18.0,,W. Matthews misses 3-pt jump shot from 26 ft,42,44
2,5:14.0,Defensive rebound by K. Durant,,42,44
2,5:10.0,A. McKinnie makes 2-pt layup from 2 ft (assist by K. Durant),,44,44
2,5:02.0,,Dallas full timeout,44,44
2,5:02.0,A. Iguodala enters the game for S. Livingston,,44,44
2,4:52.0,,M. Kleber makes 2-pt jump shot from 23 ft (assist by W. Matthews),44,46
2,4:34.0,Turnover by D. Green (bad pass; steal by M. Kleber),,44,46
2,4:21.0,,Turnover by W. Matthews (bad pass; steal by A. Iguodala),44,46
2,4:17.0,S. Curry makes 2-pt jump shot from 3 ft (assist by A. Iguodala),,46,46
2,4:05.0,,J. Brunson makes 3-pt jump shot from 25 ft,46,49
2,3:52.0,K. Durant makes 3-pt jump shot from 25 ft (assist by S. Curry),,49,49
2,3:31.0,,H. Barnes misses 2-pt jump shot from 17 ft,49,49
2,3:28.0,Defensive rebound by S. Curry,,49,49
2,3:20.0,K. Durant makes 3-pt jump shot from 23 ft (assist by A. Iguodala),,52,49
2,2:56.0,,Turnover by W. Matthews (bad pass; steal by S. Curry),52,49
2,2:52.0,D. Green makes 2-pt dunk from 1 ft (assist by S. Curry),,54,49
2,2:51.0,,Dallas full timeout,54,49
2,2:51.0,K. Thompson enters the game for A. McKinnie,,54,49
2,2:51.0,,L. Dončić enters the game for W. Matthews,54,49
2,2:36.0,,Shooting foul by K. Thompson (drawn by L. Dončić),54,49
2,2:36.0,,L. Dončić misses free throw 1 of 2,54,49
2,2:36.0,,Offensive rebound by Team,54,49
2,2:36.0,,L. Dončić makes free throw 2 of 2,54,50
2,2:18.0,K. Durant misses 2-pt jump shot from 14 ft,,54,50
2,2:16.0,,Defensive rebound by D. Jordan,54,50
2,2:00.0,,J. Brunson makes 2-pt jump shot from 9 ft,54,52
2,1:47.0,Personal foul by H. Barnes (drawn by A. Iguodala),,54,52
2,1:40.0,S. Curry makes 3-pt jump shot from 25 ft (assist by A. Iguodala),,57,52
2,1:21.0,,H. Barnes misses 3-pt jump shot from 25 ft,57,52
2,1:18.0,,Offensive rebound by M. Kleber,57,52
2,1:18.0,,M. Kleber misses 2-pt layup from 1 ft (block by K. Durant),57,52
2,1:18.0,Defensive rebound by D. Green,,57,52
2,1:07.0,Shooting foul by M. Kleber (drawn by K. Durant),,57,52
