QUARTER,TIME_REMAINING,TORONTO_ACTION,INDIANA_ACTION,TORONTO_SCORE,INDIANA_SCORE
1,11:39.0,,T. Young misses 2-pt layup at rim (block by S. Ibaka),0,0
1,11:38.0,,Offensive rebound by Team,0,0
1,11:34.0,,M. Turner makes 2-pt dunk from 1 ft (assist by B. Bogdanović),0,2
1,11:15.0,,Violation by Team (kicked ball),0,2
1,11:10.0,D. Green makes 2-pt layup from 1 ft (assist by K. Lowry),,2,2
1,10:52.0,,B. Bogdanović makes 2-pt jump shot from 10 ft (assist by V. Oladipo),2,4
1,10:34.0,S. Ibaka makes 2-pt jump shot from 19 ft (assist by P. Siakam),,4,4
1,10:21.0,,V. Oladipo misses 3-pt jump shot from 27 ft,4,4
1,10:18.0,Defensive rebound by D. Green,,4,4
1,10:09.0,K. Lowry misses 3-pt jump shot from 25 ft,,4,4
1,10:05.0,,Defensive rebound by V. Oladipo,4,4
1,9:51.0,,T. Young makes 2-pt layup at rim (assist by D. Collison),4,6
1,9:29.0,S. Ibaka misses 2-pt layup from 1 ft (block by T. Young),,4,6
1,9:29.0,Offensive rebound by Team,,4,6
1,9:28.0,P. Siakam misses 3-pt jump shot from 23 ft,,4,6
1,9:23.0,Offensive rebound by K. Lowry,,4,6
1,9:20.0,S. Ibaka misses 3-pt jump shot from 26 ft,,4,6
1,9:17.0,,Defensive rebound by V. Oladipo,4,6
1,9:05.0,,Offensive foul by V. Oladipo (drawn by F. VanVleet),4,6
1,9:05.0,,Turnover by V. Oladipo (offensive foul),4,6
1,8:56.0,S. Ibaka misses 2-pt jump shot from 16 ft,,4,6
1,8:52.0,,Defensive rebound by M. Turner,4,6
1,8:42.0,,D. Collison misses 2-pt jump shot from 19 ft,4,6
1,8:39.0,Defensive rebound by P. Siakam,,4,6
1,8:30.0,Turnover by F. VanVleet (bad pass; steal by T. Young),,4,6
1,8:30.0,,Personal foul by F. VanVleet (drawn by B. Bogdanović),4,6
1,8:21.0,,B. Bogdanović misses 2-pt jump shot from 21 ft,4,6
1,8:18.0,Defensive rebound by P. Siakam,,4,6
1,8:14.0,S. Ibaka misses 3-pt jump shot from 30 ft,,4,6
1,8:10.0,,Defensive rebound by V. Oladipo,4,6
1,7:57.0,,T. Young misses 3-pt jump shot from 26 ft,4,6
1,7:54.0,,Offensive rebound by D. Collison,4,6
1,7:53.0,,D. Collison makes 2-pt jump shot from 14 ft,4,8
1,7:43.0,K. Lowry makes 2-pt jump shot from 18 ft,,6,8
1,7:33.0,,Personal foul by K. Lowry (drawn by M. Turner),6,8
1,7:16.0,,T. Young misses 2-pt hook shot from 8 ft,6,8
1,7:13.0,Defensive rebound by P. Siakam,,6,8
1,7:05.0,F. VanVleet misses 3-pt jump shot from 23 ft,,6,8
1,7:01.0,,Defensive rebound by T. Young,6,8
1,6:49.0,,B. Bogdanović misses 2-pt layup from 1 ft,6,8
1,6:47.0,Defensive rebound by S. Ibaka,,6,8
1,6:36.0,D. Green makes 3-pt jump shot from 25 ft (assist by P. Siakam),,9,8
1,6:20.0,,V. Oladipo makes 2-pt jump shot from 19 ft (assist by D. Collison),9,10
1,6:07.0,F. VanVleet misses 2-pt layup from 3 ft,,9,10
1,6:02.0,,Defensive rebound by T. Young,9,10
1,5:57.0,,M. Turner misses 2-pt layup from 6 ft,9,10
1,5:54.0,,Offensive rebound by T. Young,9,10
1,5:54.0,,T. Young misses 2-pt layup from 1 ft,9,10
1,5:51.0,,Offensive rebound by T. Young,9,10
1,5:51.0,,T. Young misses 2-pt layup from 1 ft,9,10
1,5:49.0,,Offensive rebound by M. Turner,9,10
1,5:49.0,,M. Turner misses 2-pt layup at rim (block by S. Ibaka),9,10
1,5:49.0,Defensive rebound by K. Lowry,,9,10
1,5:44.0,D. Green misses 3-pt jump shot from 28 ft,,9,10
1,5:40.0,,Defensive rebound by T. Young,9,10
1,5:35.0,,V. Oladipo makes 2-pt layup from 1 ft,9,12
1,5:28.0,Toronto full timeout,,9,12
1,5:28.0,Technical foul by K. Lowry,,9,12
1,5:28.0,,B. Bogdanović makes technical free throw,9,13
1,5:09.0,P. Siakam makes 3-pt jump shot from 23 ft (assist by D. Green),,12,13
1,4:45.0,,T. Young makes 2-pt layup at rim (assist by M. Turner),12,15
1,4:32.0,S. Ibaka makes 2-pt dunk from 1 ft (assist by P. Siakam),,14,15
1,4:10.0,,M. Turner misses 2-pt layup at rim,14,15
1,4:07.0,,Offensive rebound by T. Young,14,15
1,4:06.0,,B. Bogdanović misses 3-pt jump shot from 26 ft,14,15
1,4:05.0,,Offensive rebound by Team,14,15
1,4:05.0,,Turnover by Team (shot clock),14,15
1,4:05.0,N. Powell enters the game for D. Green,,14,15
1,4:05.0,D. Wright enters the game for K. Lowry,,14,15
1,4:05.0,,C. Joseph enters the game for B. Bogdanović,14,15
1,4:05.0,,D. Sabonis enters the game for T. Young,14,15
1,3:44.0,F. VanVleet misses 2-pt jump shot from 20 ft,,14,15
1,3:41.0,Offensive rebound by S. Ibaka,,14,15
1,3:28.0,N. Powell misses 2-pt jump shot from 19 ft,,14,15
1,3:27.0,,Defensive rebound by C. Joseph,14,15
1,3:18.0,,M. Turner makes 3-pt jump shot from 27 ft (assist by D. Collison),14,18
1,3:05.0,Personal foul by V. Oladipo (drawn by N. Powell),,14,18
1,3:05.0,G. Monroe enters the game for S. Ibaka,,14,18
1,3:05.0,,T. Evans enters the game for V. Oladipo,14,18
1,2:53.0,D. Wright misses 2-pt jump shot from 14 ft,,14,18
1,2:50.0,,Defensive rebound by D. Collison,14,18
1,2:44.0,,D. Collison makes 2-pt jump shot from 20 ft,14,20
1,2:31.0,Shooting foul by M. Turner (drawn by N. Powell),,14,20
1,2:31.0,,Indiana full timeout,14,20
1,2:31.0,N. Powell misses free throw 1 of 2,,14,20
1,2:31.0,Offensive rebound by Team,,14,20
1,2:31.0,N. Powell makes free throw 2 of 2,,15,20
1,2:09.0,,D. Sabonis misses 2-pt hook shot from 4 ft,15,20
1,2:06.0,Defensive rebound by G. Monroe,,15,20
1,1:58.0,D. Wright misses 3-pt jump shot from 25 ft,,15,20
