QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,LA CLIPPERS_ACTION,SACRAMENTO_SCORE,LA CLIPPERS_SCORE
1,11:45.0,,Personal foul by N. Bjelica (drawn by M. Gortat),0,0
1,11:34.0,,P. Beverley makes 3-pt jump shot from 27 ft (assist by S. Gilgeous-Alexander),0,3
1,11:17.0,I. Shumpert misses 3-pt jump shot from 26 ft,,0,3
1,11:12.0,Offensive rebound by W. Cauley-Stein,,0,3
1,11:10.0,I. Shumpert misses 2-pt jump shot from 16 ft,,0,3
1,11:06.0,,Defensive rebound by T. Harris,0,3
1,10:54.0,,T. Harris misses 2-pt jump shot from 8 ft,0,3
1,10:51.0,,Offensive rebound by T. Harris,0,3
1,10:49.0,,P. Beverley makes 3-pt jump shot from 27 ft (assist by T. Harris),0,6
1,10:37.0,D. Fox misses 2-pt jump shot from 19 ft,,0,6
1,10:34.0,,Defensive rebound by M. Gortat,0,6
1,10:19.0,,M. Gortat misses 2-pt hook shot from 4 ft,0,6
1,10:17.0,Defensive rebound by D. Fox,,0,6
1,10:07.0,W. Cauley-Stein misses 2-pt jump shot from 12 ft,,0,6
1,10:04.0,,Defensive rebound by T. Harris,0,6
1,9:44.0,,S. Gilgeous-Alexander misses 3-pt jump shot from 26 ft,0,6
1,9:41.0,Defensive rebound by B. Hield,,0,6
1,9:36.0,B. Hield makes 3-pt jump shot from 26 ft (assist by I. Shumpert),,3,6
1,9:11.0,,T. Harris makes 2-pt layup from 2 ft,3,8
1,9:01.0,Personal foul by T. Harris (drawn by N. Bjelica),,3,8
1,8:56.0,B. Hield misses 3-pt jump shot from 29 ft,,3,8
1,8:52.0,,Defensive rebound by M. Gortat,3,8
1,8:47.0,,S. Gilgeous-Alexander misses 2-pt layup from 2 ft (block by N. Bjelica),3,8
1,8:44.0,,Offensive rebound by S. Gilgeous-Alexander,3,8
1,8:36.0,,T. Harris misses 2-pt jump shot from 7 ft,3,8
1,8:34.0,Defensive rebound by B. Hield,,3,8
1,8:25.0,N. Bjelica misses 2-pt jump shot from 6 ft,,3,8
1,8:22.0,,Defensive rebound by M. Gortat,3,8
1,8:18.0,,P. Beverley misses 2-pt layup from 3 ft (block by I. Shumpert),3,8
1,8:16.0,Defensive rebound by Team,,3,8
1,8:08.0,B. Hield misses 3-pt jump shot from 27 ft,,3,8
1,8:04.0,,Defensive rebound by A. Bradley,3,8
1,7:58.0,,S. Gilgeous-Alexander makes 2-pt layup from 2 ft (assist by A. Bradley),3,10
1,7:42.0,Offensive foul by W. Cauley-Stein (drawn by P. Beverley),,3,10
1,7:42.0,Turnover by W. Cauley-Stein (offensive foul),,3,10
