QUARTER,TIME_REMAINING,BOSTON_ACTION,NEW YORK_ACTION,BOSTON_SCORE,NEW YORK_SCORE
1,11:44.0,,D. Dotson makes 2-pt layup from 1 ft (assist by K. Allen),0,2
1,11:24.0,K. Irving misses 2-pt jump shot from 21 ft,,0,2
1,11:23.0,,Defensive rebound by K. Allen,0,2
1,11:11.0,,N. Vonleh makes 2-pt layup from 1 ft (assist by K. Allen),0,4
1,11:11.0,,Shooting foul by J. Tatum (drawn by N. Vonleh),0,4
1,11:11.0,,N. Vonleh makes free throw 1 of 1,0,5
1,10:56.0,J. Tatum misses 2-pt jump shot from 17 ft,,0,5
1,10:54.0,,Defensive rebound by Team,0,5
1,10:38.0,,Turnover by K. Knox (lost ball; steal by K. Irving),0,5
1,10:38.0,Personal foul by K. Knox (drawn by K. Irving),,0,5
1,10:24.0,M. Morris makes 2-pt layup from 2 ft (assist by A. Horford),,2,5
1,10:05.0,,Turnover by L. Kornet (out of bounds lost ball),2,5
1,9:56.0,K. Irving makes 2-pt layup at rim,,4,5
1,9:56.0,,Violation by Team (def goaltending),4,5
1,9:38.0,,L. Kornet makes 2-pt jump shot from 14 ft (assist by N. Vonleh),4,7
1,9:28.0,A. Horford misses 2-pt layup from 1 ft,,4,7
1,9:26.0,Offensive rebound by A. Horford,,4,7
1,9:26.0,A. Horford misses 2-pt layup from 1 ft,,4,7
1,9:24.0,,Defensive rebound by K. Allen,4,7
1,9:18.0,,K. Allen misses 2-pt layup from 3 ft,4,7
1,9:16.0,Defensive rebound by K. Irving,,4,7
1,9:12.0,M. Morris misses 3-pt jump shot from 25 ft,,4,7
1,9:10.0,,Defensive rebound by N. Vonleh,4,7
1,8:59.0,,K. Knox makes 3-pt jump shot from 27 ft (assist by K. Allen),4,10
1,8:47.0,K. Irving misses 3-pt jump shot from 25 ft,,4,10
1,8:46.0,,Defensive rebound by L. Kornet,4,10
1,8:38.0,,Personal foul by K. Irving (drawn by N. Vonleh),4,10
1,8:33.0,,L. Kornet makes 3-pt jump shot from 26 ft (assist by N. Vonleh),4,13
1,8:15.0,A. Horford makes 2-pt jump shot from 21 ft,,6,13
1,7:51.0,,K. Knox misses 2-pt layup from 2 ft (block by A. Horford),6,13
1,7:49.0,Defensive rebound by J. Tatum,,6,13
1,7:39.0,J. Tatum makes 2-pt layup from 2 ft (assist by A. Horford),,8,13
1,7:24.0,,Turnover by N. Vonleh (bad pass; steal by M. Morris),8,13
1,7:14.0,J. Tatum makes 2-pt jump shot from 16 ft (assist by K. Irving),,10,13
1,7:12.0,,New York full timeout,10,13
