QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,DALLAS_ACTION,MILWAUKEE_SCORE,DALLAS_SCORE
1,11:42.0,,M. Kleber misses 3-pt jump shot from 25 ft,0,0
1,11:39.0,Defensive rebound by G. Antetokounmpo,,0,0
1,11:32.0,T. Snell misses 3-pt jump shot from 24 ft,,0,0
1,11:29.0,,Defensive rebound by D. Finney-Smith,0,0
1,11:22.0,,L. Dončić misses 2-pt jump shot from 8 ft (block by B. Lopez),0,0
1,11:20.0,Defensive rebound by E. Bledsoe,,0,0
1,11:15.0,G. Antetokounmpo makes 2-pt layup from 1 ft (assist by E. Bledsoe),,2,0
1,10:56.0,,L. Dončić misses 2-pt layup from 1 ft,2,0
1,10:54.0,Defensive rebound by E. Bledsoe,,2,0
1,10:45.0,E. Bledsoe misses 2-pt jump shot from 20 ft,,2,0
1,10:42.0,,Defensive rebound by J. Brunson,2,0
1,10:31.0,,J. Brunson misses 3-pt jump shot from 25 ft,2,0
1,10:28.0,Defensive rebound by G. Antetokounmpo,,2,0
1,10:23.0,G. Antetokounmpo makes 2-pt dunk from 1 ft,,4,0
1,10:07.0,,M. Kleber misses 3-pt jump shot from 25 ft,4,0
1,10:04.0,Defensive rebound by B. Lopez,,4,0
1,9:58.0,M. Brogdon makes 2-pt layup from 1 ft,,6,0
1,9:47.0,,Turnover by D. Finney-Smith (bad pass),6,0
1,9:25.0,B. Lopez misses 3-pt jump shot from 26 ft,,6,0
1,9:24.0,Offensive rebound by G. Antetokounmpo,,6,0
1,9:17.0,G. Antetokounmpo makes 2-pt layup from 1 ft,,8,0
1,9:17.0,,Dallas full timeout,8,0
1,9:02.0,,D. Finney-Smith makes 3-pt jump shot from 23 ft (assist by L. Dončić),8,3
1,8:43.0,B. Lopez makes 2-pt jump shot from 3 ft,,10,3
1,8:26.0,,M. Kleber makes 2-pt layup from 3 ft (assist by L. Dončić),10,5
1,8:16.0,E. Bledsoe makes 2-pt jump shot from 2 ft,,12,5
1,7:55.0,,T. Hardaway misses 3-pt jump shot from 25 ft,12,5
1,7:52.0,Defensive rebound by G. Antetokounmpo,,12,5
