QUARTER,TIME_REMAINING,CLEVELAND_ACTION,WASHINGTON_ACTION,CLEVELAND_SCORE,WASHINGTON_SCORE
1,11:45.0,,T. Bryant makes 2-pt jump shot from 6 ft (assist by B. Beal),0,2
1,11:28.0,Shooting foul by J. Green (drawn by K. Love),,0,2
1,11:28.0,K. Love makes free throw 1 of 2,,1,2
1,11:28.0,K. Love makes free throw 2 of 2,,2,2
1,11:08.0,,T. Satoranský misses 2-pt jump shot from 13 ft,2,2
1,11:05.0,Defensive rebound by K. Love,,2,2
1,10:52.0,C. Sexton misses 3-pt jump shot from 25 ft,,2,2
1,10:45.0,Offensive rebound by L. Nance,,2,2
1,10:45.0,L. Nance misses 2-pt dunk at rim,,2,2
1,10:44.0,,Defensive rebound by B. Beal,2,2
1,10:40.0,,Turnover by B. Beal (bad pass),2,2
1,10:30.0,K. Love misses 3-pt jump shot from 26 ft,,2,2
1,10:26.0,Offensive rebound by D. Nwaba,,2,2
1,10:26.0,D. Nwaba makes 2-pt layup at rim,,4,2
1,10:15.0,,T. Bryant makes 2-pt hook shot from 9 ft (assist by B. Beal),4,4
1,10:05.0,C. Sexton makes 3-pt jump shot from 25 ft,,7,4
1,9:49.0,,T. Bryant misses 2-pt jump shot from 17 ft,7,4
1,9:46.0,Defensive rebound by D. Adel,,7,4
1,9:39.0,D. Adel misses 2-pt jump shot from 4 ft,,7,4
1,9:39.0,Offensive rebound by Team,,7,4
1,9:32.0,K. Love misses 3-pt jump shot from 26 ft,,7,4
1,9:30.0,,Defensive rebound by Team,7,4
1,9:30.0,Loose ball foul by L. Nance (drawn by J. Green),,7,4
1,9:21.0,,T. Satoranský makes 2-pt layup from 2 ft,7,6
1,9:04.0,K. Love makes 2-pt layup from 2 ft,,9,6
1,8:50.0,,Shooting foul by K. Love (drawn by B. Beal),9,6
1,8:50.0,,B. Beal makes free throw 1 of 2,9,7
1,8:50.0,,B. Beal makes free throw 2 of 2,9,8
1,8:50.0,K. Love misses 3-pt jump shot from 23 ft,,9,8
1,8:33.0,,Defensive rebound by T. Bryant,9,8
1,8:31.0,,J. Green makes 2-pt jump shot from 8 ft (assist by B. Beal),9,10
1,8:31.0,,Shooting foul by D. Nwaba (drawn by J. Green),9,10
1,8:31.0,,J. Green makes free throw 1 of 1,9,11
1,8:24.0,Shooting foul by T. Satoranský (drawn by C. Sexton),,9,11
1,8:24.0,C. Sexton makes free throw 1 of 2,,10,11
1,8:24.0,C. Sexton makes free throw 2 of 2,,11,11
1,8:12.0,,T. Satoranský makes 3-pt jump shot from 25 ft (assist by J. Green),11,14
1,7:56.0,D. Nwaba makes 3-pt jump shot from 26 ft (assist by K. Love),,14,14
1,7:39.0,,T. Ariza misses 3-pt jump shot from 26 ft,14,14
1,7:35.0,Defensive rebound by L. Nance,,14,14
1,7:28.0,D. Nwaba misses 3-pt jump shot from 23 ft,,14,14
1,7:24.0,Offensive rebound by D. Nwaba,,14,14
1,7:23.0,Turnover by D. Nwaba (lost ball; steal by T. Ariza),,14,14
1,7:17.0,,Turnover by B. Beal (out of bounds lost ball),14,14
1,7:04.0,Turnover by C. Sexton (lost ball; steal by B. Beal),,14,14
1,6:58.0,,T. Ariza misses 2-pt layup from 3 ft,14,14
1,6:57.0,,Offensive rebound by T. Bryant,14,14
1,6:55.0,,T. Bryant makes 2-pt layup from 2 ft,14,16
1,6:32.0,D. Nwaba makes 2-pt jump shot from 8 ft (assist by L. Nance),,16,16
1,6:16.0,,Shooting foul by L. Nance (drawn by B. Beal),16,16
1,6:16.0,,Washington full timeout,16,16
1,6:16.0,,C. Randle enters the game for T. Satoranský,16,16
1,6:16.0,,B. Beal makes free throw 1 of 2,16,17
1,6:16.0,,B. Beal makes free throw 2 of 2,16,18
1,6:03.0,C. Sexton misses 2-pt layup from 2 ft (block by T. Bryant),,16,18
1,5:59.0,Offensive rebound by L. Nance,,16,18
1,5:59.0,L. Nance misses 2-pt layup from 3 ft,,16,18
1,5:59.0,Offensive rebound by L. Nance,,16,18
1,5:55.0,L. Nance misses 2-pt layup from 3 ft,,16,18
1,5:54.0,,Defensive rebound by J. Green,16,18
1,5:52.0,,J. Green misses 3-pt jump shot from 27 ft,16,18
1,5:50.0,Defensive rebound by L. Nance,,16,18
1,5:37.0,K. Love misses 2-pt jump shot from 8 ft,,16,18
1,5:35.0,,Defensive rebound by J. Green,16,18
1,5:31.0,,Turnover by J. Green (out of bounds lost ball),16,18
1,5:31.0,A. Žižić enters the game for K. Love,,16,18
1,5:31.0,,B. Portis enters the game for T. Bryant,16,18
1,5:10.0,A. Žižić misses 2-pt hook shot from 6 ft,,16,18
1,5:08.0,,Defensive rebound by J. Green,16,18
1,4:58.0,,C. Randle misses 2-pt jump shot from 21 ft,16,18
1,4:54.0,Defensive rebound by D. Nwaba,,16,18
1,4:46.0,D. Nwaba misses 2-pt jump shot from 6 ft,,16,18
1,4:43.0,,Defensive rebound by T. Ariza,16,18
1,4:35.0,,Turnover by B. Portis (lost ball; steal by D. Nwaba),16,18
1,4:33.0,Shooting foul by T. Ariza (drawn by D. Nwaba),,16,18
1,4:33.0,D. Nwaba makes free throw 1 of 2,,17,18
1,4:33.0,M. Chriss enters the game for L. Nance,,17,18
1,4:33.0,,J. Parker enters the game for J. Green,17,18
1,4:33.0,D. Nwaba misses free throw 2 of 2,,17,18
1,4:31.0,,Defensive rebound by J. Parker,17,18
1,4:18.0,,J. Parker makes 3-pt jump shot from 24 ft (assist by B. Beal),17,21
1,4:01.0,Personal foul by J. Parker (drawn by D. Nwaba),,17,21
1,4:01.0,J. Clarkson enters the game for D. Adel,,17,21
1,4:01.0,M. Dellavedova enters the game for D. Nwaba,,17,21
1,3:47.0,Turnover by M. Dellavedova (bad pass; steal by T. Ariza),,17,21
1,3:42.0,,B. Portis makes 2-pt layup from 3 ft,17,23
1,3:29.0,J. Clarkson misses 3-pt jump shot from 27 ft,,17,23
1,3:27.0,,Defensive rebound by B. Beal,17,23
1,3:19.0,,B. Portis makes 3-pt jump shot from 25 ft (assist by B. Beal),17,26
1,3:10.0,Cleveland full timeout,,17,26
1,3:10.0,,W. Johnson enters the game for T. Ariza,17,26
1,2:59.0,C. Sexton makes 3-pt jump shot from 27 ft (assist by J. Clarkson),,20,26
1,2:43.0,,B. Portis makes 2-pt jump shot from 17 ft (assist by B. Beal),20,28
1,2:33.0,Personal foul by C. Randle (drawn by C. Sexton),,20,28
1,2:33.0,C. Sexton makes free throw 1 of 2,,21,28
1,2:33.0,C. Sexton makes free throw 2 of 2,,22,28
1,2:21.0,,B. Beal misses 2-pt jump shot from 20 ft,22,28
1,2:16.0,Defensive rebound by J. Clarkson,,22,28
1,2:13.0,M. Dellavedova misses 3-pt jump shot from 26 ft,,22,28
1,2:10.0,,Defensive rebound by B. Portis,22,28
1,2:05.0,,B. Portis makes 3-pt jump shot from 27 ft (assist by C. Randle),22,31
1,1:49.0,J. Clarkson misses 2-pt jump shot from 15 ft,,22,31
1,1:47.0,,Defensive rebound by J. Parker,22,31
1,1:43.0,,B. Portis makes 2-pt jump shot from 22 ft (assist by J. Parker),22,33
1,1:29.0,M. Chriss makes 3-pt jump shot from 27 ft (assist by M. Dellavedova),,25,33
1,1:18.0,,C. Randle makes 2-pt layup from 3 ft (assist by J. Parker),25,35
1,1:07.0,A. Žižić makes 2-pt layup from 1 ft (assist by M. Dellavedova),,27,35
1,0:54.0,,Personal foul by M. Dellavedova (drawn by B. Portis),27,35
1,0:54.0,,B. Portis makes free throw 1 of 2,27,36
1,0:54.0,,B. Portis makes free throw 2 of 2,27,37
