QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,ORLANDO_ACTION,CHARLOTTE_SCORE,ORLANDO_SCORE
1,11:40.0,M. Williams misses 2-pt jump shot from 21 ft,,0,0
1,11:37.0,,Defensive rebound by N. Vučević,0,0
1,11:24.0,,Personal foul by J. Lamb (drawn by A. Gordon),0,0
1,11:14.0,,E. Fournier misses 3-pt jump shot from 26 ft,0,0
1,11:11.0,Defensive rebound by N. Batum,,0,0
1,11:03.0,Turnover by N. Batum (bad pass; steal by E. Fournier),,0,0
1,10:58.0,,D. Augustin makes 3-pt jump shot from 26 ft (assist by E. Fournier),0,3
1,10:40.0,K. Walker misses 3-pt jump shot from 23 ft,,0,3
1,10:37.0,,Defensive rebound by N. Vučević,0,3
1,10:30.0,,J. Isaac misses 2-pt jump shot from 16 ft,0,3
1,10:27.0,Defensive rebound by M. Williams,,0,3
1,10:12.0,K. Walker misses 2-pt layup from 3 ft,,0,3
1,10:10.0,,Defensive rebound by N. Vučević,0,3
1,10:01.0,,N. Vučević makes 2-pt layup from 2 ft (assist by D. Augustin),0,5
1,9:46.0,C. Zeller misses 2-pt hook shot from 9 ft,,0,5
1,9:43.0,,Defensive rebound by N. Vučević,0,5
1,9:35.0,,A. Gordon misses 2-pt jump shot from 14 ft,0,5
1,9:31.0,Defensive rebound by N. Batum,,0,5
1,9:24.0,J. Lamb makes 2-pt jump shot from 15 ft,,2,5
1,9:08.0,,E. Fournier makes 2-pt jump shot from 15 ft (assist by N. Vučević),2,7
1,8:56.0,C. Zeller makes 2-pt layup from 2 ft (assist by K. Walker),,4,7
1,8:34.0,,E. Fournier makes 2-pt layup from 2 ft,4,9
1,8:20.0,J. Lamb makes 2-pt jump shot from 19 ft (assist by K. Walker),,6,9
1,8:07.0,,E. Fournier makes 3-pt jump shot from 25 ft,6,12
1,8:06.0,Charlotte full timeout,,6,12
1,7:57.0,Shooting foul by N. Vučević (drawn by C. Zeller),,6,12
1,7:57.0,C. Zeller makes free throw 1 of 2,,7,12
1,7:57.0,C. Zeller makes free throw 2 of 2,,8,12
1,7:47.0,,Personal foul by N. Batum (drawn by A. Gordon),8,12
1,7:37.0,,Turnover by A. Gordon (bad pass),8,12
1,7:24.0,M. Williams misses 3-pt jump shot from 24 ft,,8,12
1,7:19.0,,Defensive rebound by A. Gordon,8,12
1,7:09.0,,A. Gordon misses 3-pt jump shot from 22 ft,8,12
1,7:09.0,,Offensive rebound by J. Isaac,8,12
1,7:09.0,,Personal foul by M. Williams (drawn by J. Isaac),8,12
1,7:09.0,M. Monk enters the game for J. Lamb,,8,12
1,7:03.0,,D. Augustin makes 2-pt jump shot from 9 ft,8,14
1,6:51.0,K. Walker misses 3-pt jump shot from 25 ft,,8,14
1,6:48.0,,Defensive rebound by E. Fournier,8,14
1,6:38.0,,J. Isaac makes 2-pt layup from 3 ft (assist by N. Vučević),8,16
1,6:24.0,M. Monk makes 2-pt jump shot from 13 ft,,10,16
1,6:07.0,,E. Fournier misses 3-pt jump shot from 26 ft,10,16
1,6:04.0,Defensive rebound by N. Batum,,10,16
1,5:57.0,N. Batum makes 2-pt jump shot from 16 ft,,12,16
1,5:44.0,,A. Gordon misses 3-pt jump shot from 26 ft,12,16
1,5:39.0,Defensive rebound by C. Zeller,,12,16
1,5:34.0,K. Walker misses 2-pt jump shot from 17 ft,,12,16
1,5:32.0,,Defensive rebound by N. Vučević,12,16
1,5:26.0,,Personal foul by C. Zeller (drawn by D. Augustin),12,16
1,5:26.0,M. Kidd-Gilchrist enters the game for M. Williams,,12,16
1,5:26.0,,W. Iwundu enters the game for A. Gordon,12,16
1,5:14.0,,E. Fournier makes 2-pt jump shot from 2 ft,12,18
1,5:01.0,M. Monk misses 2-pt layup from 3 ft,,12,18
1,5:01.0,Offensive rebound by M. Monk,,12,18
1,4:53.0,K. Walker misses 3-pt jump shot from 25 ft,,12,18
1,4:50.0,Offensive rebound by C. Zeller,,12,18
1,4:48.0,M. Monk misses 3-pt jump shot from 25 ft,,12,18
1,4:48.0,,Defensive rebound by W. Iwundu,12,18
1,4:38.0,,D. Augustin misses 3-pt jump shot from 25 ft,12,18
1,4:36.0,Defensive rebound by N. Batum,,12,18
1,4:36.0,,I. Briscoe enters the game for D. Augustin,12,18
1,4:26.0,Shooting foul by I. Briscoe (drawn by K. Walker),,12,18
1,4:26.0,K. Walker misses free throw 1 of 2,,12,18
1,4:26.0,Offensive rebound by Team,,12,18
1,4:26.0,K. Walker makes free throw 2 of 2,,13,18
1,4:11.0,,I. Briscoe makes 3-pt jump shot from 23 ft (assist by E. Fournier),13,21
1,3:57.0,N. Batum misses 3-pt jump shot from 25 ft,,13,21
1,3:53.0,,Defensive rebound by J. Isaac,13,21
1,3:44.0,,J. Isaac makes 2-pt jump shot from 12 ft,13,23
1,3:30.0,K. Walker makes 2-pt jump shot from 18 ft (assist by C. Zeller),,15,23
