QUARTER,TIME_REMAINING,PHOENIX_ACTION,MIAMI_ACTION,PHOENIX_SCORE,MIAMI_SCORE
1,11:42.0,,D. Robinson misses 3-pt jump shot from 24 ft,0,0
1,11:39.0,Defensive rebound by K. Oubre,,0,0
1,11:25.0,D. Ayton misses 2-pt jump shot from 13 ft,,0,0
1,11:22.0,,Defensive rebound by K. Olynyk,0,0
1,11:20.0,,Offensive foul by K. Olynyk (drawn by K. Oubre),0,0
1,11:20.0,,Turnover by K. Olynyk (offensive foul),0,0
1,11:14.0,Personal foul by D. Robinson (drawn by K. Oubre),,0,0
1,10:57.0,J. Jackson misses 2-pt layup from 8 ft,,0,0
1,10:56.0,,Defensive rebound by Team,0,0
1,10:37.0,,Def 3 sec tech foul by Team,0,0
1,10:37.0,,J. Richardson makes technical free throw,0,1
1,10:27.0,,D. Waiters misses 2-pt layup from 2 ft,0,1
1,10:25.0,Defensive rebound by J. Jackson,,0,1
1,10:22.0,Personal foul by J. Richardson (drawn by D. Booker),,0,1
1,10:12.0,D. Booker misses 3-pt jump shot from 25 ft,,0,1
1,10:10.0,,Defensive rebound by J. Richardson,0,1
1,10:02.0,,J. Richardson makes 2-pt layup from 2 ft,0,3
1,9:41.0,D. Ayton misses 2-pt jump shot from 13 ft,,0,3
1,9:38.0,,Defensive rebound by H. Whiteside,0,3
1,9:31.0,Violation by Team (kicked ball),,0,3
1,9:20.0,,H. Whiteside misses 2-pt layup from 2 ft,0,3
1,9:18.0,,Offensive rebound by K. Olynyk,0,3
1,9:15.0,,H. Whiteside makes 2-pt jump shot from 5 ft,0,5
1,9:06.0,D. Ayton makes 2-pt layup from 4 ft (assist by D. Booker),,2,5
1,8:46.0,,H. Whiteside makes 2-pt layup from 4 ft (assist by J. Richardson),2,7
1,8:33.0,K. Oubre misses 3-pt jump shot from 28 ft,,2,7
1,8:30.0,,Defensive rebound by J. Richardson,2,7
1,8:25.0,,J. Richardson misses 3-pt jump shot from 26 ft,2,7
1,8:22.0,Defensive rebound by T. Johnson,,2,7
1,8:12.0,J. Jackson makes 2-pt dunk from 3 ft (assist by T. Johnson),,4,7
1,7:51.0,,K. Olynyk misses 2-pt layup from 3 ft,4,7
