QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,MINNESOTA_ACTION,SACRAMENTO_SCORE,MINNESOTA_SCORE
1,11:55.0,B. Hield misses 2-pt layup from 3 ft,,0,0
1,11:53.0,Offensive rebound by B. Hield,,0,0
1,11:52.0,D. Fox misses 3-pt jump shot from 26 ft,,0,0
1,11:48.0,,Defensive rebound by K. Towns,0,0
1,11:27.0,,K. Towns makes 2-pt jump shot from 11 ft (assist by A. Wiggins),0,2
1,11:05.0,W. Cauley-Stein makes 2-pt layup from 1 ft (assist by H. Barnes),,2,2
1,10:47.0,,Personal foul by W. Cauley-Stein (drawn by K. Towns),2,2
1,10:32.0,,Turnover by T. Jones (bad pass; steal by H. Barnes),2,2
1,10:27.0,M. Bagley misses 2-pt layup from 2 ft,,2,2
1,10:25.0,,Defensive rebound by A. Wiggins,2,2
1,10:19.0,,A. Wiggins makes 2-pt layup from 1 ft,2,4
1,10:15.0,Shooting foul by D. Šarić (drawn by H. Barnes),,2,4
1,10:15.0,H. Barnes misses free throw 1 of 2,,2,4
1,10:15.0,Offensive rebound by Team,,2,4
1,10:15.0,H. Barnes misses free throw 2 of 2,,2,4
1,10:13.0,,Defensive rebound by K. Towns,2,4
1,10:06.0,,K. Towns misses 2-pt jump shot from 10 ft,2,4
1,10:03.0,Defensive rebound by D. Fox,,2,4
1,9:59.0,B. Hield misses 2-pt jump shot from 5 ft,,2,4
1,9:57.0,,Defensive rebound by Team,2,4
1,9:44.0,,K. Towns misses 2-pt jump shot from 21 ft,2,4
1,9:41.0,Defensive rebound by M. Bagley,,2,4
1,9:32.0,M. Bagley misses 2-pt layup from 1 ft,,2,4
1,9:30.0,,Defensive rebound by K. Towns,2,4
1,9:28.0,,Shooting foul by W. Cauley-Stein (drawn by A. Wiggins),2,4
1,9:28.0,,A. Wiggins misses free throw 1 of 2,2,4
1,9:28.0,,Offensive rebound by Team,2,4
1,9:28.0,H. Giles enters the game for W. Cauley-Stein,,2,4
1,9:28.0,,A. Wiggins makes free throw 2 of 2,2,5
1,9:20.0,Personal foul by J. Okogie (drawn by D. Fox),,2,5
1,9:12.0,B. Hield makes 2-pt layup from 1 ft,,4,5
1,9:00.0,,D. Šarić misses 3-pt jump shot from 23 ft,4,5
1,8:58.0,Defensive rebound by H. Barnes,,4,5
1,8:47.0,H. Barnes misses 2-pt jump shot from 7 ft,,4,5
1,8:45.0,,Defensive rebound by K. Towns,4,5
1,8:39.0,,T. Jones misses 3-pt jump shot from 24 ft,4,5
1,8:36.0,Defensive rebound by M. Bagley,,4,5
1,8:23.0,Sacramento full timeout,,4,5
1,8:15.0,H. Giles misses 2-pt hook shot from 8 ft,,4,5
1,8:15.0,,Defensive rebound by J. Okogie,4,5
1,8:02.0,,K. Towns makes 2-pt hook shot from 6 ft (assist by T. Jones),4,7
1,7:48.0,B. Hield makes 2-pt jump shot from 11 ft,,6,7
1,7:35.0,,J. Okogie misses 3-pt jump shot from 23 ft,6,7
1,7:32.0,Defensive rebound by B. Hield,,6,7
1,7:27.0,B. Hield misses 2-pt layup from 1 ft (block by A. Wiggins),,6,7
1,7:25.0,Offensive rebound by D. Fox,,6,7
1,7:12.0,B. Hield misses 2-pt jump shot from 20 ft,,6,7
1,7:11.0,,Defensive rebound by A. Wiggins,6,7
1,7:04.0,,J. Okogie misses 3-pt jump shot from 25 ft,6,7
