QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,SACRAMENTO_ACTION,MILWAUKEE_SCORE,SACRAMENTO_SCORE
1,11:40.0,,B. Hield makes 2-pt jump shot from 14 ft (assist by W. Cauley-Stein),0,2
1,11:24.0,M. Brogdon makes 3-pt jump shot from 25 ft (assist by E. Bledsoe),,3,2
1,11:12.0,,D. Fox makes 2-pt jump shot from 11 ft,3,4
1,10:57.0,E. Bledsoe misses 3-pt jump shot from 23 ft,,3,4
1,10:53.0,,Defensive rebound by W. Cauley-Stein,3,4
1,10:52.0,,Shooting foul by B. Lopez (drawn by D. Fox),3,4
1,10:52.0,,D. Fox makes free throw 1 of 2,3,5
1,10:52.0,,D. Fox makes free throw 2 of 2,3,6
1,10:37.0,M. Brogdon makes 3-pt jump shot from 25 ft (assist by G. Antetokounmpo),,6,6
1,10:25.0,,B. Hield misses 3-pt jump shot from 23 ft,6,6
1,10:22.0,Defensive rebound by B. Lopez,,6,6
1,10:18.0,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by K. Middleton),,8,6
1,10:00.0,,H. Barnes makes 2-pt jump shot from 11 ft,8,8
1,9:32.0,E. Bledsoe misses 2-pt layup from 10 ft,,8,8
1,9:32.0,Offensive rebound by G. Antetokounmpo,,8,8
1,9:32.0,Personal foul by W. Cauley-Stein (drawn by G. Antetokounmpo),,8,8
1,9:24.0,K. Middleton misses 2-pt jump shot from 18 ft,,8,8
1,9:16.0,Offensive rebound by E. Bledsoe,,8,8
1,9:13.0,Turnover by E. Bledsoe (lost ball; steal by B. Hield),,8,8
1,9:06.0,,B. Bogdanović makes 2-pt jump shot from 15 ft,8,10
1,8:54.0,G. Antetokounmpo misses 3-pt jump shot from 25 ft,,8,10
1,8:51.0,,Defensive rebound by W. Cauley-Stein,8,10
1,8:39.0,,W. Cauley-Stein makes 2-pt dunk from 1 ft (assist by B. Bogdanović),8,12
1,8:28.0,M. Brogdon makes 2-pt jump shot from 1 ft (assist by E. Bledsoe),,10,12
1,8:18.0,,W. Cauley-Stein makes 2-pt jump shot from 17 ft (assist by B. Bogdanović),10,14
1,7:51.0,B. Lopez misses 3-pt jump shot from 25 ft,,10,14
1,7:48.0,,Defensive rebound by D. Fox,10,14
1,7:42.0,,H. Barnes misses 3-pt jump shot from 26 ft,10,14
1,7:37.0,Defensive rebound by G. Antetokounmpo,,10,14
1,7:33.0,K. Middleton misses 3-pt jump shot from 25 ft,,10,14
1,7:29.0,,Defensive rebound by W. Cauley-Stein,10,14
1,7:17.0,,D. Fox misses 2-pt layup from 3 ft,10,14
1,7:14.0,Defensive rebound by K. Middleton,,10,14
1,7:06.0,K. Middleton misses 2-pt hook shot from 7 ft,,10,14
1,7:03.0,,Defensive rebound by H. Barnes,10,14
1,6:48.0,,H. Barnes makes 3-pt jump shot from 23 ft (assist by B. Hield),10,17
1,6:48.0,Milwaukee full timeout,,10,17
1,6:48.0,P. Connaughton enters the game for G. Antetokounmpo,,10,17
1,6:48.0,N. Mirotić enters the game for M. Brogdon,,10,17
1,6:39.0,P. Connaughton makes 2-pt layup from 1 ft (assist by E. Bledsoe),,12,17
1,6:23.0,,B. Hield makes 3-pt jump shot from 24 ft,12,20
1,6:11.0,B. Lopez misses 3-pt jump shot from 23 ft,,12,20
1,6:08.0,,Defensive rebound by B. Hield,12,20
1,5:59.0,,W. Cauley-Stein misses 2-pt layup from 2 ft (block by B. Lopez),12,20
1,5:55.0,Defensive rebound by E. Bledsoe,,12,20
1,5:47.0,N. Mirotić misses 2-pt jump shot from 5 ft,,12,20
1,5:45.0,,Defensive rebound by W. Cauley-Stein,12,20
1,5:40.0,,Turnover by B. Hield (step out of bounds),12,20
1,5:40.0,,M. Bagley enters the game for B. Bogdanović,12,20
1,5:27.0,K. Middleton misses 3-pt jump shot from 27 ft,,12,20
1,5:23.0,,Defensive rebound by H. Barnes,12,20
1,5:18.0,,W. Cauley-Stein makes 2-pt layup from 2 ft (assist by D. Fox),12,22
1,5:18.0,,Shooting foul by P. Connaughton (drawn by W. Cauley-Stein),12,22
1,5:18.0,I. Canaan enters the game for E. Bledsoe,,12,22
1,5:18.0,,W. Cauley-Stein misses free throw 1 of 1,12,22
1,5:12.0,Defensive rebound by B. Lopez,,12,22
1,5:09.0,N. Mirotić makes 3-pt jump shot from 25 ft (assist by K. Middleton),,15,22
1,4:44.0,,D. Fox misses 3-pt jump shot from 24 ft,15,22
1,4:40.0,,Offensive rebound by B. Hield,15,22
1,4:40.0,,B. Hield misses 2-pt layup from 1 ft,15,22
1,4:39.0,Defensive rebound by K. Middleton,,15,22
1,4:32.0,B. Lopez makes 2-pt layup from 2 ft (assist by K. Middleton),,17,22
1,4:26.0,,B. Hield makes 2-pt jump shot from 11 ft (assist by D. Fox),17,24
1,4:13.0,B. Lopez misses 3-pt jump shot from 25 ft,,17,24
1,4:10.0,,Defensive rebound by D. Fox,17,24
1,4:03.0,,B. Hield misses 2-pt jump shot from 19 ft,17,24
1,4:01.0,Defensive rebound by K. Middleton,,17,24
1,3:54.0,K. Middleton makes 2-pt jump shot from 14 ft,,19,24
1,3:32.0,,B. Hield misses 2-pt jump shot from 9 ft,19,24
1,3:28.0,,Offensive rebound by M. Bagley,19,24
1,3:28.0,,M. Bagley makes 2-pt layup from 1 ft,19,26
1,3:18.0,K. Middleton makes 2-pt jump shot from 7 ft,,21,26
1,2:58.0,,W. Cauley-Stein misses 2-pt jump shot from 18 ft,21,26
1,2:54.0,Defensive rebound by P. Connaughton,,21,26
1,2:47.0,K. Middleton makes 3-pt jump shot from 24 ft (assist by B. Lopez),,24,26
1,2:46.0,,Sacramento full timeout,24,26
1,2:46.0,E. İlyasova enters the game for P. Connaughton,,24,26
1,2:46.0,T. Snell enters the game for B. Lopez,,24,26
1,2:46.0,,C. Brewer enters the game for H. Barnes,24,26
1,2:46.0,,H. Giles enters the game for W. Cauley-Stein,24,26
1,2:30.0,,H. Giles misses 2-pt layup from 3 ft (block by N. Mirotić),24,26
1,2:27.0,Defensive rebound by N. Mirotić,,24,26
1,2:24.0,Shooting foul by C. Brewer (drawn by K. Middleton),,24,26
1,2:24.0,K. Middleton misses free throw 1 of 3,,24,26
1,2:24.0,Offensive rebound by Team,,24,26
1,2:24.0,K. Middleton makes free throw 2 of 3,,25,26
1,2:24.0,K. Middleton makes free throw 3 of 3,,26,26
1,2:10.0,,M. Bagley misses 2-pt layup from 2 ft,26,26
1,2:10.0,Defensive rebound by Team,,26,26
1,2:00.0,Turnover by I. Canaan (step out of bounds),,26,26
1,1:54.0,,Shooting foul by I. Canaan (drawn by D. Fox),26,26
1,1:54.0,,D. Fox makes free throw 1 of 2,26,27
1,1:54.0,M. Brogdon enters the game for I. Canaan,,26,27
1,1:54.0,P. Connaughton enters the game for K. Middleton,,26,27
1,1:54.0,,D. Fox makes free throw 2 of 2,26,28
1,1:40.0,N. Mirotić makes 3-pt jump shot from 25 ft (assist by M. Brogdon),,29,28
1,1:29.0,,B. Hield misses 2-pt jump shot from 16 ft,29,28
1,1:27.0,Defensive rebound by E. İlyasova,,29,28
1,1:24.0,M. Brogdon makes 3-pt jump shot from 25 ft (assist by P. Connaughton),,32,28
1,1:06.0,,M. Bagley misses 3-pt jump shot from 25 ft,32,28
1,1:02.0,Defensive rebound by M. Brogdon,,32,28
1,0:46.0,P. Connaughton misses 3-pt jump shot from 24 ft,,32,28
1,0:45.0,Offensive rebound by Team,,32,28
1,0:45.0,G. Antetokounmpo enters the game for N. Mirotić,,32,28
