QUARTER,TIME_REMAINING,DETROIT_ACTION,CLEVELAND_ACTION,DETROIT_SCORE,CLEVELAND_SCORE
1,11:41.0,W. Ellington misses 3-pt jump shot from 23 ft,,0,0
1,11:38.0,Offensive rebound by A. Drummond,,0,0
1,11:34.0,A. Drummond misses 2-pt layup from 5 ft,,0,0
1,11:32.0,,Defensive rebound by C. Sexton,0,0
1,11:17.0,,B. Knight makes 3-pt jump shot from 27 ft (assist by M. Chriss),0,3
1,10:59.0,A. Drummond makes 2-pt layup from 2 ft,,2,3
1,10:58.0,,Cleveland full timeout,2,3
1,10:49.0,,Shooting foul by B. Brown (drawn by C. Sexton),2,3
1,10:49.0,,C. Sexton makes free throw 1 of 2,2,4
1,10:49.0,,C. Sexton makes free throw 2 of 2,2,5
1,10:34.0,B. Griffin makes 2-pt hook shot from 2 ft,,4,5
1,10:34.0,,Violation by Team (def goaltending),4,5
1,10:19.0,,Turnover by M. Chriss (traveling),4,5
1,10:07.0,B. Griffin misses 3-pt jump shot from 26 ft,,4,5
1,10:04.0,,Defensive rebound by C. Osman,4,5
1,9:52.0,,C. Sexton misses 3-pt jump shot from 23 ft,4,5
1,9:48.0,Defensive rebound by A. Drummond,,4,5
1,9:43.0,W. Ellington makes 3-pt jump shot from 26 ft (assist by B. Griffin),,7,5
1,9:30.0,,B. Knight misses 3-pt jump shot from 24 ft,7,5
1,9:27.0,Defensive rebound by B. Brown,,7,5
1,9:12.0,W. Ellington misses 3-pt jump shot from 28 ft,,7,5
1,9:08.0,,Defensive rebound by M. Chriss,7,5
1,9:01.0,,B. Knight misses 2-pt jump shot from 11 ft,7,5
1,8:57.0,Defensive rebound by B. Brown,,7,5
1,8:50.0,B. Brown misses 3-pt jump shot from 24 ft,,7,5
1,8:48.0,,Defensive rebound by C. Osman,7,5
1,8:37.0,,C. Osman makes 2-pt layup at rim,7,7
1,8:25.0,R. Jackson makes 2-pt jump shot from 16 ft,,9,7
1,8:12.0,,C. Sexton misses 2-pt layup from 1 ft (block by B. Brown),9,7
1,8:12.0,,Offensive rebound by Team,9,7
1,7:57.0,,M. Chriss misses 3-pt jump shot from 23 ft,9,7
