QUARTER,TIME_REMAINING,CLEVELAND_ACTION,DALLAS_ACTION,CLEVELAND_SCORE,DALLAS_SCORE
1,11:45.0,K. Love makes 2-pt hook shot from 6 ft (assist by C. Osman),,2,0
1,11:19.0,,D. Finney-Smith misses 2-pt jump shot from 4 ft,2,0
1,11:16.0,Defensive rebound by K. Love,,2,0
1,11:07.0,K. Love misses 3-pt jump shot from 25 ft,,2,0
1,11:04.0,,Defensive rebound by D. Finney-Smith,2,0
1,10:59.0,,J. Brunson misses 2-pt jump shot from 15 ft,2,0
1,10:56.0,Defensive rebound by K. Love,,2,0
1,10:53.0,C. Osman misses 3-pt jump shot from 25 ft,,2,0
1,10:50.0,,Defensive rebound by T. Hardaway,2,0
1,10:43.0,,Shooting foul by B. Knight (drawn by T. Hardaway),2,0
1,10:43.0,,T. Hardaway makes free throw 1 of 2,2,1
1,10:43.0,,T. Hardaway makes free throw 2 of 2,2,2
1,10:26.0,K. Love makes 2-pt layup from 1 ft (assist by C. Osman),,4,2
1,10:16.0,,D. Finney-Smith makes 3-pt jump shot from 26 ft (assist by J. Brunson),4,5
1,10:02.0,Turnover by A. Žižić (lost ball; steal by D. Nowitzki),,4,5
1,9:56.0,,T. Hardaway misses 3-pt jump shot from 26 ft,4,5
1,9:53.0,,Offensive rebound by J. Brunson,4,5
1,9:51.0,,D. Nowitzki misses 3-pt jump shot from 26 ft,4,5
1,9:49.0,Defensive rebound by Team,,4,5
1,9:34.0,C. Osman misses 2-pt layup from 2 ft (block by D. Nowitzki),,4,5
1,9:34.0,Offensive rebound by Team,,4,5
1,9:29.0,Shooting foul by D. Powell (drawn by C. Sexton),,4,5
1,9:29.0,C. Sexton misses free throw 1 of 2,,4,5
1,9:29.0,Offensive rebound by Team,,4,5
1,9:29.0,C. Sexton makes free throw 2 of 2,,5,5
1,9:18.0,,Personal foul by C. Sexton (drawn by D. Powell),5,5
1,9:13.0,,T. Hardaway misses 2-pt jump shot from 8 ft,5,5
1,9:12.0,Defensive rebound by Team,,5,5
1,8:56.0,K. Love misses 3-pt jump shot from 27 ft,,5,5
1,8:53.0,,Defensive rebound by Team,5,5
1,8:41.0,,J. Brunson misses 2-pt jump shot from 8 ft,5,5
1,8:39.0,,Offensive rebound by J. Brunson,5,5
1,8:38.0,,D. Nowitzki makes 2-pt jump shot from 22 ft (assist by J. Brunson),5,7
1,8:25.0,C. Sexton misses 3-pt jump shot from 25 ft,,5,7
1,8:22.0,,Defensive rebound by D. Finney-Smith,5,7
1,8:11.0,,D. Finney-Smith misses 2-pt jump shot from 18 ft,5,7
1,8:08.0,Defensive rebound by K. Love,,5,7
1,8:01.0,B. Knight makes 3-pt jump shot from 26 ft,,8,7
1,7:47.0,,T. Hardaway makes 2-pt jump shot from 13 ft (assist by J. Brunson),8,9
1,7:34.0,B. Knight makes 2-pt jump shot from 4 ft,,10,9
1,7:33.0,Violation by Team (delay of game),,10,9
1,7:22.0,,D. Finney-Smith makes 3-pt jump shot from 24 ft (assist by J. Brunson),10,12
1,7:07.0,B. Knight misses 3-pt jump shot from 26 ft,,10,12
1,7:05.0,,Defensive rebound by D. Finney-Smith,10,12
1,6:58.0,,D. Finney-Smith makes 3-pt jump shot from 25 ft,10,15
1,6:54.0,Cleveland full timeout,,10,15
1,6:54.0,J. Clarkson enters the game for B. Knight,,10,15
1,6:33.0,K. Love makes 3-pt jump shot from 28 ft (assist by A. Žižić),,13,15
1,6:08.0,,J. Brunson makes 2-pt layup from 2 ft,13,17
1,5:44.0,C. Sexton misses 3-pt jump shot from 26 ft,,13,17
1,5:42.0,Offensive rebound by A. Žižić,,13,17
1,5:41.0,A. Žižić makes 2-pt jump shot from 3 ft,,15,17
1,5:41.0,Shooting foul by D. Nowitzki (drawn by A. Žižić),,15,17
1,5:41.0,,M. Kleber enters the game for D. Powell,15,17
1,5:41.0,A. Žižić makes free throw 1 of 1,,16,17
1,5:23.0,,T. Hardaway misses 2-pt jump shot from 19 ft,16,17
1,5:20.0,,Offensive rebound by M. Kleber,16,17
1,5:19.0,,T. Hardaway makes 3-pt jump shot from 23 ft (assist by M. Kleber),16,20
1,5:07.0,C. Osman makes 3-pt jump shot from 26 ft (assist by K. Love),,19,20
1,4:51.0,,M. Kleber misses 3-pt jump shot from 23 ft,19,20
1,4:47.0,Defensive rebound by K. Love,,19,20
1,4:44.0,C. Sexton misses 2-pt layup from 2 ft,,19,20
1,4:43.0,,Defensive rebound by Team,19,20
1,4:43.0,Loose ball foul by A. Žižić (drawn by J. Brunson),,19,20
1,4:43.0,M. Chriss enters the game for K. Love,,19,20
1,4:43.0,D. Nwaba enters the game for A. Žižić,,19,20
1,4:43.0,,J. Jackson enters the game for D. Nowitzki,19,20
1,4:31.0,,D. Finney-Smith misses 3-pt jump shot from 27 ft,19,20
1,4:29.0,,Offensive rebound by Team,19,20
1,4:22.0,,M. Kleber makes 3-pt jump shot from 25 ft (assist by D. Finney-Smith),19,23
1,3:53.0,C. Sexton makes 2-pt layup from 2 ft (assist by M. Chriss),,21,23
1,3:37.0,,Shooting foul by C. Sexton (drawn by J. Brunson),21,23
1,3:37.0,,J. Brunson makes free throw 1 of 2,21,24
1,3:37.0,,J. Brunson makes free throw 2 of 2,21,25
1,3:21.0,D. Nwaba misses 2-pt jump shot from 11 ft,,21,25
1,3:17.0,,Defensive rebound by J. Jackson,21,25
1,3:09.0,,Shooting foul by D. Nwaba (drawn by M. Kleber),21,25
1,3:09.0,,M. Kleber makes free throw 1 of 2,21,26
1,3:09.0,B. Knight enters the game for C. Sexton,,21,26
1,3:09.0,,T. Burke enters the game for J. Brunson,21,26
1,3:09.0,,D. Harris enters the game for D. Finney-Smith,21,26
1,3:09.0,,M. Kleber makes free throw 2 of 2,21,27
1,2:49.0,Turnover by B. Knight (bad pass; steal by T. Burke),,21,27
1,2:41.0,,T. Hardaway makes 3-pt jump shot from 26 ft (assist by D. Harris),21,30
1,2:39.0,Cleveland full timeout,,21,30
1,2:18.0,B. Knight misses 2-pt layup from 2 ft,,21,30
1,2:15.0,,Defensive rebound by J. Jackson,21,30
1,2:13.0,,T. Hardaway misses 3-pt jump shot from 25 ft,21,30
1,2:11.0,Defensive rebound by Team,,21,30
1,1:59.0,Personal foul by J. Jackson (drawn by M. Chriss),,21,30
1,1:53.0,Turnover by J. Clarkson (offensive foul),,21,30
1,1:53.0,Offensive foul by J. Clarkson (drawn by D. Harris),,21,30
1,1:53.0,N. Stauskas enters the game for C. Osman,,21,30
1,1:43.0,,D. Harris misses 2-pt jump shot from 9 ft,21,30
1,1:39.0,,Offensive rebound by M. Kleber,21,30
1,1:38.0,,M. Kleber misses 2-pt layup at rim,21,30
1,1:37.0,Defensive rebound by B. Knight,,21,30
1,1:34.0,N. Stauskas makes 3-pt jump shot from 22 ft (assist by J. Clarkson),,24,30
1,1:09.0,,T. Burke makes 2-pt layup from 2 ft,24,32
1,1:09.0,Violation by Team (def goaltending),,24,32
1,0:52.0,J. Clarkson makes 2-pt jump shot from 12 ft,,26,32
1,0:34.0,,D. Harris misses 3-pt jump shot from 25 ft,26,32
1,0:31.0,Defensive rebound by D. Nwaba,,26,32
1,0:18.0,Offensive foul by J. Clarkson (drawn by D. Harris),,26,32
1,0:18.0,Turnover by J. Clarkson (offensive foul),,26,32
1,0:18.0,,D. Finney-Smith enters the game for T. Hardaway,26,32
1,0:03.0,,T. Burke makes 2-pt jump shot from 8 ft,26,34
1,0:00.0,N. Stauskas misses 3-pt jump shot from 39 ft,,26,34
1,0:00.0,Offensive rebound by Team,,26,34
2,11:50.0,,J. Jackson makes 2-pt jump shot from 9 ft (assist by D. Harris),26,36
2,11:25.0,N. Stauskas misses 3-pt jump shot from 23 ft,,26,36
2,11:22.0,Offensive rebound by N. Stauskas,,26,36
2,11:19.0,M. Chriss misses 2-pt layup from 1 ft,,26,36
2,11:17.0,Offensive rebound by M. Chriss,,26,36
2,11:16.0,M. Chriss makes 2-pt layup from 1 ft,,28,36
2,11:00.0,,T. Burke misses 2-pt jump shot from 12 ft,28,36
2,10:57.0,Defensive rebound by B. Knight,,28,36
2,10:53.0,D. Nwaba makes 2-pt jump shot from 2 ft (assist by B. Knight),,30,36
2,10:40.0,,Personal foul by D. Nwaba (drawn by D. Finney-Smith),30,36
2,10:40.0,,D. Nowitzki enters the game for J. Jackson,30,36
2,10:40.0,,D. Powell enters the game for M. Kleber,30,36
2,10:36.0,,T. Burke makes 3-pt jump shot from 25 ft,30,39
2,10:16.0,J. Clarkson misses 3-pt jump shot from 26 ft,,30,39
2,10:13.0,,Defensive rebound by D. Powell,30,39
2,10:07.0,,T. Burke makes 2-pt layup from 1 ft,30,41
2,9:50.0,N. Stauskas misses 2-pt jump shot from 21 ft,,30,41
2,9:47.0,,Defensive rebound by D. Nowitzki,30,41
2,9:42.0,,D. Harris makes 2-pt layup from 1 ft,30,43
2,9:42.0,Cleveland full timeout,,30,43
2,9:42.0,K. Love enters the game for M. Chriss,,30,43
2,9:42.0,C. Sexton enters the game for B. Knight,,30,43
2,9:42.0,A. Žižić enters the game for D. Nwaba,,30,43
2,9:30.0,J. Clarkson makes 3-pt jump shot from 26 ft (assist by A. Žižić),,33,43
2,9:12.0,,D. Powell makes 2-pt dunk from 1 ft (assist by D. Harris),33,45
2,8:49.0,K. Love makes 2-pt layup from 2 ft,,35,45
2,8:31.0,,D. Harris makes 2-pt layup from 2 ft (assist by T. Burke),35,47
2,8:15.0,Personal foul by D. Harris (drawn by K. Love),,35,47
2,8:15.0,,T. Hardaway enters the game for D. Harris,35,47
2,8:03.0,,Violation by Team (kicked ball),35,47
2,7:53.0,J. Clarkson misses 3-pt jump shot from 26 ft,,35,47
2,7:48.0,,Defensive rebound by T. Hardaway,35,47
2,7:41.0,,D. Nowitzki makes 2-pt jump shot from 13 ft (assist by T. Burke),35,49
2,7:23.0,K. Love misses 3-pt jump shot from 25 ft,,35,49
2,7:20.0,,Defensive rebound by T. Hardaway,35,49
2,7:14.0,,T. Burke makes 2-pt jump shot from 20 ft,35,51
2,6:54.0,N. Stauskas misses 3-pt jump shot from 26 ft,,35,51
2,6:51.0,,Defensive rebound by D. Finney-Smith,35,51
2,6:41.0,,T. Hardaway makes 2-pt hook shot from 6 ft,35,53
2,6:40.0,Cleveland full timeout,,35,53
2,6:40.0,C. Osman enters the game for J. Clarkson,,35,53
2,6:28.0,Offensive foul by A. Žižić (drawn by D. Nowitzki),,35,53
2,6:28.0,Turnover by A. Žižić (offensive foul),,35,53
2,6:12.0,,D. Finney-Smith makes 2-pt dunk from 1 ft (assist by D. Powell),35,55
2,5:52.0,C. Osman misses 2-pt hook shot from 6 ft (block by D. Finney-Smith),,35,55
2,5:50.0,,Defensive rebound by D. Nowitzki,35,55
2,5:32.0,,Turnover by D. Powell (bad pass),35,55
2,5:32.0,J. Clarkson enters the game for N. Stauskas,,35,55
2,5:19.0,C. Sexton makes 2-pt jump shot from 21 ft,,37,55
2,5:02.0,,D. Powell makes 2-pt jump shot from 5 ft (assist by D. Nowitzki),37,57
2,4:48.0,C. Sexton makes 2-pt layup from 4 ft,,39,57
2,4:35.0,,T. Hardaway makes 3-pt jump shot from 26 ft,39,60
2,4:26.0,K. Love misses 3-pt jump shot from 27 ft,,39,60
2,4:26.0,Offensive rebound by C. Osman,,39,60
2,4:20.0,C. Osman misses 2-pt layup from 1 ft,,39,60
2,4:19.0,,Defensive rebound by D. Nowitzki,39,60
2,4:11.0,,D. Nowitzki misses 2-pt jump shot from 11 ft,39,60
2,4:11.0,Defensive rebound by K. Love,,39,60
2,3:58.0,Shooting foul by D. Nowitzki (drawn by A. Žižić),,39,60
2,3:58.0,A. Žižić makes free throw 1 of 2,,40,60
2,3:58.0,,M. Kleber enters the game for D. Nowitzki,40,60
2,3:58.0,A. Žižić makes free throw 2 of 2,,41,60
2,3:45.0,,T. Hardaway misses 3-pt jump shot from 25 ft,41,60
2,3:40.0,Defensive rebound by K. Love,,41,60
2,3:38.0,C. Sexton makes 3-pt jump shot from 25 ft (assist by K. Love),,44,60
2,3:37.0,,Dallas full timeout,44,60
2,3:23.0,,T. Hardaway misses 2-pt jump shot from 16 ft,44,60
2,3:19.0,Defensive rebound by K. Love,,44,60
2,3:13.0,Personal foul by T. Hardaway (drawn by A. Žižić),,44,60
2,3:13.0,,J. Brunson enters the game for T. Burke,44,60
2,3:00.0,C. Sexton misses 2-pt layup from 2 ft,,44,60
2,2:58.0,Offensive rebound by A. Žižić,,44,60
2,2:57.0,A. Žižić makes 2-pt layup from 1 ft,,46,60
2,2:40.0,,Turnover by J. Brunson (traveling),46,60
2,2:21.0,Shooting foul by D. Finney-Smith (drawn by K. Love),,46,60
2,2:21.0,K. Love makes free throw 1 of 2,,47,60
2,2:21.0,K. Love makes free throw 2 of 2,,48,60
2,2:12.0,,M. Kleber misses 3-pt jump shot from 26 ft,48,60
2,2:08.0,Defensive rebound by A. Žižić,,48,60
2,1:46.0,K. Love misses 2-pt layup from 1 ft (block by M. Kleber),,48,60
2,1:45.0,,Defensive rebound by D. Finney-Smith,48,60
2,1:41.0,,T. Hardaway makes 2-pt layup from 2 ft (assist by D. Finney-Smith),48,62
2,1:27.0,Personal foul by D. Finney-Smith (drawn by K. Love),,48,62
2,1:27.0,K. Love makes free throw 1 of 2,,49,62
2,1:27.0,K. Love makes free throw 2 of 2,,50,62
2,1:15.0,,T. Hardaway makes 2-pt layup from 2 ft,50,64
2,1:01.0,C. Osman makes 3-pt jump shot from 26 ft,,53,64
2,0:48.0,,T. Hardaway misses 2-pt jump shot from 15 ft,53,64
2,0:45.0,Defensive rebound by C. Osman,,53,64
2,0:39.0,Personal foul by D. Powell (drawn by K. Love),,53,64
2,0:39.0,K. Love makes free throw 1 of 2,,54,64
2,0:39.0,N. Stauskas enters the game for J. Clarkson,,54,64
2,0:39.0,K. Love makes free throw 2 of 2,,55,64
2,0:27.0,,D. Powell makes 2-pt dunk from 1 ft (assist by J. Brunson),55,66
2,0:06.0,K. Love makes 2-pt layup from 1 ft (assist by C. Osman),,57,66
2,0:03.0,,Personal take foul by N. Stauskas (drawn by T. Hardaway),57,66
2,0:03.0,B. Knight enters the game for C. Sexton,,57,66
2,0:03.0,,D. Harris enters the game for D. Finney-Smith,57,66
2,0:01.0,,T. Hardaway misses 3-pt jump shot from 27 ft,57,66
2,0:00.0,Defensive rebound by K. Love,,57,66
3,11:52.0,,Personal foul by B. Knight (drawn by T. Hardaway),57,66
3,11:48.0,,Personal foul by B. Knight (drawn by D. Powell),57,66
3,11:35.0,,T. Hardaway misses 3-pt jump shot from 28 ft,57,66
3,11:31.0,Defensive rebound by K. Love,,57,66
3,11:25.0,C. Sexton makes 3-pt jump shot from 26 ft (assist by C. Osman),,60,66
3,11:06.0,,J. Brunson makes 2-pt jump shot from 6 ft,60,68
3,10:46.0,C. Sexton makes 3-pt jump shot from 26 ft,,63,68
3,10:25.0,,J. Brunson makes 2-pt layup from 3 ft,63,70
3,10:12.0,C. Sexton makes 3-pt jump shot from 25 ft (assist by K. Love),,66,70
3,10:10.0,,Dallas full timeout,66,70
