QUARTER,TIME_REMAINING,TORONTO_ACTION,DETROIT_ACTION,TORONTO_SCORE,DETROIT_SCORE
1,11:40.0,,B. Brown misses 2-pt jump shot from 7 ft,0,0
1,11:38.0,Defensive rebound by J. Lin,,0,0
1,11:18.0,P. Siakam makes 2-pt jump shot from 14 ft,,2,0
1,10:53.0,,A. Drummond makes 2-pt dunk from 1 ft (assist by B. Griffin),2,2
1,10:36.0,Turnover by D. Green (traveling),,2,2
1,10:24.0,,B. Griffin misses 3-pt jump shot from 27 ft,2,2
1,10:21.0,Defensive rebound by J. Lin,,2,2
1,10:10.0,K. Leonard misses 2-pt hook shot from 5 ft,,2,2
1,10:08.0,,Defensive rebound by B. Brown,2,2
1,9:56.0,,B. Brown makes 2-pt layup from 3 ft (assist by B. Griffin),2,4
1,9:46.0,Personal foul by W. Ellington (drawn by K. Leonard),,2,4
1,9:35.0,Shooting foul by A. Drummond (drawn by M. Gasol),,2,4
1,9:35.0,M. Gasol makes free throw 1 of 2,,3,4
1,9:35.0,M. Gasol makes free throw 2 of 2,,4,4
1,9:24.0,,R. Jackson makes 3-pt jump shot from 26 ft (assist by B. Griffin),4,7
1,9:12.0,P. Siakam misses 2-pt jump shot from 20 ft,,4,7
1,9:12.0,,Defensive rebound by Team,4,7
1,9:12.0,Loose ball foul by P. Siakam (drawn by B. Griffin),,4,7
1,9:00.0,,B. Griffin makes 3-pt jump shot from 25 ft,4,10
1,8:38.0,J. Lin misses 2-pt layup from 2 ft,,4,10
1,8:36.0,Offensive rebound by M. Gasol,,4,10
1,8:34.0,D. Green misses 3-pt jump shot from 26 ft,,4,10
1,8:31.0,,Defensive rebound by A. Drummond,4,10
1,8:22.0,,B. Griffin misses 2-pt layup from 3 ft (block by M. Gasol),4,10
1,8:22.0,,Offensive rebound by Team,4,10
1,8:11.0,,B. Griffin misses 2-pt jump shot from 17 ft,4,10
1,8:09.0,,Offensive rebound by A. Drummond,4,10
1,8:07.0,,A. Drummond misses 2-pt layup at rim,4,10
1,8:07.0,,Offensive rebound by A. Drummond,4,10
1,8:03.0,,A. Drummond makes 2-pt layup at rim,4,12
1,7:51.0,Turnover by K. Leonard (bad pass; steal by R. Jackson),,4,12
1,7:42.0,,R. Jackson makes 2-pt layup from 2 ft (assist by W. Ellington),4,14
1,7:42.0,Toronto full timeout,,4,14
1,7:28.0,Shooting foul by W. Ellington (drawn by K. Leonard),,4,14
1,7:28.0,K. Leonard makes free throw 1 of 2,,5,14
1,7:28.0,K. Leonard makes free throw 2 of 2,,6,14
1,7:14.0,,B. Griffin misses 3-pt jump shot from 26 ft,6,14
1,7:12.0,Defensive rebound by M. Gasol,,6,14
1,7:00.0,M. Gasol misses 2-pt jump shot from 16 ft,,6,14
1,6:57.0,,Defensive rebound by W. Ellington,6,14
1,6:48.0,,A. Drummond misses 2-pt jump shot from 10 ft,6,14
1,6:44.0,Defensive rebound by K. Leonard,,6,14
1,6:39.0,P. Siakam misses 3-pt jump shot from 23 ft,,6,14
1,6:35.0,,Defensive rebound by B. Griffin,6,14
1,6:22.0,,Offensive foul by B. Griffin (drawn by M. Gasol),6,14
1,6:22.0,,Turnover by B. Griffin (offensive foul),6,14
1,6:22.0,,L. Kennard enters the game for W. Ellington,6,14
1,6:08.0,K. Leonard misses 2-pt jump shot from 11 ft,,6,14
1,6:06.0,,Defensive rebound by A. Drummond,6,14
1,6:06.0,,Shooting foul by D. Green (drawn by B. Griffin),6,14
1,6:06.0,,B. Griffin makes free throw 1 of 2,6,15
1,6:06.0,,B. Griffin makes free throw 2 of 2,6,16
1,5:42.0,D. Green makes 3-pt jump shot from 24 ft,,9,16
1,5:30.0,,Shooting foul by J. Lin (drawn by R. Jackson),9,16
1,5:30.0,,R. Jackson misses free throw 1 of 2,9,16
1,5:30.0,,Offensive rebound by Team,9,16
1,5:30.0,,R. Jackson makes free throw 2 of 2,9,17
1,5:12.0,K. Leonard misses 2-pt jump shot from 14 ft,,9,17
1,5:09.0,,Defensive rebound by B. Griffin,9,17
1,4:59.0,,B. Brown misses 3-pt jump shot from 24 ft,9,17
1,4:56.0,Defensive rebound by M. Gasol,,9,17
1,4:50.0,M. Gasol makes 3-pt jump shot from 27 ft (assist by J. Lin),,12,17
1,4:47.0,,Offensive foul by A. Drummond (drawn by M. Gasol),12,17
1,4:47.0,,Turnover by A. Drummond (offensive foul),12,17
1,4:47.0,,Z. Pachulia enters the game for A. Drummond,12,17
1,4:37.0,J. Lin misses 3-pt jump shot from 27 ft,,12,17
1,4:32.0,,Defensive rebound by Z. Pachulia,12,17
