QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,SAN ANTONIO_ACTION,GOLDEN STATE_SCORE,SAN ANTONIO_SCORE
1,11:51.0,Offensive foul by A. Bogut (drawn by B. Forbes),,0,0
1,11:51.0,Turnover by A. Bogut (offensive foul),,0,0
1,11:37.0,,D. DeRozan misses 2-pt jump shot from 13 ft (block by K. Thompson),0,0
1,11:34.0,Defensive rebound by D. Green,,0,0
1,11:31.0,K. Thompson misses 2-pt jump shot from 20 ft,,0,0
1,11:28.0,,Defensive rebound by L. Aldridge,0,0
1,11:17.0,,D. DeRozan makes 2-pt jump shot from 14 ft,0,2
1,11:00.0,K. Durant misses 2-pt layup from 2 ft (block by B. Forbes),,0,2
1,11:00.0,Offensive rebound by Team,,0,2
1,10:58.0,K. Thompson misses 2-pt jump shot from 18 ft,,0,2
1,10:55.0,,Defensive rebound by L. Aldridge,0,2
1,10:48.0,,L. Aldridge makes 3-pt jump shot from 25 ft (assist by D. White),0,5
1,10:39.0,A. Bogut makes 2-pt dunk from 1 ft (assist by S. Curry),,2,5
1,10:25.0,,D. DeRozan misses 2-pt jump shot from 17 ft,2,5
1,10:22.0,Defensive rebound by K. Thompson,,2,5
1,10:11.0,D. Green makes 3-pt jump shot from 26 ft (assist by K. Thompson),,5,5
1,9:55.0,,L. Aldridge makes 2-pt jump shot from 17 ft (assist by D. DeRozan),5,7
1,9:43.0,K. Thompson misses 2-pt jump shot from 15 ft,,5,7
1,9:40.0,,Defensive rebound by D. DeRozan,5,7
1,9:26.0,,L. Aldridge misses 2-pt jump shot from 13 ft,5,7
1,9:24.0,Defensive rebound by S. Curry,,5,7
1,9:11.0,K. Thompson misses 3-pt jump shot from 22 ft,,5,7
1,9:09.0,,Defensive rebound by D. White,5,7
1,8:58.0,,Turnover by D. White (lost ball; steal by A. Bogut),5,7
1,8:45.0,K. Thompson misses 3-pt jump shot from 25 ft,,5,7
1,8:41.0,,Defensive rebound by L. Aldridge,5,7
1,8:31.0,,J. Poeltl misses 2-pt layup from 2 ft,5,7
1,8:28.0,Defensive rebound by A. Bogut,,5,7
1,8:24.0,S. Curry misses 3-pt jump shot from 25 ft,,5,7
1,8:19.0,,Defensive rebound by B. Forbes,5,7
1,8:09.0,,B. Forbes misses 3-pt jump shot from 25 ft,5,7
1,8:05.0,Defensive rebound by A. Bogut,,5,7
1,8:02.0,K. Durant makes 2-pt layup from 2 ft (assist by S. Curry),,7,7
1,7:49.0,,Personal foul by S. Curry (drawn by B. Forbes),7,7
1,7:37.0,,D. White makes 2-pt jump shot from 18 ft,7,9
1,7:22.0,Turnover by D. Green (bad pass; steal by D. White),,7,9
1,7:18.0,,D. White misses 2-pt jump shot from 17 ft,7,9
1,7:11.0,Defensive rebound by K. Durant,,7,9
1,7:07.0,K. Durant misses 2-pt jump shot from 20 ft,,7,9
1,7:02.0,Offensive rebound by S. Curry,,7,9
1,7:01.0,S. Curry misses 2-pt jump shot from 13 ft,,7,9
1,6:59.0,,Defensive rebound by D. DeRozan,7,9
1,6:43.0,,D. White makes 3-pt jump shot from 27 ft (assist by L. Aldridge),7,12
1,6:36.0,Shooting foul by D. White (drawn by K. Durant),,7,12
1,6:36.0,,San Antonio full timeout,7,12
1,6:36.0,K. Durant makes free throw 1 of 3,,8,12
1,6:36.0,K. Durant makes free throw 2 of 3,,9,12
1,6:36.0,K. Durant makes free throw 3 of 3,,10,12
1,6:14.0,,B. Forbes misses 2-pt jump shot from 7 ft,10,12
1,6:12.0,Defensive rebound by S. Curry,,10,12
1,6:07.0,A. Bogut makes 2-pt dunk from 1 ft (assist by S. Curry),,12,12
1,6:07.0,Shooting foul by J. Poeltl (drawn by A. Bogut),,12,12
1,6:07.0,,M. Belinelli enters the game for B. Forbes,12,12
1,6:07.0,,R. Gay enters the game for J. Poeltl,12,12
1,6:07.0,,P. Mills enters the game for D. White,12,12
1,6:07.0,A. Bogut makes free throw 1 of 1,,13,12
1,5:43.0,,Turnover by P. Mills (bad pass; steal by S. Curry),13,12
1,5:38.0,S. Curry misses 2-pt layup from 2 ft,,13,12
1,5:36.0,,Defensive rebound by R. Gay,13,12
1,5:24.0,,R. Gay makes 2-pt jump shot from 20 ft,13,14
1,5:04.0,S. Curry misses 3-pt jump shot from 26 ft,,13,14
1,5:00.0,,Defensive rebound by L. Aldridge,13,14
1,4:55.0,,R. Gay misses 3-pt jump shot from 23 ft,13,14
1,4:52.0,Defensive rebound by K. Thompson,,13,14
1,4:42.0,K. Thompson misses 2-pt jump shot from 16 ft,,13,14
1,4:42.0,,Defensive rebound by M. Belinelli,13,14
1,4:28.0,,Personal foul by D. Green (drawn by L. Aldridge),13,14
1,4:28.0,K. Looney enters the game for A. Bogut,,13,14
1,4:28.0,A. McKinnie enters the game for K. Durant,,13,14
1,4:20.0,,D. DeRozan makes 2-pt jump shot from 10 ft (assist by P. Mills),13,16
1,4:01.0,S. Curry misses 3-pt jump shot from 22 ft,,13,16
1,3:59.0,Offensive rebound by K. Looney,,13,16
1,3:51.0,Shooting foul by M. Belinelli (drawn by D. Green),,13,16
1,3:51.0,D. Green misses free throw 1 of 2,,13,16
1,3:51.0,Offensive rebound by Team,,13,16
1,3:51.0,S. Livingston enters the game for K. Thompson,,13,16
1,3:51.0,,D. Bertāns enters the game for D. DeRozan,13,16
1,3:51.0,D. Green misses free throw 2 of 2,,13,16
1,3:48.0,,Defensive rebound by R. Gay,13,16
1,3:36.0,,Shooting foul by K. Looney (drawn by R. Gay),13,16
1,3:36.0,,R. Gay makes free throw 1 of 2,13,17
1,3:36.0,,R. Gay makes free throw 2 of 2,13,18
1,3:16.0,A. McKinnie makes 2-pt layup from 1 ft (assist by D. Green),,15,18
1,2:48.0,,M. Belinelli makes 2-pt jump shot from 21 ft (assist by R. Gay),15,20
1,2:39.0,Golden State full timeout,,15,20
1,2:32.0,S. Curry misses 2-pt layup from 2 ft (block by L. Aldridge),,15,20
1,2:29.0,,Defensive rebound by P. Mills,15,20
1,2:26.0,,M. Belinelli misses 3-pt jump shot from 25 ft,15,20
1,2:24.0,Defensive rebound by A. McKinnie,,15,20
1,2:17.0,K. Looney makes 2-pt dunk from 1 ft (assist by S. Curry),,17,20
1,2:00.0,,Personal foul by S. Curry (drawn by M. Belinelli),17,20
1,1:45.0,,R. Gay misses 2-pt jump shot from 10 ft,17,20
1,1:42.0,Defensive rebound by K. Looney,,17,20
1,1:34.0,S. Curry misses 3-pt jump shot from 25 ft,,17,20
1,1:30.0,,Defensive rebound by M. Belinelli,17,20
1,1:18.0,,P. Mills makes 3-pt jump shot from 25 ft (assist by L. Aldridge),17,23
1,1:03.0,A. McKinnie makes 2-pt dunk from 2 ft (assist by D. Green),,19,23
1,0:51.0,,P. Mills misses 3-pt jump shot from 27 ft,19,23
1,0:49.0,Defensive rebound by S. Curry,,19,23
1,0:31.0,D. Green misses 3-pt jump shot from 25 ft,,19,23
1,0:27.0,Offensive rebound by A. McKinnie,,19,23
1,0:18.0,S. Curry makes 2-pt layup from 2 ft,,21,23
1,0:18.0,Shooting foul by R. Gay (drawn by S. Curry),,21,23
1,0:18.0,S. Curry makes free throw 1 of 1,,22,23
1,0:01.0,,R. Gay makes 2-pt layup from 1 ft,22,25
1,0:00.0,S. Curry makes 3-pt jump shot from 60 ft,,25,25
2,11:39.0,,R. Gay makes 2-pt jump shot from 15 ft,25,27
2,11:20.0,K. Durant misses 2-pt jump shot from 18 ft,,25,27
2,11:18.0,,Defensive rebound by D. Bertāns,25,27
2,11:13.0,,P. Mills misses 2-pt layup at rim,25,27
2,11:11.0,Defensive rebound by J. Bell,,25,27
2,11:04.0,J. Bell makes 2-pt dunk from 1 ft (assist by Q. Cook),,27,27
