QUARTER,TIME_REMAINING,BROOKLYN_ACTION,SACRAMENTO_ACTION,BROOKLYN_SCORE,SACRAMENTO_SCORE
1,11:42.0,D. Russell misses 2-pt jump shot from 17 ft,,0,0
1,11:38.0,,Defensive rebound by W. Cauley-Stein,0,0
1,11:19.0,,D. Fox misses 3-pt jump shot from 24 ft,0,0
1,11:17.0,Defensive rebound by R. Kurucs,,0,0
1,11:09.0,J. Allen misses 2-pt hook shot from 5 ft,,0,0
1,11:06.0,,Defensive rebound by N. Bjelica,0,0
1,10:58.0,,Turnover by H. Barnes (bad pass; steal by J. Harris),0,0
1,10:37.0,D. Russell makes 2-pt jump shot from 13 ft,,2,0
1,10:26.0,,W. Cauley-Stein makes 2-pt layup from 1 ft,2,2
1,10:15.0,R. Kurucs misses 3-pt jump shot from 25 ft,,2,2
1,10:11.0,,Defensive rebound by W. Cauley-Stein,2,2
1,10:06.0,,D. Fox makes 2-pt jump shot from 13 ft,2,4
1,9:56.0,D. Russell misses 3-pt jump shot from 26 ft,,2,4
1,9:53.0,,Defensive rebound by N. Bjelica,2,4
1,9:46.0,,B. Hield makes 2-pt layup from 2 ft (assist by D. Fox),2,6
1,9:25.0,C. LeVert misses 2-pt layup from 2 ft,,2,6
1,9:22.0,Offensive rebound by C. LeVert,,2,6
1,9:20.0,D. Russell makes 3-pt jump shot from 25 ft (assist by C. LeVert),,5,6
1,9:01.0,,N. Bjelica misses 2-pt layup from 3 ft (block by R. Kurucs),5,6
1,9:01.0,,Offensive rebound by Team,5,6
1,8:52.0,,B. Hield makes 2-pt layup from 4 ft (assist by W. Cauley-Stein),5,8
1,8:42.0,J. Harris makes 2-pt jump shot from 20 ft,,7,8
1,8:23.0,,D. Fox misses 2-pt jump shot from 9 ft,7,8
1,8:21.0,,Offensive rebound by B. Hield,7,8
1,8:19.0,,Turnover by B. Hield (lost ball; steal by R. Kurucs),7,8
1,8:15.0,C. LeVert makes 2-pt dunk from 1 ft (assist by D. Russell),,9,8
1,8:09.0,,B. Hield misses 3-pt jump shot from 25 ft,9,8
