QUARTER,TIME_REMAINING,MEMPHIS_ACTION,ORLANDO_ACTION,MEMPHIS_SCORE,ORLANDO_SCORE
1,11:48.0,,A. Gordon misses 2-pt layup from 7 ft (block by J. Valančiūnas),0,0
1,11:48.0,,Offensive rebound by Team,0,0
1,11:46.0,,N. Vučević misses 2-pt layup from 2 ft,0,0
1,11:44.0,Defensive rebound by D. Wright,,0,0
1,11:32.0,B. Caboclo misses 2-pt jump shot from 8 ft,,0,0
1,11:29.0,,Defensive rebound by J. Isaac,0,0
1,11:15.0,,E. Fournier misses 2-pt jump shot from 14 ft,0,0
1,11:12.0,Defensive rebound by D. Wright,,0,0
1,11:04.0,J. Valančiūnas misses 3-pt jump shot from 26 ft,,0,0
1,11:01.0,Offensive rebound by B. Caboclo,,0,0
1,10:58.0,D. Wright misses 3-pt jump shot from 23 ft,,0,0
1,10:55.0,,Defensive rebound by D. Augustin,0,0
1,10:44.0,,N. Vučević misses 2-pt jump shot from 17 ft,0,0
1,10:42.0,Defensive rebound by T. Dorsey,,0,0
1,10:36.0,T. Dorsey makes 2-pt jump shot from 10 ft,,2,0
1,10:20.0,,E. Fournier misses 2-pt jump shot from 11 ft,2,0
1,10:18.0,,Offensive rebound by N. Vučević,2,0
1,10:16.0,,D. Augustin misses 3-pt jump shot from 26 ft,2,0
1,10:12.0,Defensive rebound by B. Caboclo,,2,0
1,10:06.0,T. Dorsey makes 3-pt jump shot from 26 ft (assist by D. Wright),,5,0
1,9:51.0,,Shooting foul by B. Caboclo (drawn by J. Isaac),5,0
1,9:51.0,,J. Isaac makes free throw 1 of 2,5,1
1,9:51.0,,J. Isaac misses free throw 2 of 2,5,1
1,9:49.0,Defensive rebound by J. Valančiūnas,,5,1
1,9:37.0,J. Valančiūnas makes 2-pt hook shot from 9 ft (assist by T. Dorsey),,7,1
1,9:21.0,,Personal foul by J. Holiday (drawn by A. Gordon),7,1
1,9:11.0,,A. Gordon misses 3-pt jump shot from 27 ft,7,1
1,9:08.0,Defensive rebound by J. Valančiūnas,,7,1
1,9:00.0,J. Valančiūnas makes 3-pt jump shot from 26 ft (assist by D. Wright),,10,1
1,8:47.0,,J. Isaac misses 2-pt jump shot from 13 ft,10,1
1,8:43.0,Defensive rebound by T. Dorsey,,10,1
1,8:27.0,D. Wright misses 2-pt jump shot from 17 ft,,10,1
1,8:25.0,Offensive rebound by D. Wright,,10,1
1,8:21.0,B. Caboclo makes 3-pt jump shot from 23 ft (assist by D. Wright),,13,1
1,8:17.0,,Orlando full timeout,13,1
1,8:05.0,,N. Vučević makes 2-pt hook shot from 9 ft (assist by J. Isaac),13,3
1,7:50.0,T. Dorsey makes 3-pt jump shot from 25 ft (assist by J. Valančiūnas),,16,3
1,7:28.0,,E. Fournier makes 3-pt jump shot from 23 ft (assist by J. Isaac),16,6
