QUARTER,TIME_REMAINING,DETROIT_ACTION,PORTLAND_ACTION,DETROIT_SCORE,PORTLAND_SCORE
1,11:42.0,Turnover by R. Jackson (bad pass; steal by M. Harkless),,0,0
1,11:34.0,,A. Aminu makes 2-pt dunk at rim (assist by M. Harkless),0,2
1,11:24.0,Turnover by B. Griffin (out of bounds lost ball),,0,2
1,11:01.0,,J. Layman misses 3-pt jump shot from 25 ft,0,2
1,10:58.0,Defensive rebound by W. Ellington,,0,2
1,10:45.0,R. Jackson makes 3-pt jump shot from 27 ft (assist by W. Ellington),,3,2
1,10:23.0,,M. Harkless misses 2-pt layup from 1 ft,3,2
1,10:21.0,Defensive rebound by A. Drummond,,3,2
1,10:16.0,B. Griffin makes 2-pt layup from 2 ft (assist by R. Jackson),,5,2
1,9:55.0,,J. Nurkić misses 2-pt hook shot from 3 ft,5,2
1,9:54.0,,Offensive rebound by A. Aminu,5,2
1,9:54.0,,Shooting foul by R. Jackson (drawn by A. Aminu),5,2
1,9:54.0,,A. Aminu makes free throw 1 of 2,5,3
1,9:54.0,,A. Aminu makes free throw 2 of 2,5,4
1,9:40.0,B. Griffin makes 2-pt layup from 1 ft,,7,4
1,9:22.0,,Turnover by J. Nurkić (bad pass; steal by W. Ellington),7,4
1,9:13.0,A. Drummond makes 2-pt jump shot from 10 ft,,9,4
1,8:55.0,,A. Aminu makes 3-pt jump shot from 24 ft (assist by D. Lillard),9,7
1,8:40.0,R. Jackson misses 2-pt jump shot from 19 ft,,9,7
1,8:36.0,Offensive rebound by A. Drummond,,9,7
1,8:36.0,A. Drummond misses 2-pt layup at rim,,9,7
1,8:36.0,,Defensive rebound by D. Lillard,9,7
1,8:21.0,,J. Nurkić makes 2-pt hook shot from 6 ft (assist by A. Aminu),9,9
1,8:01.0,W. Ellington misses 3-pt jump shot from 29 ft,,9,9
1,7:59.0,,Defensive rebound by M. Harkless,9,9
1,7:53.0,,Personal foul by A. Drummond (drawn by D. Lillard),9,9
1,7:47.0,,Turnover by D. Lillard (bad pass; steal by B. Griffin),9,9
1,7:36.0,Shooting foul by J. Layman (drawn by R. Jackson),,9,9
1,7:36.0,R. Jackson makes free throw 1 of 2,,10,9
1,7:36.0,R. Jackson makes free throw 2 of 2,,11,9
1,7:23.0,,M. Harkless misses 2-pt dunk from 2 ft,11,9
1,7:20.0,Defensive rebound by A. Drummond,,11,9
1,7:08.0,R. Jackson makes 3-pt jump shot from 26 ft (assist by B. Griffin),,14,9
1,6:54.0,,M. Harkless makes 3-pt jump shot from 25 ft (assist by D. Lillard),14,12
1,6:41.0,,Portland full timeout,14,12
1,6:35.0,W. Ellington misses 3-pt jump shot from 24 ft,,14,12
1,6:32.0,,Defensive rebound by D. Lillard,14,12
1,6:27.0,,Shooting foul by B. Griffin (drawn by J. Nurkić),14,12
1,6:27.0,,J. Nurkić misses free throw 1 of 2,14,12
1,6:27.0,,Offensive rebound by Team,14,12
1,6:27.0,,J. Nurkić makes free throw 2 of 2,14,13
1,6:13.0,B. Griffin misses 3-pt jump shot from 23 ft,,14,13
1,6:10.0,Offensive rebound by B. Brown,,14,13
1,6:00.0,R. Jackson makes 2-pt layup from 1 ft,,16,13
1,5:49.0,,D. Lillard makes 3-pt jump shot from 30 ft,16,16
1,5:41.0,A. Drummond misses 2-pt layup from 1 ft,,16,16
1,5:39.0,,Defensive rebound by A. Aminu,16,16
1,5:32.0,,D. Lillard makes 3-pt jump shot from 25 ft,16,19
1,5:18.0,B. Griffin misses 3-pt jump shot from 24 ft,,16,19
1,5:15.0,,Defensive rebound by J. Nurkić,16,19
1,5:05.0,,Personal foul by R. Jackson (drawn by A. Aminu),16,19
1,5:05.0,L. Kennard enters the game for W. Ellington,,16,19
1,5:05.0,I. Smith enters the game for R. Jackson,,16,19
1,5:05.0,,R. Hood enters the game for J. Layman,16,19
1,4:55.0,,M. Harkless misses 3-pt jump shot from 23 ft,16,19
1,4:49.0,,Offensive rebound by R. Hood,16,19
1,4:45.0,,R. Hood misses 2-pt jump shot from 12 ft,16,19
1,4:42.0,Defensive rebound by A. Drummond,,16,19
1,4:25.0,B. Griffin misses 2-pt layup from 1 ft,,16,19
1,4:24.0,,Defensive rebound by J. Nurkić,16,19
1,4:15.0,,D. Lillard makes 2-pt layup from 1 ft,16,21
1,4:08.0,Detroit full timeout,,16,21
1,4:08.0,L. Galloway enters the game for B. Brown,,16,21
1,4:08.0,,S. Curry enters the game for M. Harkless,16,21
1,3:50.0,B. Griffin makes 3-pt jump shot from 24 ft,,19,21
1,3:29.0,,J. Nurkić misses 2-pt jump shot from 19 ft,19,21
1,3:27.0,Defensive rebound by I. Smith,,19,21
1,3:08.0,B. Griffin misses 2-pt layup from 4 ft (block by R. Hood),,19,21
1,3:08.0,,Defensive rebound by J. Nurkić,19,21
1,3:00.0,,D. Lillard makes 3-pt jump shot from 26 ft (assist by J. Nurkić),19,24
1,2:42.0,Shooting foul by A. Aminu (drawn by B. Griffin),,19,24
1,2:42.0,B. Griffin makes free throw 1 of 2,,20,24
1,2:42.0,B. Griffin makes free throw 2 of 2,,21,24
1,2:30.0,,A. Aminu makes 2-pt dunk at rim (assist by D. Lillard),21,26
1,2:18.0,I. Smith misses 2-pt layup from 3 ft (block by J. Nurkić),,21,26
1,2:18.0,,Defensive rebound by D. Lillard,21,26
1,2:11.0,,S. Curry makes 2-pt jump shot from 17 ft (assist by D. Lillard),21,28
1,1:54.0,L. Kennard misses 2-pt jump shot from 16 ft,,21,28
1,1:51.0,,Defensive rebound by A. Aminu,21,28
1,1:40.0,,S. Curry makes 2-pt layup from 1 ft,21,30
1,1:27.0,A. Drummond makes 2-pt dunk at rim (assist by I. Smith),,23,30
1,1:08.0,,A. Aminu misses 2-pt dunk from 2 ft,23,30
1,1:06.0,Defensive rebound by L. Kennard,,23,30
1,1:00.0,L. Galloway makes 3-pt jump shot from 25 ft (assist by L. Kennard),,26,30
1,0:49.0,,Personal foul by A. Drummond (drawn by S. Curry),26,30
1,0:49.0,,S. Curry makes free throw 1 of 2,26,31
1,0:49.0,T. Maker enters the game for A. Drummond,,26,31
1,0:49.0,,E. Freedom enters the game for J. Nurkić,26,31
1,0:49.0,,S. Curry makes free throw 2 of 2,26,32
1,0:44.0,Personal foul by D. Lillard (drawn by B. Griffin),,26,32
1,0:35.0,L. Kennard makes 2-pt layup at rim (assist by B. Griffin),,28,32
