QUARTER,TIME_REMAINING,TORONTO_ACTION,NEW YORK_ACTION,TORONTO_SCORE,NEW YORK_SCORE
1,11:45.0,F. VanVleet misses 2-pt layup from 1 ft,,0,0
1,11:43.0,,Defensive rebound by D. Jordan,0,0
1,11:21.0,,D. Jordan misses 2-pt layup from 6 ft (block by P. Siakam),0,0
1,11:20.0,,Offensive rebound by Team,0,0
1,11:20.0,,Turnover by Team (shot clock),0,0
1,11:10.0,Shooting foul by D. Jordan (drawn by M. Gasol),,0,0
1,11:10.0,M. Gasol makes free throw 1 of 2,,1,0
1,11:10.0,M. Gasol makes free throw 2 of 2,,2,0
1,10:53.0,,Turnover by D. Jordan (lost ball; steal by K. Lowry),2,0
1,10:48.0,P. Siakam misses 3-pt jump shot from 22 ft,,2,0
1,10:46.0,,Defensive rebound by D. Jordan,2,0
1,10:37.0,,E. Mudiay makes 2-pt jump shot from 17 ft,2,2
1,10:29.0,P. Siakam makes 2-pt dunk at rim (assist by K. Lowry),,4,2
1,10:10.0,,M. Hezonja makes 2-pt layup from 1 ft,4,4
1,9:58.0,M. Gasol misses 3-pt jump shot from 26 ft,,4,4
1,9:56.0,,Defensive rebound by D. Jordan,4,4
1,9:48.0,,Turnover by M. Hezonja (lost ball; steal by P. Siakam),4,4
1,9:42.0,D. Green makes 3-pt jump shot from 26 ft,,7,4
1,9:27.0,,M. Hezonja makes 2-pt dunk at rim (assist by D. Jordan),7,6
1,9:04.0,D. Green makes 3-pt jump shot from 24 ft (assist by M. Gasol),,10,6
1,8:52.0,,E. Mudiay makes 2-pt jump shot from 14 ft (assist by D. Jordan),10,8
1,8:45.0,F. VanVleet misses 2-pt layup from 1 ft (block by K. Knox),,10,8
1,8:43.0,,Defensive rebound by M. Hezonja,10,8
1,8:36.0,,K. Knox misses 3-pt jump shot from 25 ft,10,8
1,8:34.0,Defensive rebound by M. Gasol,,10,8
1,8:23.0,P. Siakam misses 2-pt hook shot from 9 ft,,10,8
1,8:21.0,,Defensive rebound by M. Hezonja,10,8
1,8:12.0,,E. Mudiay misses 2-pt jump shot from 16 ft,10,8
1,8:10.0,Defensive rebound by M. Gasol,,10,8
1,8:01.0,M. Gasol misses 2-pt jump shot from 19 ft,,10,8
1,7:59.0,,Defensive rebound by D. Jordan,10,8
1,7:53.0,,M. Hezonja misses 2-pt jump shot from 14 ft,10,8
1,7:51.0,Defensive rebound by K. Lowry,,10,8
1,7:47.0,P. Siakam makes 2-pt layup from 1 ft (assist by F. VanVleet),,12,8
1,7:28.0,,Shooting foul by D. Green (drawn by K. Knox),12,8
1,7:28.0,,K. Knox misses free throw 1 of 2,12,8
1,7:28.0,,Offensive rebound by Team,12,8
1,7:28.0,,K. Knox misses free throw 2 of 2,12,8
1,7:26.0,Defensive rebound by M. Gasol,,12,8
1,7:12.0,K. Lowry misses 3-pt jump shot from 30 ft,,12,8
1,7:10.0,,Defensive rebound by D. Jordan,12,8
1,7:01.0,,Shooting foul by K. Lowry (drawn by D. Jordan),12,8
1,7:01.0,,D. Jordan makes free throw 1 of 2,12,9
1,7:01.0,,D. Jordan makes free throw 2 of 2,12,10
1,6:45.0,K. Lowry makes 2-pt layup from 2 ft (assist by M. Gasol),,14,10
1,6:33.0,,Turnover by E. Mudiay (bad pass; steal by M. Gasol),14,10
