QUARTER,TIME_REMAINING,LA LAKERS_ACTION,LA CLIPPERS_ACTION,LA LAKERS_SCORE,LA CLIPPERS_SCORE
1,11:42.0,J. McGee misses 2-pt hook shot from 6 ft,,0,0
1,11:40.0,,Defensive rebound by I. Zubac,0,0
1,11:33.0,,Personal foul by M. Wagner (drawn by I. Zubac),0,0
1,11:21.0,,D. Gallinari misses 2-pt jump shot from 6 ft,0,0
1,11:20.0,Defensive rebound by J. McGee,,0,0
1,11:17.0,R. Rondo makes 2-pt layup from 2 ft,,2,0
1,11:17.0,Shooting foul by G. Temple (drawn by R. Rondo),,2,0
1,11:17.0,R. Rondo misses free throw 1 of 1,,2,0
1,11:10.0,,Defensive rebound by S. Gilgeous-Alexander,2,0
1,11:02.0,,G. Temple makes 2-pt jump shot from 15 ft (assist by D. Gallinari),2,2
1,10:40.0,J. McGee misses 3-pt jump shot from 25 ft,,2,2
1,10:37.0,,Defensive rebound by S. Gilgeous-Alexander,2,2
1,10:29.0,,I. Zubac misses 2-pt layup from 2 ft (block by J. McGee),2,2
1,10:26.0,Defensive rebound by A. Caruso,,2,2
1,10:25.0,J. McGee makes 2-pt dunk from 2 ft (assist by R. Rondo),,4,2
1,10:06.0,,G. Temple makes 2-pt jump shot from 19 ft,4,4
1,9:48.0,Personal foul by S. Gilgeous-Alexander (drawn by M. Wagner),,4,4
1,9:48.0,Offensive foul by R. Rondo (drawn by S. Gilgeous-Alexander),,4,4
1,9:48.0,Turnover by R. Rondo (offensive foul),,4,4
1,9:38.0,,S. Gilgeous-Alexander makes 2-pt layup from 2 ft,4,6
1,9:26.0,K. Caldwell-Pope makes 2-pt layup from 2 ft,,6,6
1,9:14.0,,I. Zubac makes 2-pt dunk from 2 ft (assist by D. Gallinari),6,8
1,9:01.0,R. Rondo misses 2-pt layup from 4 ft,,6,8
1,8:58.0,,Defensive rebound by G. Temple,6,8
1,8:57.0,,L. Shamet misses 3-pt jump shot from 26 ft,6,8
1,8:53.0,Defensive rebound by K. Caldwell-Pope,,6,8
1,8:51.0,Personal foul by L. Shamet (drawn by M. Wagner),,6,8
1,8:45.0,M. Wagner misses 2-pt hook shot from 5 ft,,6,8
1,8:42.0,,Defensive rebound by I. Zubac,6,8
1,8:41.0,,Turnover by I. Zubac (lost ball; steal by M. Wagner),6,8
1,8:40.0,M. Wagner misses 2-pt layup from 2 ft,,6,8
1,8:39.0,,Defensive rebound by D. Gallinari,6,8
1,8:31.0,,L. Shamet misses 2-pt jump shot from 12 ft,6,8
1,8:29.0,Defensive rebound by A. Caruso,,6,8
1,8:21.0,J. McGee makes 2-pt dunk from 1 ft (assist by R. Rondo),,8,8
1,8:03.0,,S. Gilgeous-Alexander misses 3-pt jump shot from 25 ft,8,8
1,8:03.0,,Offensive rebound by Team,8,8
1,8:03.0,Loose ball foul by J. McGee (drawn by I. Zubac),,8,8
1,7:52.0,,Shooting foul by M. Wagner (drawn by D. Gallinari),8,8
1,7:52.0,,D. Gallinari makes free throw 1 of 2,8,9
1,7:52.0,M. Muscala enters the game for M. Wagner,,8,9
1,7:52.0,,D. Gallinari makes free throw 2 of 2,8,10
1,7:35.0,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,,8,10
1,7:31.0,,Defensive rebound by I. Zubac,8,10
1,7:21.0,,L. Shamet misses 3-pt jump shot from 25 ft,8,10
1,7:19.0,Defensive rebound by K. Caldwell-Pope,,8,10
1,7:08.0,Turnover by M. Muscala (bad pass; steal by S. Gilgeous-Alexander),,8,10
1,7:06.0,,S. Gilgeous-Alexander makes 2-pt layup from 1 ft,8,12
1,6:52.0,J. McGee makes 2-pt jump shot from 4 ft (assist by R. Rondo),,10,12
