QUARTER,TIME_REMAINING,DETROIT_ACTION,MILWAUKEE_ACTION,DETROIT_SCORE,MILWAUKEE_SCORE
1,11:42.0,L. Kennard makes 3-pt jump shot from 26 ft (assist by R. Jackson),,3,0
1,11:27.0,,B. Lopez makes 2-pt jump shot from 2 ft (assist by K. Middleton),3,2
1,11:07.0,Shooting foul by E. Bledsoe (drawn by R. Jackson),,3,2
1,11:07.0,R. Jackson makes free throw 1 of 2,,4,2
1,11:07.0,R. Jackson misses free throw 2 of 2,,4,2
1,11:03.0,Offensive rebound by T. Maker,,4,2
1,10:59.0,W. Ellington misses 3-pt jump shot from 29 ft,,4,2
1,10:56.0,,Defensive rebound by G. Antetokounmpo,4,2
1,10:47.0,,B. Lopez misses 2-pt jump shot from 15 ft,4,2
1,10:44.0,Defensive rebound by R. Jackson,,4,2
1,10:36.0,R. Jackson makes 2-pt jump shot from 12 ft,,6,2
1,10:13.0,,E. Bledsoe makes 3-pt jump shot from 26 ft (assist by K. Middleton),6,5
1,10:00.0,R. Jackson misses 2-pt layup from 2 ft,,6,5
1,9:56.0,Offensive rebound by R. Jackson,,6,5
1,9:55.0,T. Maker misses 3-pt jump shot from 24 ft,,6,5
1,9:52.0,,Defensive rebound by K. Middleton,6,5
1,9:50.0,,K. Middleton misses 3-pt jump shot from 27 ft,6,5
1,9:45.0,Defensive rebound by A. Drummond,,6,5
1,9:35.0,A. Drummond makes 2-pt dunk from 1 ft (assist by W. Ellington),,8,5
1,9:26.0,,Personal foul by R. Jackson (drawn by E. Bledsoe),8,5
1,9:16.0,,E. Bledsoe makes 3-pt jump shot from 26 ft,8,8
1,9:04.0,Personal foul by S. Brown (drawn by L. Kennard),,8,8
1,8:52.0,T. Maker makes 2-pt hook shot from 5 ft (assist by R. Jackson),,10,8
1,8:44.0,,K. Middleton makes 2-pt layup from 3 ft (assist by E. Bledsoe),10,10
1,8:28.0,W. Ellington misses 2-pt jump shot from 7 ft,,10,10
1,8:25.0,,Defensive rebound by B. Lopez,10,10
1,8:24.0,Violation by Team (def goaltending),,10,10
1,8:24.0,,G. Antetokounmpo makes 2-pt layup from 2 ft (assist by K. Middleton),10,12
1,8:24.0,,Shooting foul by A. Drummond (drawn by G. Antetokounmpo),10,12
1,8:24.0,,G. Antetokounmpo misses free throw 1 of 1,10,12
1,8:24.0,Defensive rebound by A. Drummond,,10,12
1,8:00.0,R. Jackson makes 3-pt jump shot from 28 ft,,13,12
1,7:53.0,,G. Antetokounmpo makes 2-pt layup from 3 ft (assist by E. Bledsoe),13,14
1,7:53.0,,Shooting foul by T. Maker (drawn by G. Antetokounmpo),13,14
1,7:53.0,,P. Connaughton enters the game for S. Brown,13,14
1,7:53.0,,G. Antetokounmpo makes free throw 1 of 1,13,15
1,7:34.0,L. Kennard misses 2-pt layup from 3 ft (block by G. Antetokounmpo),,13,15
1,7:31.0,,Defensive rebound by B. Lopez,13,15
1,7:19.0,,K. Middleton makes 3-pt jump shot from 25 ft,13,18
1,7:15.0,Detroit full timeout,,13,18
1,7:15.0,,E. İlyasova enters the game for B. Lopez,13,18
1,7:03.0,Personal foul by K. Middleton (drawn by T. Maker),,13,18
1,6:55.0,T. Maker misses 3-pt jump shot from 29 ft,,13,18
1,6:52.0,,Defensive rebound by K. Middleton,13,18
1,6:49.0,,Shooting foul by W. Ellington (drawn by K. Middleton),13,18
1,6:49.0,,K. Middleton makes free throw 1 of 2,13,19
1,6:49.0,L. Galloway enters the game for W. Ellington,,13,19
1,6:49.0,G. Robinson enters the game for T. Maker,,13,19
1,6:49.0,,K. Middleton makes free throw 2 of 2,13,20
1,6:27.0,R. Jackson misses 2-pt jump shot from 6 ft,,13,20
1,6:26.0,Offensive rebound by A. Drummond,,13,20
1,6:25.0,A. Drummond misses 2-pt layup from 4 ft,,13,20
1,6:24.0,Offensive rebound by A. Drummond,,13,20
1,6:14.0,R. Jackson makes 2-pt jump shot from 18 ft,,15,20
1,6:05.0,,Personal foul by R. Jackson (drawn by E. Bledsoe),15,20
1,6:05.0,,E. Bledsoe makes free throw 1 of 2,15,21
1,6:05.0,I. Smith enters the game for R. Jackson,,15,21
1,6:05.0,,G. Hill enters the game for P. Connaughton,15,21
1,6:05.0,,E. Bledsoe makes free throw 2 of 2,15,22
1,5:49.0,L. Kennard makes 3-pt jump shot from 27 ft (assist by A. Drummond),,18,22
1,5:33.0,,G. Hill makes 2-pt jump shot from 15 ft (assist by G. Antetokounmpo),18,24
