QUARTER,TIME_REMAINING,PORTLAND_ACTION,OKLAHOMA CITY_ACTION,PORTLAND_SCORE,OKLAHOMA CITY_SCORE
1,11:37.0,,J. Grant misses 2-pt layup from 1 ft,0,0
1,11:36.0,Defensive rebound by E. Freedom,,0,0
1,11:23.0,A. Aminu makes 3-pt jump shot from 24 ft (assist by E. Freedom),,3,0
1,11:06.0,,P. George misses 2-pt layup from 6 ft (block by C. McCollum),3,0
1,11:06.0,Defensive rebound by D. Lillard,,3,0
1,10:52.0,E. Freedom makes 2-pt jump shot from 16 ft (assist by D. Lillard),,5,0
1,10:35.0,,P. George makes 3-pt jump shot from 23 ft (assist by R. Westbrook),5,3
1,10:16.0,D. Lillard misses 3-pt jump shot from 25 ft,,5,3
1,10:15.0,,Defensive rebound by J. Grant,5,3
1,10:03.0,,Offensive foul by R. Westbrook (drawn by D. Lillard),5,3
1,10:03.0,,Turnover by R. Westbrook (offensive foul),5,3
1,9:52.0,Def 3 sec tech foul by Team,,5,3
1,9:52.0,D. Lillard makes technical free throw,,6,3
1,9:47.0,Personal foul by P. George (drawn by D. Lillard),,6,3
1,9:42.0,C. McCollum misses 2-pt jump shot from 17 ft,,6,3
1,9:38.0,,Defensive rebound by T. Ferguson,6,3
1,9:31.0,,S. Adams misses 2-pt jump shot from 3 ft (block by M. Harkless),6,3
1,9:31.0,,Offensive rebound by Team,6,3
1,9:31.0,,Oklahoma City full timeout,6,3
1,9:31.0,Technical foul by B. Donovan,,6,3
1,9:31.0,D. Lillard makes technical free throw,,7,3
1,9:27.0,,Personal foul by E. Freedom (drawn by S. Adams),7,3
1,9:23.0,,P. George makes 2-pt jump shot from 14 ft (assist by R. Westbrook),7,5
1,9:03.0,Offensive foul by C. McCollum (drawn by P. George),,7,5
1,9:03.0,Turnover by C. McCollum (offensive foul),,7,5
1,8:55.0,,R. Westbrook makes 3-pt jump shot from 26 ft (assist by T. Ferguson),7,8
