QUARTER,TIME_REMAINING,PORTLAND_ACTION,DENVER_ACTION,PORTLAND_SCORE,DENVER_SCORE
1,11:35.0,,N. Jokić misses 2-pt jump shot from 20 ft,0,0
1,11:30.0,Defensive rebound by A. Aminu,,0,0
1,11:24.0,Turnover by D. Lillard (lost ball; steal by N. Jokić),,0,0
1,11:21.0,,J. Murray makes 3-pt jump shot from 24 ft,0,3
1,11:03.0,C. McCollum makes 3-pt jump shot from 25 ft (assist by D. Lillard),,3,3
1,10:51.0,,P. Millsap misses 2-pt jump shot from 8 ft,3,3
1,10:49.0,Defensive rebound by A. Aminu,,3,3
1,10:45.0,C. McCollum misses 3-pt jump shot from 25 ft,,3,3
1,10:41.0,,Defensive rebound by P. Millsap,3,3
1,10:31.0,,P. Millsap makes 2-pt layup from 3 ft,3,5
1,10:16.0,D. Lillard misses 3-pt jump shot from 25 ft,,3,5
1,10:16.0,,Defensive rebound by N. Jokić,3,5
1,10:02.0,,P. Millsap makes 2-pt hook shot from 3 ft,3,7
1,9:49.0,E. Freedom misses 2-pt layup from 2 ft,,3,7
1,9:46.0,Offensive rebound by E. Freedom,,3,7
1,9:46.0,E. Freedom makes 2-pt layup from 1 ft,,5,7
1,9:32.0,,J. Murray misses 2-pt jump shot from 7 ft,5,7
1,9:32.0,Defensive rebound by E. Freedom,,5,7
1,9:17.0,C. McCollum misses 2-pt jump shot from 8 ft,,5,7
1,9:17.0,,Defensive rebound by G. Harris,5,7
1,9:11.0,,Shooting foul by M. Harkless (drawn by G. Harris),5,7
1,9:11.0,,G. Harris misses free throw 1 of 2,5,7
1,9:11.0,,Offensive rebound by Team,5,7
1,9:11.0,,G. Harris makes free throw 2 of 2,5,8
1,8:53.0,Turnover by C. McCollum (bad pass; steal by G. Harris),,5,8
1,8:39.0,,T. Craig misses 3-pt jump shot from 25 ft,5,8
1,8:36.0,Defensive rebound by D. Lillard,,5,8
1,8:31.0,D. Lillard misses 3-pt jump shot from 25 ft,,5,8
1,8:28.0,,Defensive rebound by P. Millsap,5,8
1,8:17.0,,J. Murray makes 3-pt jump shot from 25 ft (assist by G. Harris),5,11
1,7:55.0,E. Freedom makes 2-pt hook shot from 5 ft (assist by M. Harkless),,7,11
1,7:36.0,,P. Millsap makes 2-pt jump shot from 6 ft (assist by G. Harris),7,13
1,7:19.0,D. Lillard makes 2-pt layup from 2 ft,,9,13
1,7:08.0,,P. Millsap makes 2-pt dunk from 1 ft (assist by N. Jokić),9,15
1,6:51.0,C. McCollum makes 3-pt jump shot from 27 ft (assist by M. Harkless),,12,15
1,6:40.0,,J. Murray misses 3-pt jump shot from 24 ft,12,15
1,6:38.0,Defensive rebound by A. Aminu,,12,15
1,6:29.0,E. Freedom makes 2-pt dunk from 1 ft (assist by D. Lillard),,14,15
1,6:29.0,,Denver full timeout,14,15
1,6:13.0,,Shooting foul by A. Aminu (drawn by P. Millsap),14,15
1,6:13.0,,P. Millsap makes free throw 1 of 2,14,16
1,6:13.0,,P. Millsap makes free throw 2 of 2,14,17
1,5:56.0,E. Freedom makes 2-pt layup from 2 ft (assist by C. McCollum),,16,17
1,5:47.0,,N. Jokić makes 3-pt jump shot from 25 ft,16,20
1,5:26.0,C. McCollum makes 2-pt jump shot from 9 ft,,18,20
1,5:06.0,,Turnover by P. Millsap (traveling),18,20
1,4:50.0,C. McCollum makes 2-pt jump shot from 8 ft (assist by D. Lillard),,20,20
1,4:36.0,,N. Jokić makes 2-pt jump shot from 9 ft (assist by J. Murray),20,22
1,4:19.0,A. Aminu makes 2-pt jump shot from 7 ft,,22,22
1,4:19.0,Shooting foul by P. Millsap (drawn by A. Aminu),,22,22
1,4:19.0,R. Hood enters the game for M. Harkless,,22,22
1,4:19.0,,M. Beasley enters the game for T. Craig,22,22
1,4:19.0,A. Aminu misses free throw 1 of 1,,22,22
1,4:14.0,,Defensive rebound by M. Beasley,22,22
1,4:05.0,,G. Harris makes 2-pt layup from 2 ft,22,24
1,3:52.0,E. Freedom makes 2-pt layup from 2 ft (assist by D. Lillard),,24,24
1,3:40.0,,J. Murray makes 2-pt jump shot from 8 ft,24,26
1,3:27.0,C. McCollum misses 2-pt layup from 2 ft,,24,26
1,3:24.0,,Defensive rebound by N. Jokić,24,26
1,3:06.0,,J. Murray makes 2-pt jump shot from 11 ft (assist by P. Millsap),24,28
1,3:06.0,Portland full timeout,,24,28
1,3:06.0,M. Leonard enters the game for E. Freedom,,24,28
1,3:06.0,,M. Plumlee enters the game for P. Millsap,24,28
1,2:47.0,D. Lillard makes 3-pt jump shot from 25 ft,,27,28
1,2:28.0,,N. Jokić makes 2-pt hook shot from 5 ft,27,30
