id,players,team
0,"{'J. Tatum', 'J. Brown', 'G. Hayward', 'K. Irving', 'A. Horford'}",BOS
1,"{'T. Rozier', 'J. Brown', 'K. Irving', 'A. Horford', 'M. Morris'}",BOS
2,"{'T. Rozier', 'J. Brown', 'A. Horford', 'M. Morris', 'M. Smart'}",BOS
3,"{'T. Rozier', 'J. Tatum', 'A. Baynes', 'M. Morris', 'M. Smart'}",BOS
4,"{'T. Rozier', 'J. Tatum', 'G. Hayward', 'A. Baynes', 'M. Smart'}",BOS
5,"{'J. Brown', 'K. Irving', 'A. Horford', 'M. Morris', 'M. Smart'}",BOS
6,"{'J. Tatum', 'T. Rozier', 'J. Brown', 'K. Irving', 'A. Horford'}",BOS
7,"{'J. Tatum', 'J. Brown', 'K. Irving', 'A. Horford', 'A. Baynes'}",BOS
8,"{'J. Tatum', 'T. Rozier', 'G. Hayward', 'A. Horford', 'M. Smart'}",BOS
9,"{'J. Tatum', 'T. Rozier', 'D. Theis', 'G. Hayward', 'M. Smart'}",BOS
10,"{'T. Rozier', 'D. Theis', 'G. Hayward', 'M. Morris', 'M. Smart'}",BOS
11,"{'T. Rozier', 'G. Hayward', 'A. Baynes', 'M. Morris', 'M. Smart'}",BOS
12,"{'T. Rozier', 'J. Brown', 'K. Irving', 'A. Baynes', 'M. Morris'}",BOS
13,"{'J. Brown', 'G. Hayward', 'K. Irving', 'A. Baynes', 'M. Morris'}",BOS
14,"{'J. Brown', 'G. Hayward', 'K. Irving', 'A. Horford', 'M. Morris'}",BOS
15,"{'J. Tatum', 'G. Hayward', 'K. Irving', 'A. Horford', 'M. Smart'}",BOS
16,"{'T. Rozier', 'D. Theis', 'G. Yabusele', 'M. Smart', 'S. Ojeleye'}",BOS
17,"{'G. Yabusele', 'D. Theis', 'T. Rozier', 'S. Ojeleye', 'B. Wanamaker'}",BOS
18,"{'S. Curry', 'K. Thompson', 'K. Durant', 'D. Jones', 'D. Green'}",GSW
19,"{'K. Looney', 'S. Curry', 'K. Thompson', 'D. Jones', 'K. Durant'}",GSW
20,"{'D. Green', 'K. Looney', 'S. Curry', 'A. Iguodala', 'K. Durant'}",GSW
21,"{'D. Green', 'Q. Cook', 'K. Looney', 'A. Iguodala', 'K. Durant'}",GSW
22,"{'Q. Cook', 'K. Thompson', 'S. Livingston', 'A. Iguodala', 'D. Green'}",GSW
23,"{'Q. Cook', 'K. Thompson', 'S. Livingston', 'A. Iguodala', 'J. Bell'}",GSW
24,"{'K. Looney', 'S. Curry', 'S. Livingston', 'K. Thompson', 'A. Iguodala'}",GSW
25,"{'K. Looney', 'S. Curry', 'S. Livingston', 'K. Durant', 'D. Green'}",GSW
