D. Favors,J. Ingles,R. Rubio,R. Gobert,D. Mitchell,2,233
J. Crowder,J. Ingles,R. Rubio,R. Gobert,D. Mitchell,4,125
J. Crowder,A. Burks,R. Rubio,R. Gobert,D. Mitchell,3,30
J. Crowder,A. Burks,R. Rubio,R. Gobert,D. Mitchell,0,85
J. Crowder,A. Burks,D. Exum,R. Gobert,D. Mitchell,6,64
J. Crowder,A. Burks,D. Exum,D. Favors,J. Ingles,13,178
J. Crowder,A. Burks,D. Exum,D. Favors,J. Ingles,2,5
J. Crowder,A. Burks,J. Ingles,D. Favors,D. Exum,5,116
J. Crowder,A. Burks,J. Ingles,D. Favors,D. Exum,2,27
R. Gobert,A. Burks,J. Ingles,D. Favors,D. Exum,5,64
R. Gobert,D. Mitchell,R. O'Neale,D. Favors,D. Exum,0,56
R. Gobert,D. Mitchell,R. O'Neale,J. Crowder,D. Exum,0,37
R. Gobert,D. Mitchell,R. O'Neale,J. Crowder,R. Rubio,6,78
R. Gobert,D. Mitchell,J. Ingles,J. Crowder,R. Rubio,9,160
R. Gobert,D. Mitchell,J. Ingles,J. Crowder,D. Exum,0,56
R. Gobert,D. Mitchell,J. Ingles,J. Crowder,D. Exum,4,39
R. Gobert,D. Mitchell,J. Ingles,J. Crowder,D. Exum,7,87
R. Rubio,D. Favors,J. Ingles,R. Gobert,D. Mitchell,3,165
D. Exum,D. Favors,J. Ingles,R. Gobert,D. Mitchell,0,22
D. Exum,J. Crowder,J. Ingles,R. Gobert,D. Mitchell,6,158
D. Exum,J. Crowder,R. O'Neale,R. Gobert,D. Mitchell,1,74
D. Exum,J. Crowder,R. O'Neale,R. Gobert,D. Mitchell,6,102
D. Exum,J. Crowder,R. O'Neale,A. Burks,D. Favors,3,49
J. Ingles,J. Crowder,R. Rubio,A. Burks,D. Favors,6,150
J. Ingles,G. Niang,R. Rubio,A. Burks,D. Favors,2,45
J. Ingles,G. Niang,R. Rubio,A. Burks,D. Favors,2,74
R. Gobert,D. Mitchell,R. Rubio,A. Burks,D. Favors,5,69
R. Gobert,D. Mitchell,R. Rubio,A. Burks,D. Favors,7,89
R. Gobert,D. Mitchell,D. Exum,A. Burks,D. Favors,0,34
R. Gobert,D. Mitchell,D. Exum,J. Crowder,J. Ingles,5,224
R. Gobert,D. Mitchell,D. Exum,J. Crowder,J. Ingles,5,98
R. Gobert,D. Mitchell,D. Exum,J. Crowder,J. Ingles,0,16
R. Gobert,D. Mitchell,D. Exum,J. Crowder,J. Ingles,1,51
R. Gobert,D. Mitchell,D. Favors,J. Crowder,J. Ingles,1,1
R. Gobert,D. Mitchell,D. Favors,D. Exum,J. Ingles,0,8
R. Gobert,D. Mitchell,J. Crowder,D. Exum,J. Ingles,2,11
