A. Aminu,J. Layman,J. Nurkić,C. McCollum,D. Lillard,11
M. Harkless,J. Layman,J. Nurkić,C. McCollum,D. Lillard,2
M. Harkless,Z. Collins,E. Turner,C. McCollum,D. Lillard,9
S. Curry,Z. Collins,E. Turner,M. Leonard,D. Lillard,6
S. Curry,Z. Collins,E. Turner,M. Leonard,N. Stauskas,0
M. Leonard,Z. Collins,S. Curry,E. Turner,N. Stauskas,6
A. Aminu,Z. Collins,S. Curry,E. Turner,N. Stauskas,12
A. Aminu,Z. Collins,S. Curry,E. Turner,N. Stauskas,3
A. Aminu,D. Lillard,C. McCollum,J. Nurkić,N. Stauskas,1
A. Aminu,D. Lillard,C. McCollum,J. Nurkić,N. Stauskas,3
A. Aminu,D. Lillard,C. McCollum,J. Nurkić,M. Harkless,0
N. Stauskas,D. Lillard,C. McCollum,J. Nurkić,M. Harkless,8
N. Stauskas,D. Lillard,E. Turner,J. Nurkić,M. Harkless,1
N. Stauskas,D. Lillard,E. Turner,J. Nurkić,M. Harkless,0
J. Nurkić,J. Layman,C. McCollum,A. Aminu,D. Lillard,9
M. Leonard,J. Layman,C. McCollum,A. Aminu,D. Lillard,8
M. Leonard,J. Layman,C. McCollum,A. Aminu,D. Lillard,0
M. Leonard,E. Turner,C. McCollum,A. Aminu,D. Lillard,0
Z. Collins,E. Turner,S. Curry,A. Aminu,D. Lillard,2
Z. Collins,E. Turner,S. Curry,A. Aminu,D. Lillard,0
Z. Collins,E. Turner,S. Curry,M. Harkless,D. Lillard,2
Z. Collins,E. Turner,S. Curry,M. Harkless,N. Stauskas,0
S. Curry,E. Turner,M. Harkless,Z. Collins,N. Stauskas,18
D. Lillard,C. McCollum,M. Harkless,Z. Collins,N. Stauskas,6
D. Lillard,C. McCollum,M. Harkless,Z. Collins,N. Stauskas,4
D. Lillard,C. McCollum,A. Aminu,Z. Collins,N. Stauskas,3
D. Lillard,C. McCollum,A. Aminu,Z. Collins,N. Stauskas,0
D. Lillard,C. McCollum,A. Aminu,Z. Collins,N. Stauskas,5
D. Lillard,C. McCollum,A. Aminu,Z. Collins,N. Stauskas,7
D. Lillard,C. McCollum,A. Aminu,E. Turner,N. Stauskas,0
D. Lillard,C. McCollum,A. Aminu,E. Turner,N. Stauskas,2
