W. Carter,Z. LaVine,B. Portis,K. Dunn,J. Holiday,14,353
R. Lopez,Z. LaVine,B. Portis,K. Dunn,J. Holiday,4,107
R. Lopez,C. Hutchison,J. Parker,K. Dunn,J. Holiday,2,43
R. Lopez,C. Hutchison,J. Parker,C. Payne,J. Holiday,0,33
R. Lopez,C. Hutchison,J. Parker,C. Payne,J. Holiday,6,105
R. Lopez,C. Hutchison,J. Parker,C. Payne,A. Blakeney,2,38
W. Carter,C. Hutchison,J. Parker,C. Payne,A. Blakeney,0,41
A. Blakeney,C. Payne,C. Hutchison,J. Parker,W. Carter,5,105
Z. LaVine,C. Payne,C. Hutchison,J. Parker,W. Carter,2,10
Z. LaVine,C. Payne,C. Hutchison,J. Parker,W. Carter,4,109
Z. LaVine,C. Payne,C. Hutchison,J. Parker,W. Carter,0,34
Z. LaVine,K. Dunn,C. Hutchison,J. Parker,W. Carter,8,136
Z. LaVine,K. Dunn,J. Holiday,J. Parker,W. Carter,5,87
Z. LaVine,K. Dunn,J. Holiday,B. Portis,W. Carter,7,123
Z. LaVine,C. Payne,J. Holiday,B. Portis,W. Carter,0,48
C. Hutchison,C. Payne,J. Holiday,B. Portis,W. Carter,2,68
B. Portis,K. Dunn,W. Carter,J. Holiday,Z. LaVine,14,405
J. Parker,K. Dunn,W. Carter,J. Holiday,Z. LaVine,0,60
J. Parker,C. Payne,W. Carter,J. Holiday,Z. LaVine,0,4
J. Parker,C. Payne,R. Lopez,J. Holiday,Z. LaVine,1,58
J. Parker,C. Payne,R. Lopez,C. Hutchison,Z. LaVine,1,56
J. Parker,C. Payne,R. Lopez,C. Hutchison,Z. LaVine,3,55
J. Parker,C. Payne,R. Lopez,C. Hutchison,Z. LaVine,4,77
J. Parker,C. Payne,J. Holiday,C. Hutchison,W. Carter,0,5
C. Hutchison,C. Payne,J. Parker,B. Portis,J. Holiday,2,128
K. Dunn,Z. LaVine,J. Parker,B. Portis,J. Holiday,3,92
K. Dunn,Z. LaVine,J. Parker,B. Portis,J. Holiday,3,81
K. Dunn,Z. LaVine,J. Parker,B. Portis,J. Holiday,0,55
K. Dunn,Z. LaVine,J. Parker,B. Portis,J. Holiday,3,39
K. Dunn,Z. LaVine,W. Carter,B. Portis,J. Holiday,0,28
K. Dunn,Z. LaVine,W. Carter,B. Portis,J. Holiday,3,209
A. Blakeney,C. Payne,W. Carter,B. Portis,J. Holiday,5,38
A. Blakeney,C. Payne,W. Carter,B. Portis,J. Holiday,3,36
A. Blakeney,C. Payne,C. Hutchison,B. Portis,J. Holiday,3,14
