D. Green,D. Jones,K. Thompson,K. Durant,S. Curry,15,372
D. Green,D. Jones,K. Thompson,K. Durant,S. Curry,4,78
A. Iguodala,K. Looney,K. Thompson,K. Durant,S. Curry,0,46
A. Iguodala,K. Looney,A. McKinnie,K. Durant,S. Curry,5,56
A. Iguodala,K. Looney,A. McKinnie,J. Jerebko,S. Curry,4,101
A. Iguodala,K. Looney,A. McKinnie,J. Jerebko,S. Curry,1,42
A. Iguodala,Q. Cook,K. Thompson,J. Jerebko,S. Curry,3,25
A. Iguodala,D. Green,Q. Cook,K. Thompson,J. Jerebko,6,150
A. Iguodala,D. Green,Q. Cook,K. Thompson,J. Jerebko,5,84
K. Durant,D. Green,Q. Cook,K. Thompson,J. Jerebko,3,15
K. Durant,K. Looney,Q. Cook,K. Thompson,J. Jerebko,7,131
K. Durant,K. Looney,S. Curry,A. McKinnie,J. Jerebko,0,37
K. Durant,K. Looney,S. Curry,A. McKinnie,D. Green,3,67
K. Durant,D. Jones,S. Curry,K. Thompson,D. Green,11,224
K. Durant,Q. Cook,S. Curry,K. Thompson,D. Green,3,12
K. Thompson,D. Green,K. Durant,D. Jones,S. Curry,9,175
K. Thompson,D. Green,K. Durant,D. Jones,S. Curry,3,159
K. Thompson,D. Green,K. Durant,D. Jones,S. Curry,4,37
A. Iguodala,D. Green,K. Durant,D. Jones,S. Curry,2,80
A. Iguodala,K. Looney,K. Durant,D. Jones,S. Curry,5,100
A. Iguodala,K. Looney,J. Jerebko,A. McKinnie,S. Curry,13,169
D. Green,A. Iguodala,J. Jerebko,A. McKinnie,Q. Cook,0,80
D. Green,A. Iguodala,J. Jerebko,A. McKinnie,Q. Cook,2,101
D. Green,A. Iguodala,J. Jerebko,A. McKinnie,Q. Cook,1,20
J. Bell,A. Iguodala,J. Jerebko,A. McKinnie,Q. Cook,3,47
J. Bell,J. Evans,J. Jerebko,A. McKinnie,Q. Cook,2,139
J. Bell,J. Evans,J. Jerebko,A. McKinnie,Q. Cook,2,103
J. Bell,J. Evans,K. Looney,A. McKinnie,Q. Cook,2,67
J. Bell,J. Evans,K. Looney,A. McKinnie,Q. Cook,2,33
J. Bell,J. Evans,K. Looney,D. Lee,Q. Cook,3,130
