D. Jones,D. Green,K. Thompson,K. Durant,S. Curry,10,180
D. Jones,D. Green,K. Thompson,K. Durant,S. Curry,7,106
D. Jones,D. Green,K. Thompson,K. Durant,S. Curry,3,26
K. Looney,D. Green,K. Thompson,K. Durant,S. Curry,4,108
K. Looney,D. Green,K. Thompson,K. Durant,S. Curry,1,17
K. Looney,A. Iguodala,J. Jerebko,K. Durant,S. Curry,12,119
K. Looney,A. Iguodala,J. Jerebko,S. Livingston,S. Curry,9,164
J. Jerebko,A. Iguodala,S. Livingston,D. Green,K. Thompson,4,108
J. Bell,A. Iguodala,S. Livingston,D. Green,K. Thompson,4,86
J. Bell,K. Durant,S. Livingston,D. Green,K. Thompson,4,55
J. Bell,K. Durant,S. Livingston,D. Green,K. Thompson,0,16
J. Bell,K. Durant,S. Curry,D. Green,K. Thompson,2,52
J. Bell,K. Durant,S. Curry,D. Green,K. Thompson,2,105
J. Bell,K. Durant,S. Curry,A. Iguodala,K. Looney,5,115
D. Green,K. Durant,S. Curry,A. Iguodala,K. Thompson,10,117
D. Green,K. Durant,S. Curry,A. Iguodala,K. Thompson,3,66
D. Jones,K. Thompson,D. Green,K. Durant,S. Curry,10,212
D. Jones,K. Thompson,D. Green,K. Durant,S. Curry,5,175
K. Looney,K. Thompson,D. Green,K. Durant,S. Curry,3,30
K. Looney,A. Iguodala,D. Green,K. Durant,S. Curry,0,13
K. Looney,A. Iguodala,J. Bell,K. Durant,S. Curry,12,124
K. Looney,A. Iguodala,J. Bell,S. Livingston,S. Curry,5,121
K. Durant,A. Iguodala,J. Bell,S. Livingston,S. Curry,0,12
K. Durant,A. Iguodala,J. Bell,S. Livingston,S. Curry,0,33
K. Durant,D. Green,S. Livingston,K. Thompson,A. Iguodala,7,160
K. Durant,D. Green,S. Livingston,K. Thompson,A. Iguodala,2,49
J. Bell,J. Jerebko,S. Livingston,K. Thompson,A. Iguodala,4,107
J. Bell,J. Jerebko,Q. Cook,A. McKinnie,A. Iguodala,3,161
J. Bell,J. Jerebko,Q. Cook,A. McKinnie,J. Evans,13,243
