M. Robinson,N. Vonleh,D. Dotson,T. Hardaway,F. Ntilikina,12,351
M. Hezonja,N. Vonleh,D. Dotson,T. Hardaway,F. Ntilikina,3,27
M. Hezonja,E. Freedom,D. Dotson,T. Hardaway,F. Ntilikina,0,56
M. Hezonja,E. Freedom,D. Dotson,T. Hardaway,F. Ntilikina,7,210
M. Hezonja,E. Freedom,T. Burke,L. Thomas,A. Trier,4,76
T. Burke,L. Thomas,M. Hezonja,A. Trier,E. Freedom,6,198
T. Burke,L. Thomas,M. Hezonja,A. Trier,E. Freedom,4,66
T. Burke,L. Thomas,M. Hezonja,A. Trier,E. Freedom,0,35
T. Hardaway,F. Ntilikina,M. Hezonja,A. Trier,E. Freedom,2,67
T. Hardaway,F. Ntilikina,M. Hezonja,A. Trier,E. Freedom,0,41
T. Hardaway,F. Ntilikina,D. Dotson,N. Vonleh,E. Freedom,6,136
T. Hardaway,F. Ntilikina,D. Dotson,N. Vonleh,E. Freedom,6,68
A. Trier,F. Ntilikina,D. Dotson,N. Vonleh,E. Freedom,2,83
A. Trier,F. Ntilikina,D. Dotson,N. Vonleh,L. Thomas,0,26
D. Dotson,M. Robinson,N. Vonleh,F. Ntilikina,T. Hardaway,15,272
D. Dotson,M. Robinson,N. Vonleh,F. Ntilikina,T. Hardaway,7,122
D. Dotson,M. Robinson,N. Vonleh,F. Ntilikina,T. Hardaway,1,31
A. Trier,M. Robinson,N. Vonleh,F. Ntilikina,T. Hardaway,0,9
A. Trier,E. Freedom,N. Vonleh,F. Ntilikina,T. Hardaway,0,33
A. Trier,E. Freedom,M. Hezonja,F. Ntilikina,T. Hardaway,0,65
A. Trier,E. Freedom,M. Hezonja,T. Burke,T. Hardaway,5,118
A. Trier,E. Freedom,M. Hezonja,T. Burke,L. Thomas,5,70
L. Thomas,M. Hezonja,T. Burke,A. Trier,E. Freedom,2,48
L. Thomas,M. Hezonja,T. Burke,A. Trier,E. Freedom,0,40
T. Hardaway,M. Hezonja,T. Burke,A. Trier,E. Freedom,2,6
T. Hardaway,M. Hezonja,T. Burke,A. Trier,E. Freedom,1,22
T. Hardaway,M. Hezonja,T. Burke,A. Trier,E. Freedom,1,53
T. Hardaway,M. Hezonja,T. Burke,A. Trier,E. Freedom,0,15
T. Hardaway,N. Vonleh,T. Burke,A. Trier,E. Freedom,4,94
T. Hardaway,N. Vonleh,D. Dotson,F. Ntilikina,E. Freedom,0,4
T. Hardaway,N. Vonleh,D. Dotson,F. Ntilikina,M. Robinson,2,26
T. Hardaway,N. Vonleh,D. Dotson,F. Ntilikina,M. Robinson,1,96
T. Hardaway,N. Vonleh,D. Dotson,F. Ntilikina,A. Trier,9,67
T. Hardaway,N. Vonleh,D. Dotson,F. Ntilikina,A. Trier,4,105
L. Kornet,N. Vonleh,R. Baker,E. Mudiay,A. Trier,4,144
