C. Paul,P. Tucker,C. Capela,C. Anthony,E. Gordon,6,333
M. Carter-Williams,G. Green,C. Capela,C. Anthony,E. Gordon,5,142
M. Carter-Williams,G. Green,I. Hartenstein,C. Anthony,E. Gordon,2,71
C. Paul,G. Green,I. Hartenstein,G. Clark,P. Tucker,0,14
C. Paul,G. Green,I. Hartenstein,G. Clark,P. Tucker,2,160
I. Hartenstein,G. Green,G. Clark,C. Paul,P. Tucker,0,54
C. Capela,G. Green,G. Clark,C. Paul,P. Tucker,3,58
C. Capela,M. Carter-Williams,G. Clark,C. Paul,P. Tucker,0,93
C. Capela,M. Carter-Williams,C. Anthony,E. Gordon,P. Tucker,2,85
I. Hartenstein,M. Carter-Williams,C. Anthony,E. Gordon,P. Tucker,0,12
I. Hartenstein,C. Paul,C. Anthony,E. Gordon,P. Tucker,8,108
C. Capela,C. Paul,C. Anthony,E. Gordon,G. Green,2,78
C. Capela,C. Paul,C. Anthony,E. Gordon,G. Green,1,61
C. Capela,C. Paul,C. Anthony,E. Gordon,P. Tucker,5,171
C. Capela,C. Anthony,C. Paul,E. Gordon,P. Tucker,10,314
G. Green,C. Anthony,C. Paul,E. Gordon,P. Tucker,2,65
G. Green,M. Carter-Williams,G. Clark,E. Gordon,P. Tucker,0,22
G. Green,M. Carter-Williams,G. Clark,C. Anthony,P. Tucker,4,62
G. Green,M. Carter-Williams,G. Clark,C. Anthony,M. Chriss,1,79
G. Green,M. Carter-Williams,G. Clark,C. Anthony,M. Chriss,7,124
G. Green,C. Paul,G. Clark,C. Anthony,M. Chriss,2,54
C. Anthony,M. Chriss,G. Green,G. Clark,C. Paul,3,111
C. Capela,E. Gordon,P. Tucker,G. Clark,C. Paul,6,216
C. Capela,E. Gordon,P. Tucker,G. Green,C. Paul,8,208
C. Capela,M. Carter-Williams,P. Tucker,G. Green,C. Paul,2,65
M. Chriss,M. Carter-Williams,G. Clark,G. Green,C. Paul,2,63
M. Chriss,M. Carter-Williams,G. Clark,G. Green,Z. Qi,2,57
