S. Ibaka,D. Green,K. Leonard,P. Siakam,K. Lowry,12,298
S. Ibaka,D. Green,K. Leonard,P. Siakam,K. Lowry,2,50
J. Valančiūnas,D. Green,K. Leonard,P. Siakam,K. Lowry,6,159
J. Valančiūnas,C. Miles,N. Powell,P. Siakam,K. Lowry,6,63
J. Valančiūnas,C. Miles,N. Powell,D. Wright,K. Lowry,1,69
J. Valančiūnas,C. Miles,N. Powell,D. Wright,L. Brown,8,81
L. Brown,J. Valančiūnas,C. Miles,N. Powell,D. Wright,3,103
K. Leonard,J. Valančiūnas,C. Miles,N. Powell,D. Wright,5,86
D. Green,S. Ibaka,C. Miles,N. Powell,D. Wright,0,41
D. Green,S. Ibaka,C. Miles,N. Powell,D. Wright,3,72
D. Green,S. Ibaka,K. Lowry,P. Siakam,D. Wright,4,116
D. Green,S. Ibaka,K. Lowry,P. Siakam,K. Leonard,5,50
D. Green,S. Ibaka,K. Lowry,P. Siakam,K. Leonard,3,116
D. Green,J. Valančiūnas,K. Lowry,P. Siakam,K. Leonard,6,60
D. Green,J. Valančiūnas,K. Lowry,P. Siakam,K. Leonard,3,46
D. Wright,J. Valančiūnas,K. Lowry,P. Siakam,K. Leonard,0,20
C. Miles,J. Valančiūnas,K. Lowry,D. Green,K. Leonard,0,10
D. Green,S. Ibaka,K. Leonard,K. Lowry,P. Siakam,15,285
D. Green,S. Ibaka,K. Leonard,K. Lowry,P. Siakam,6,93
D. Green,S. Ibaka,K. Leonard,K. Lowry,P. Siakam,6,70
D. Green,S. Ibaka,K. Leonard,K. Lowry,P. Siakam,0,39
C. Miles,J. Valančiūnas,K. Leonard,K. Lowry,P. Siakam,2,38
C. Miles,J. Valančiūnas,N. Powell,K. Lowry,P. Siakam,5,82
C. Miles,J. Valančiūnas,N. Powell,M. Richardson,D. Wright,4,113
M. Richardson,N. Powell,J. Valančiūnas,D. Wright,C. Miles,2,81
K. Leonard,N. Powell,J. Valančiūnas,D. Wright,C. Miles,0,17
K. Leonard,D. Green,S. Ibaka,D. Wright,C. Miles,0,10
K. Leonard,D. Green,S. Ibaka,K. Lowry,C. Miles,7,193
K. Leonard,D. Green,S. Ibaka,K. Lowry,P. Siakam,10,303
K. Leonard,D. Green,S. Ibaka,K. Lowry,P. Siakam,5,87
M. Richardson,L. Brown,N. Powell,D. Wright,P. Siakam,0,29
