R. Hood,G. Hill,T. Thompson,S. Dekker,C. Osman,17,404
R. Hood,G. Hill,T. Thompson,S. Dekker,C. Osman,1,42
C. Sexton,G. Hill,T. Thompson,S. Dekker,C. Osman,2,53
C. Sexton,J. Clarkson,L. Nance,S. Dekker,C. Osman,0,49
C. Sexton,J. Clarkson,L. Nance,K. Korver,C. Osman,7,172
K. Korver,C. Sexton,L. Nance,D. Nwaba,J. Clarkson,4,194
G. Hill,R. Hood,L. Nance,D. Nwaba,J. Clarkson,4,109
G. Hill,R. Hood,S. Dekker,T. Thompson,J. Clarkson,1,11
G. Hill,R. Hood,S. Dekker,T. Thompson,C. Osman,0,51
G. Hill,R. Hood,S. Dekker,T. Thompson,C. Osman,2,123
G. Hill,R. Hood,S. Dekker,T. Thompson,C. Osman,0,96
C. Sexton,R. Hood,S. Dekker,T. Thompson,C. Osman,2,102
C. Sexton,L. Nance,J. Clarkson,T. Thompson,C. Osman,0,14
C. Sexton,L. Nance,J. Clarkson,T. Thompson,C. Osman,2,20
S. Dekker,G. Hill,C. Osman,R. Hood,T. Thompson,17,425
S. Dekker,G. Hill,C. Osman,R. Hood,T. Thompson,3,115
J. Clarkson,L. Nance,C. Sexton,R. Hood,T. Thompson,0,53
J. Clarkson,L. Nance,C. Sexton,K. Korver,T. Thompson,3,118
J. Clarkson,L. Nance,C. Sexton,K. Korver,T. Thompson,1,9
S. Dekker,K. Korver,L. Nance,J. Clarkson,C. Sexton,8,313
R. Hood,C. Osman,L. Nance,J. Clarkson,C. Sexton,2,63
R. Hood,C. Osman,T. Thompson,J. Clarkson,C. Sexton,0,58
K. Korver,D. Nwaba,A. Žižić,S. Dekker,C. Sexton,2,50
K. Korver,D. Nwaba,A. Žižić,S. Dekker,C. Sexton,5,84
K. Korver,D. Nwaba,A. Žižić,S. Dekker,C. Sexton,8,152
