T. Ferguson,J. Grant,S. Adams,D. Schröder,P. George,12,351
T. Ferguson,J. Grant,S. Adams,D. Schröder,P. George,4,118
Á. Abrines,P. Patterson,S. Adams,D. Schröder,P. George,2,118
Á. Abrines,P. Patterson,R. Felton,N. Noel,P. George,2,107
Á. Abrines,P. Patterson,R. Felton,N. Noel,P. George,3,26
R. Felton,N. Noel,P. Patterson,H. Diallo,Á. Abrines,2,131
R. Felton,N. Noel,P. Patterson,H. Diallo,Á. Abrines,4,86
R. Felton,N. Noel,P. Patterson,H. Diallo,Á. Abrines,2,70
S. Adams,J. Grant,D. Schröder,H. Diallo,Á. Abrines,0,14
S. Adams,J. Grant,D. Schröder,P. George,Á. Abrines,2,43
S. Adams,J. Grant,D. Schröder,P. George,T. Ferguson,6,204
S. Adams,J. Grant,D. Schröder,P. George,Á. Abrines,5,164
S. Adams,J. Grant,D. Schröder,P. George,T. Ferguson,1,6
S. Adams,P. Patterson,D. Schröder,P. George,Á. Abrines,3,2
T. Ferguson,J. Grant,D. Schröder,S. Adams,P. George,17,406
Á. Abrines,J. Grant,D. Schröder,S. Adams,P. George,0,30
Á. Abrines,P. Patterson,D. Schröder,S. Adams,P. George,5,83
Á. Abrines,P. Patterson,D. Schröder,S. Adams,P. George,0,28
Á. Abrines,P. Patterson,D. Schröder,S. Adams,P. George,0,12
Á. Abrines,P. Patterson,R. Felton,S. Adams,P. George,1,27
Á. Abrines,P. Patterson,R. Felton,N. Noel,P. George,0,70
Á. Abrines,P. Patterson,R. Felton,N. Noel,H. Diallo,0,14
Á. Abrines,P. Patterson,R. Felton,N. Noel,H. Diallo,0,50
Á. Abrines,P. Patterson,R. Felton,N. Noel,H. Diallo,7,165
Á. Abrines,P. Patterson,R. Felton,N. Noel,H. Diallo,0,24
T. Ferguson,P. George,R. Felton,N. Noel,H. Diallo,0,69
T. Ferguson,P. George,S. Adams,D. Schröder,H. Diallo,5,153
J. Grant,P. George,S. Adams,D. Schröder,Á. Abrines,8,158
J. Grant,P. George,S. Adams,D. Schröder,Á. Abrines,4,138
J. Grant,H. Diallo,S. Adams,D. Schröder,Á. Abrines,0,13
