B. Hield,W. Cauley-Stein,N. Bjelica,D. Fox,I. Shumpert,15,360
B. Bogdanović,W. Cauley-Stein,N. Bjelica,D. Fox,I. Shumpert,7,125
B. Bogdanović,K. Koufos,N. Bjelica,D. Fox,I. Shumpert,0,26
B. Bogdanović,K. Koufos,M. Bagley,J. Jackson,F. Mason,4,135
B. Bogdanović,K. Koufos,M. Bagley,J. Jackson,F. Mason,0,16
B. Hield,K. Koufos,M. Bagley,J. Jackson,F. Mason,0,58
K. Koufos,F. Mason,M. Bagley,J. Jackson,B. Hield,7,169
W. Cauley-Stein,D. Fox,M. Bagley,J. Jackson,B. Hield,0,38
W. Cauley-Stein,D. Fox,N. Bjelica,J. Jackson,B. Hield,3,45
W. Cauley-Stein,D. Fox,N. Bjelica,B. Bogdanović,B. Hield,2,53
W. Cauley-Stein,D. Fox,N. Bjelica,B. Bogdanović,I. Shumpert,2,53
W. Cauley-Stein,D. Fox,N. Bjelica,B. Bogdanović,I. Shumpert,6,162
W. Cauley-Stein,D. Fox,M. Bagley,B. Hield,I. Shumpert,3,130
W. Cauley-Stein,D. Fox,M. Bagley,B. Hield,I. Shumpert,0,21
W. Cauley-Stein,F. Mason,M. Bagley,B. Hield,I. Shumpert,2,36
N. Bjelica,F. Mason,M. Bagley,B. Hield,I. Shumpert,0,13
N. Bjelica,I. Shumpert,W. Cauley-Stein,D. Fox,B. Hield,8,213
T. Williams,I. Shumpert,W. Cauley-Stein,D. Fox,B. Hield,12,237
T. Williams,B. Bogdanović,W. Cauley-Stein,D. Fox,B. Hield,2,83
T. Williams,B. Bogdanović,M. Bagley,K. Koufos,B. Hield,0,13
T. Williams,B. Bogdanović,M. Bagley,K. Koufos,B. Hield,4,121
T. Williams,B. Bogdanović,M. Bagley,K. Koufos,B. Hield,1,53
B. Hield,B. Bogdanović,K. Koufos,T. Williams,M. Bagley,4,118
D. Fox,B. Bogdanović,K. Koufos,T. Williams,M. Bagley,6,149
D. Fox,N. Bjelica,W. Cauley-Stein,T. Williams,M. Bagley,5,81
D. Fox,B. Hield,W. Cauley-Stein,I. Shumpert,M. Bagley,6,80
D. Fox,B. Hield,W. Cauley-Stein,I. Shumpert,M. Bagley,4,192
D. Fox,B. Hield,W. Cauley-Stein,I. Shumpert,M. Bagley,0,17
D. Fox,B. Hield,W. Cauley-Stein,I. Shumpert,M. Bagley,2,83
