J. Grant,S. Adams,T. Ferguson,D. Schröder,P. George,12,281
J. Grant,S. Adams,T. Ferguson,D. Schröder,P. George,5,91
J. Grant,S. Adams,T. Ferguson,D. Schröder,P. George,2,70
J. Grant,S. Adams,T. Ferguson,D. Schröder,P. George,3,86
P. Patterson,S. Adams,T. Ferguson,D. Schröder,P. George,1,22
P. Patterson,Á. Abrines,N. Noel,D. Schröder,P. George,0,15
P. Patterson,Á. Abrines,N. Noel,R. Felton,P. George,3,103
P. Patterson,Á. Abrines,N. Noel,R. Felton,P. George,3,52
R. Felton,N. Noel,P. Patterson,H. Diallo,Á. Abrines,0,23
R. Felton,N. Noel,P. Patterson,H. Diallo,Á. Abrines,2,135
R. Felton,N. Noel,P. Patterson,H. Diallo,Á. Abrines,2,44
D. Schröder,N. Noel,P. Patterson,H. Diallo,Á. Abrines,1,49
D. Schröder,S. Adams,P. Patterson,H. Diallo,Á. Abrines,2,36
D. Schröder,S. Adams,J. Grant,H. Diallo,Á. Abrines,2,61
D. Schröder,S. Adams,J. Grant,P. George,Á. Abrines,3,48
D. Schröder,S. Adams,J. Grant,P. George,T. Ferguson,2,51
D. Schröder,S. Adams,J. Grant,P. George,T. Ferguson,7,110
D. Schröder,S. Adams,J. Grant,P. George,T. Ferguson,9,163
S. Adams,T. Ferguson,D. Schröder,J. Grant,P. George,0,29
S. Adams,T. Ferguson,D. Schröder,J. Grant,P. George,10,347
S. Adams,T. Ferguson,D. Schröder,J. Grant,P. George,8,176
Á. Abrines,N. Noel,D. Schröder,J. Grant,P. George,2,22
Á. Abrines,N. Noel,R. Felton,J. Grant,P. George,1,146
H. Diallo,R. Felton,N. Noel,P. Patterson,Á. Abrines,6,190
H. Diallo,R. Felton,N. Noel,P. Patterson,Á. Abrines,2,105
S. Adams,T. Ferguson,J. Grant,D. Schröder,Á. Abrines,0,60
S. Adams,T. Ferguson,J. Grant,D. Schröder,P. George,0,18
S. Adams,T. Ferguson,J. Grant,D. Schröder,P. George,5,153
S. Adams,T. Ferguson,J. Grant,D. Schröder,P. George,5,135
Á. Abrines,H. Diallo,A. Nader,N. Noel,T. Luwawu-Cabarrot,0,59
